Region,Año,Hombre,Mujer,Total
España (ES),2020,76.76,80.6,78.69
Andalucía (AN),2020,77.12,80.5,78.82
Aragón (AR),2020,77.71,81.18,79.64
"Asturias, Principado de (AS)",2020,76.24,79.85,78.08
"Balears, Illes (IB)",2020,79.66,80.98,80.3
Canarias (CN),2020,77.68,80.97,79.13
Cantabria (CB),2020,76.8,79.97,78.44
Castilla y León (CL),2020,76.32,81.03,78.57
Castilla - La Mancha (CM),2020,76.88,80.95,78.86
Cataluña (CT),2020,76.74,81.91,79.36
Comunitat Valenciana (VC),2020,76.46,79.26,77.91
Extremadura (EX),2020,77.8,82.49,80.21
Galicia (GA),2020,75.95,80.09,77.99
"Madrid, Comunidad de (MD)",2020,75.96,79.5,77.8
"Murcia, Región de (MC)",2020,76.58,79.12,77.76
"Navarra, C. Foral de (NC)",2020,77.34,81.86,79.61
País Vasco (PV),2020,78.64,81.95,80.28
La Rioja (RI),2020,77.2,80.32,78.9
Ceuta (CE),2020,70.62,66.78,68.71
Melilla (ML),2020,70.62,66.78,68.71
España (ES),2018,76.91,81.45,79.19
Andalucía (AN),2018,74.41,77.86,76.1
Aragón (AR),2018,79.39,83.89,81.57
"Asturias, Principado de (AS)",2018,74.96,79.85,77.26
"Balears, Illes (IB)",2018,79.22,84.26,81.54
Canarias (CN),2018,75.67,80.96,78.4
Cantabria (CB),2018,78.68,82.23,80.01
Castilla y León (CL),2018,78.32,84.39,81.29
Castilla - La Mancha (CM),2018,77.41,82.67,79.99
Cataluña (CT),2018,76.91,80.74,78.84
Comunitat Valenciana (VC),2018,77.3,82.39,79.88
Extremadura (EX),2018,78.16,81.75,79.91
Galicia (GA),2018,78.3,84.14,81.2
"Madrid, Comunidad de (MD)",2018,79.08,82.78,80.98
"Murcia, Región de (MC)",2018,73.78,77.42,75.55
"Navarra, C. Foral de (NC)",2018,77.97,81.99,80.03
País Vasco (PV),2018,78.73,84.33,81.57
La Rioja (RI),2018,78.63,81.98,80.24
Ceuta (CE),2018,74.33,78.01,76.23
Melilla (ML),2018,74.33,78.01,76.23
España (ES),2021,77.43,81.42,79.43
Andalucía (AN),2021,77.0,80.45,78.73
Aragón (AR),2021,78.48,82.2,80.54
"Asturias, Principado de (AS)",2021,77.07,80.18,78.68
"Balears, Illes (IB)",2021,79.36,80.99,80.14
Canarias (CN),2021,77.56,80.88,79.02
Cantabria (CB),2021,77.11,80.94,79.07
Castilla y León (CL),2021,77.66,83.02,80.23
Castilla - La Mancha (CM),2021,78.78,83.09,80.91
Cataluña (CT),2021,77.85,83.38,80.67
Comunitat Valenciana (VC),2021,76.18,79.26,77.76
Extremadura (EX),2021,78.05,83.07,80.63
Galicia (GA),2021,76.03,80.27,78.11
"Madrid, Comunidad de (MD)",2021,78.2,81.75,80.08
"Murcia, Región de (MC)",2021,76.55,78.95,77.67
"Navarra, C. Foral de (NC)",2021,78.36,83.33,80.86
País Vasco (PV),2021,79.18,82.4,80.78
La Rioja (RI),2021,78.0,80.87,79.6
Ceuta (CE),2021,70.28,67.11,68.6
Melilla (ML),2021,70.28,67.11,68.6
España (ES),2017,76.93,81.4,79.17
Andalucía (AN),2017,74.59,77.92,76.22
Aragón (AR),2017,79.15,83.78,81.4
"Asturias, Principado de (AS)",2017,74.98,79.9,77.29
"Balears, Illes (IB)",2017,78.8,83.91,81.16
Canarias (CN),2017,76.12,81.26,78.8
Cantabria (CB),2017,78.83,82.21,80.08
Castilla y León (CL),2017,78.26,84.46,81.28
Castilla - La Mancha (CM),2017,77.0,82.26,79.58
Cataluña (CT),2017,76.93,80.71,78.84
Comunitat Valenciana (VC),2017,77.32,82.41,79.9
Extremadura (EX),2017,78.0,81.46,79.7
Galicia (GA),2017,78.44,84.1,81.26
"Madrid, Comunidad de (MD)",2017,78.94,82.38,80.71
"Murcia, Región de (MC)",2017,73.62,77.39,75.46
"Navarra, C. Foral de (NC)",2017,77.76,81.77,79.81
País Vasco (PV),2017,78.56,84.45,81.55
La Rioja (RI),2017,78.87,82.04,80.38
Ceuta (CE),2017,73.49,78.39,75.95
Melilla (ML),2017,73.49,78.39,75.95
España (ES),2019,77.98,81.77,79.89
Andalucía (AN),2019,77.81,81.11,79.48
Aragón (AR),2019,79.26,82.86,81.28
"Asturias, Principado de (AS)",2019,76.94,80.58,78.81
"Balears, Illes (IB)",2019,79.92,81.06,80.46
Canarias (CN),2019,77.72,81.1,79.22
Cantabria (CB),2019,77.26,80.61,79.0
Castilla y León (CL),2019,78.14,82.99,80.49
Castilla - La Mancha (CM),2019,79.7,83.29,81.51
Cataluña (CT),2019,78.43,83.81,81.19
Comunitat Valenciana (VC),2019,77.06,79.91,78.54
Extremadura (EX),2019,78.71,83.67,81.28
Galicia (GA),2019,76.2,80.31,78.23
"Madrid, Comunidad de (MD)",2019,78.85,81.77,80.41
"Murcia, Región de (MC)",2019,77.01,79.14,77.98
"Navarra, C. Foral de (NC)",2019,78.78,83.15,81.02
País Vasco (PV),2019,79.46,82.76,81.09
La Rioja (RI),2019,78.7,81.42,80.24
Ceuta (CE),2019,71.5,68.23,69.91
Melilla (ML),2019,71.5,68.23,69.91
