,,Total,,15-34,35-64,65 y más,,España,Extranjero,,≥100.000,18.-99.999,<18.000,Muy baja,,Activos,Desempleados,,≤10.000,10.001-50.000,50.001-100.000,100.001-500.000,>500.000,,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,Castilla y León,Castilla la Mancha,Cataluña,C Valenciana,Extremadura,Galicia,Madrid,Murcia,Navarra,País Vasco,La Rioja
Trastornos de la ansiedad (P74),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ambos,"78,1",,"54,7","87,4","82,3",,"83,9","44,7",,"33,9","65,8","82,1","113,8",,"75,6","109,7",,"84,9","88,1","72,5","80,3","55,3",,"46,3","35,0","51,2","182,6","139,3","42,8","128,4","44,1","54,8","264,1","18,1","53,7","12,6","41,3","78,6","73,2","14,7"
,Hombre,"52,8",,"39,0","60,4","49,7",,"58,0","27,6",,"24,6","47,6","54,9","77,3",,"53,3","76,1",,"54,6","59,2","49,5","55,3","37,7",,"29,1","22,3","34,4","126,0","99,8","28,7","82,9","28,9","34,6","183,3","11,4","34,5","9,2","28,4","52,9","50,5","9,4"
,Mujer,"102,0",,"70,8","114,3","107,0",,"108,1","60,7",,"48,5","87,1","106,4","137,0",,"101,5","136,6",,"115,6","116,2","93,8","103,3","70,9",,"62,7","47,1","66,3","237,3","177,2","55,9","171,8","59,1","74,0","341,0","24,7","71,3","15,6","54,1","103,4","94,5","19,9"
Trastornos del sueño (P06),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ambos,"60,9",,"16,6","56,5","121,1",,"68,2","42,1",,"47,2","61,3","61,3","71,3",,"42,4","55,5",,"51,7","56,5","59,0","64,6","73,4",,"21,3","77,5","87,9","96,8","91,5","75,3","21,2","18,2","33,5","140,6","6,9","41,9","93,1","83,4","109,0","61,0","77,7"
,Hombre,"56,5",,"16,0","55,7","112,1",,"64,5","34,9",,"46,1","62,4","54,6","63,9",,"42,3","53,7",,"47,7","53,3","55,7","60,7","65,7",,"26,8","60,7","73,9","87,9","86,0","57,0","29,5","16,9","30,2","125,6","7,1","37,7","83,6","75,2","102,5","59,5","69,0"
,Mujer,"65,1",,"17,2","57,4","127,8",,"71,6","48,8",,"49,0","60,1","67,2","76,1",,"42,6","56,9",,"55,8","59,6","62,1","68,2","80,2",,"16,1","93,6","100,4","105,4","96,8","92,3","13,2","19,4","36,6","154,9","6,7","45,7","101,6","91,5","115,2","62,4","86,1"
Depresión/trastornos depresivos (P76),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ambos,"48,3",,"14,6","49,3","83,9",,"55,2","26,4",,"27,0","43,4","49,9","67,4",,"34,3","52,8",,"45,3","42,0","48,7","54,0","53,8",,"9,0","87,4","121,6","51,2","85,6","73,5","47,7","9,8","17,1","73,0","26,0","67,2","76,4","115,1","97,2","20,0","78,8"
,Hombre,"27,5",,"10,0","29,7","44,4",,"32,1","14,0",,"17,3","26,5","27,8","38,8",,"20,5","32,7",,"25,6","23,8","27,4","31,4","30,5",,"4,3","48,8","73,1","33,0","50,0","41,1","29,5","5,8","9,0","44,5","12,5","35,0","42,3","67,6","58,4","10,8","45,9"
