Region,Año,Hombre,Mujer,Total
España (ES),2020,18.28,22.29,20.36
Andalucía (AN),2020,18.12,21.76,20.01
Aragón (AR),2020,18.29,22.06,20.24
"Asturias, Principado de (AS)",2020,18.02,22.48,20.37
"Balears, Illes (IB)",2020,19.68,23.41,21.61
Canarias (CN),2020,19.86,23.36,21.67
Cantabria (CB),2020,18.85,23.24,21.15
Castilla y León (CL),2020,18.2,22.43,20.31
Castilla - La Mancha (CM),2020,17.14,20.86,19.0
Cataluña (CT),2020,18.07,22.07,20.16
Comunitat Valenciana (VC),2020,18.76,22.65,20.78
Extremadura (EX),2020,17.85,21.72,19.81
Galicia (GA),2020,19.66,23.93,21.9
"Madrid, Comunidad de (MD)",2020,17.57,21.9,19.87
"Murcia, Región de (MC)",2020,18.56,22.34,20.51
"Navarra, C. Foral de (NC)",2020,18.95,22.95,21.0
País Vasco (PV),2020,19.02,23.48,21.37
La Rioja (RI),2020,18.33,22.64,20.51
Ceuta (CE),2020,17.51,19.58,18.59
Melilla (ML),2020,17.51,19.58,18.59
España (ES),2018,19.32,23.37,21.45
Andalucía (AN),2018,18.33,21.99,20.25
Aragón (AR),2018,19.47,23.67,21.65
"Asturias, Principado de (AS)",2018,18.72,23.34,21.17
"Balears, Illes (IB)",2018,19.6,23.27,21.51
Canarias (CN),2018,19.22,22.72,21.02
Cantabria (CB),2018,18.92,23.84,21.49
Castilla y León (CL),2018,20.15,24.2,22.24
Castilla - La Mancha (CM),2018,19.69,23.32,21.55
Cataluña (CT),2018,19.49,23.64,21.69
Comunitat Valenciana (VC),2018,19.13,22.64,20.97
Extremadura (EX),2018,18.66,22.86,20.8
Galicia (GA),2018,19.31,23.71,21.62
"Madrid, Comunidad de (MD)",2018,20.78,25.08,23.14
"Murcia, Región de (MC)",2018,19.0,22.62,20.89
"Navarra, C. Foral de (NC)",2018,19.89,24.11,22.08
País Vasco (PV),2018,19.61,24.35,22.13
La Rioja (RI),2018,19.26,23.94,21.63
Ceuta (CE),2018,18.81,21.17,20.1
Melilla (ML),2018,18.81,21.17,20.1
España (ES),2021,19.13,23.42,21.37
Andalucía (AN),2021,18.11,21.78,20.02
Aragón (AR),2021,19.18,23.66,21.48
"Asturias, Principado de (AS)",2021,19.04,23.15,21.25
"Balears, Illes (IB)",2021,19.65,23.42,21.6
Canarias (CN),2021,19.88,23.43,21.7
Cantabria (CB),2021,19.41,24.29,21.96
Castilla y León (CL),2021,19.8,24.65,22.24
Castilla - La Mancha (CM),2021,19.01,23.18,21.12
Cataluña (CT),2021,19.27,23.73,21.61
Comunitat Valenciana (VC),2021,18.6,22.55,20.64
Extremadura (EX),2021,18.36,22.5,20.46
Galicia (GA),2021,19.62,24.29,22.06
"Madrid, Comunidad de (MD)",2021,20.29,25.24,22.97
"Murcia, Región de (MC)",2021,18.49,22.21,20.42
"Navarra, C. Foral de (NC)",2021,20.0,24.91,22.51
País Vasco (PV),2021,19.52,24.19,21.98
La Rioja (RI),2021,19.23,23.6,21.45
Ceuta (CE),2021,17.81,19.74,18.69
Melilla (ML),2021,17.81,19.74,18.69
España (ES),2017,19.28,23.29,21.4
Andalucía (AN),2017,18.47,22.01,20.33
Aragón (AR),2017,19.4,23.61,21.58
"Asturias, Principado de (AS)",2017,18.8,23.2,21.16
"Balears, Illes (IB)",2017,19.44,22.91,21.24
Canarias (CN),2017,19.6,23.11,21.41
Cantabria (CB),2017,19.2,23.96,21.71
Castilla y León (CL),2017,20.03,24.39,22.27
Castilla - La Mancha (CM),2017,19.26,22.99,21.16
Cataluña (CT),2017,19.42,23.57,21.62
Comunitat Valenciana (VC),2017,19.08,22.76,21.0
Extremadura (EX),2017,18.62,22.51,20.63
Galicia (GA),2017,19.53,23.7,21.74
"Madrid, Comunidad de (MD)",2017,20.5,24.6,22.76
"Murcia, Región de (MC)",2017,18.79,22.36,20.65
"Navarra, C. Foral de (NC)",2017,19.53,23.92,21.8
País Vasco (PV),2017,19.51,24.21,22.01
La Rioja (RI),2017,20.16,24.12,22.21
Ceuta (CE),2017,18.26,21.17,19.82
Melilla (ML),2017,18.26,21.17,19.82
España (ES),2019,19.67,23.82,21.86
Andalucía (AN),2019,18.78,22.57,20.76
Aragón (AR),2019,19.76,24.32,22.12
"Asturias, Principado de (AS)",2019,19.08,23.61,21.51
"Balears, Illes (IB)",2019,20.17,23.73,22.04
Canarias (CN),2019,19.94,23.51,21.79
Cantabria (CB),2019,19.33,24.16,21.87
Castilla y León (CL),2019,20.17,24.66,22.46
Castilla - La Mancha (CM),2019,19.83,23.41,21.67
Cataluña (CT),2019,19.91,24.12,22.15
Comunitat Valenciana (VC),2019,19.37,23.44,21.49
Extremadura (EX),2019,19.02,23.17,21.15
Galicia (GA),2019,19.93,24.33,22.25
"Madrid, Comunidad de (MD)",2019,21.02,25.14,23.29
"Murcia, Región de (MC)",2019,19.15,22.57,20.94
"Navarra, C. Foral de (NC)",2019,20.47,24.53,22.59
País Vasco (PV),2019,19.92,24.58,22.4
La Rioja (RI),2019,19.78,24.27,22.08
Ceuta (CE),2019,19.33,21.78,20.66
Melilla (ML),2019,19.33,21.78,20.66
