Region,Año,Total
España (ES),2020,2455.1
Andalucía (AN),2020,2768.4
Aragón (AR),2020,2836.7
"Asturias, Principado de (AS)",2020,2586.6
"Balears, Illes (IB)",2020,2916.7
Canarias (CN),2020,2027.1
Cantabria (CB),2020,2521.8
Castilla y León (CL),2020,2544.0
Castilla - La Mancha (CM),2020,3290.9
Cataluña (CT),2020,2279.5
Comunitat Valenciana (VC),2020,2401.3
Extremadura (EX),2020,2709.7
Galicia (GA),2020,2552.1
"Madrid, Comunidad de (MD)",2020,1863.5
"Murcia, Región de (MC)",2020,2770.9
"Navarra, C. Foral de (NC)",2020,3144.9
País Vasco (PV),2020,2728.1
La Rioja (RI),2020,2863.5
Ceuta (CE),2020,2297.6
Melilla (ML),2020,2077.5
España (ES),2018,3408.7
Andalucía (AN),2018,3837.96
Aragón (AR),2018,3303.32
"Asturias, Principado de (AS)",2018,3444.52
"Balears, Illes (IB)",2018,4996.33
Canarias (CN),2018,3530.63
Cantabria (CB),2018,3078.63
Castilla y León (CL),2018,3392.0
Castilla - La Mancha (CM),2018,4083.85
Cataluña (CT),2018,3313.41
Comunitat Valenciana (VC),2018,3171.32
Extremadura (EX),2018,3803.99
Galicia (GA),2018,3514.05
"Madrid, Comunidad de (MD)",2018,2784.15
"Murcia, Región de (MC)",2018,3514.41
"Navarra, C. Foral de (NC)",2018,3746.58
País Vasco (PV),2018,3390.18
La Rioja (RI),2018,3619.87
Ceuta (CE),2018,2865.16
Melilla (ML),2018,3625.63
España (ES),2021,2810.49
Andalucía (AN),2021,2949.69
Aragón (AR),2021,2919.49
"Asturias, Principado de (AS)",2021,2880.6
"Balears, Illes (IB)",2021,3785.56
Canarias (CN),2021,2354.32
Cantabria (CB),2021,2815.39
Castilla y León (CL),2021,3726.24
Castilla - La Mancha (CM),2021,2828.12
Cataluña (CT),2021,2670.65
Comunitat Valenciana (VC),2021,2784.82
Extremadura (EX),2021,2978.99
Galicia (GA),2021,2922.29
"Madrid, Comunidad de (MD)",2021,2228.97
"Murcia, Región de (MC)",2021,3199.67
"Navarra, C. Foral de (NC)",2021,3685.51
País Vasco (PV),2021,3196.45
La Rioja (RI),2021,3637.45
Ceuta (CE),2021,2756.14
Melilla (ML),2021,2665.49
España (ES),2022,2950.74
Andalucía (AN),2022,3035.92
Aragón (AR),2022,2983.74
"Asturias, Principado de (AS)",2022,3553.02
"Balears, Illes (IB)",2022,4893.24
Canarias (CN),2022,2715.65
Cantabria (CB),2022,4226.25
Castilla y León (CL),2022,2820.99
Castilla - La Mancha (CM),2022,4053.51
Cataluña (CT),2022,2885.34
Comunitat Valenciana (VC),2022,2757.08
Extremadura (EX),2022,3022.62
Galicia (GA),2022,2774.42
"Madrid, Comunidad de (MD)",2022,2286.45
"Murcia, Región de (MC)",2022,3146.65
"Navarra, C. Foral de (NC)",2022,3766.14
País Vasco (PV),2022,3133.9
La Rioja (RI),2022,4247.9
Ceuta (CE),2022,2683.83
Melilla (ML),2022,2978.94
España (ES),2017,3408.76
Andalucía (AN),2017,3846.62
Aragón (AR),2017,3247.05
"Asturias, Principado de (AS)",2017,3413.71
"Balears, Illes (IB)",2017,5024.98
Canarias (CN),2017,3618.25
Cantabria (CB),2017,3019.61
Castilla y León (CL),2017,3306.01
Castilla - La Mancha (CM),2017,4153.77
Cataluña (CT),2017,3283.74
Comunitat Valenciana (VC),2017,3111.05
Extremadura (EX),2017,3733.28
Galicia (GA),2017,3627.12
"Madrid, Comunidad de (MD)",2017,2757.5
"Murcia, Región de (MC)",2017,3586.34
"Navarra, C. Foral de (NC)",2017,3541.27
País Vasco (PV),2017,3595.96
La Rioja (RI),2017,3668.88
Ceuta (CE),2017,3347.84
Melilla (ML),2017,3242.25
España (ES),2019,3019.64
Andalucía (AN),2019,3404.92
Aragón (AR),2019,2948.34
"Asturias, Principado de (AS)",2019,3021.6
"Balears, Illes (IB)",2019,4348.78
Canarias (CN),2019,2876.33
Cantabria (CB),2019,2799.62
Castilla y León (CL),2019,2975.86
Castilla - La Mancha (CM),2019,3659.36
Cataluña (CT),2019,2892.07
Comunitat Valenciana (VC),2019,2824.84
Extremadura (EX),2019,3165.91
Galicia (GA),2019,3158.48
"Madrid, Comunidad de (MD)",2019,2437.12
"Murcia, Región de (MC)",2019,3073.29
"Navarra, C. Foral de (NC)",2019,3766.34
País Vasco (PV),2019,3252.97
La Rioja (RI),2019,3397.21
Ceuta (CE),2019,2412.86
Melilla (ML),2019,2618.5
