Region,Año,Total
España (ES),2020,7.58
Andalucía (AN),2020,5.93
Aragón (AR),2020,6.31
"Asturias, Principado de (AS)",2020,11.72
"Balears, Illes (IB)",2020,6.09
Canarias (CN),2020,4.54
Cantabria (CB),2020,6.53
Castilla y León (CL),2020,7.03
Castilla - La Mancha (CM),2020,3.43
Cataluña (CT),2020,11.21
Comunitat Valenciana (VC),2020,6.23
Extremadura (EX),2020,1.89
Galicia (GA),2020,14.67
"Madrid, Comunidad de (MD)",2020,6.62
"Murcia, Región de (MC)",2020,7.82
"Navarra, C. Foral de (NC)",2020,2.59
País Vasco (PV),2020,10.6
La Rioja (RI),2020,6.96
Ceuta (CE),2020,1.19
Melilla (ML),2020,7.12
España (ES),2018,9.39
Andalucía (AN),2018,7.19
Aragón (AR),2018,8.59
"Asturias, Principado de (AS)",2018,10.15
"Balears, Illes (IB)",2018,9.69
Canarias (CN),2018,7.04
Cantabria (CB),2018,13.08
Castilla y León (CL),2018,8.5
Castilla - La Mancha (CM),2018,7.34
Cataluña (CT),2018,12.56
Comunitat Valenciana (VC),2018,6.59
Extremadura (EX),2018,6.65
Galicia (GA),2018,19.6
"Madrid, Comunidad de (MD)",2018,8.82
"Murcia, Región de (MC)",2018,7.98
"Navarra, C. Foral de (NC)",2018,5.26
País Vasco (PV),2018,9.99
La Rioja (RI),2018,8.95
Ceuta (CE),2018,9.42
Melilla (ML),2018,8.27
España (ES),2021,7.61
Andalucía (AN),2021,5.53
Aragón (AR),2021,8.45
"Asturias, Principado de (AS)",2021,7.73
"Balears, Illes (IB)",2021,5.82
Canarias (CN),2021,3.25
Cantabria (CB),2021,5.99
Castilla y León (CL),2021,6.43
Castilla - La Mancha (CM),2021,3.42
Cataluña (CT),2021,12.11
Comunitat Valenciana (VC),2021,7.34
Extremadura (EX),2021,3.98
Galicia (GA),2021,13.08
"Madrid, Comunidad de (MD)",2021,6.98
"Murcia, Región de (MC)",2021,7.52
"Navarra, C. Foral de (NC)",2021,4.42
País Vasco (PV),2021,8.54
La Rioja (RI),2021,8.55
Ceuta (CE),2021,20.53
Melilla (ML),2021,7.19
España (ES),2017,9.42
Andalucía (AN),2017,6.59
Aragón (AR),2017,10.18
"Asturias, Principado de (AS)",2017,8.35
"Balears, Illes (IB)",2017,8.98
Canarias (CN),2017,5.13
Cantabria (CB),2017,9.81
Castilla y León (CL),2017,8.62
Castilla - La Mancha (CM),2017,6.84
Cataluña (CT),2017,12.94
Comunitat Valenciana (VC),2017,8.4
Extremadura (EX),2017,5.12
Galicia (GA),2017,19.57
"Madrid, Comunidad de (MD)",2017,9.21
"Murcia, Región de (MC)",2017,8.01
"Navarra, C. Foral de (NC)",2017,4.21
País Vasco (PV),2017,10.47
La Rioja (RI),2017,9.28
Ceuta (CE),2017,9.41
Melilla (ML),2017,9.43
España (ES),2019,9.28
Andalucía (AN),2019,6.46
Aragón (AR),2019,10.12
"Asturias, Principado de (AS)",2019,10.49
"Balears, Illes (IB)",2019,5.42
Canarias (CN),2019,5.72
Cantabria (CB),2019,8.08
Castilla y León (CL),2019,9.96
Castilla - La Mancha (CM),2019,5.2
Cataluña (CT),2019,13.55
Comunitat Valenciana (VC),2019,8.46
Extremadura (EX),2019,5.18
Galicia (GA),2019,19.19
"Madrid, Comunidad de (MD)",2019,8.74
"Murcia, Región de (MC)",2019,8.7
"Navarra, C. Foral de (NC)",2019,3.98
País Vasco (PV),2019,9.07
La Rioja (RI),2019,9.22
Ceuta (CE),2019,16.58
Melilla (ML),2019,9.49
