Region,Año,Hombre,Mujer,Total
España (ES),2017,87.22,87.58,87.4
Andalucía (AN),2017,89.75,90.18,89.96
Aragón (AR),2017,91.38,93.29,92.31
"Asturias, Principado de (AS)",2017,79.26,82.13,80.74
"Balears, Illes (IB)",2017,92.88,91.2,92.06
Canarias (CN),2017,92.77,91.96,92.39
Cantabria (CB),2017,91.42,94.68,93.04
Castilla y León (CL),2017,87.13,86.48,86.81
Castilla - La Mancha (CM),2017,85.57,84.98,85.28
Cataluña (CT),2017,85.09,85.99,85.52
Comunitat Valenciana (VC),2017,84.8,83.76,84.29
Extremadura (EX),2017,89.56,89.63,89.6
Galicia (GA),2017,82.68,83.88,83.29
"Madrid, Comunidad de (MD)",2017,87.67,88.39,88.02
"Murcia, Región de (MC)",2017,87.27,86.93,87.11
"Navarra, C. Foral de (NC)",2017,86.9,90.06,88.36
País Vasco (PV),2017,85.85,87.56,86.71
La Rioja (RI),2017,89.71,84.23,86.93
Ceuta (CE),2017,--,--,84.37
Melilla (ML),2017,--,--,82.28
,2017,,,
