Region,Año,Total
España (ES),2020,54.2
Andalucía (AN),2020,51.81
Aragón (AR),2020,57.91
"Asturias, Principado de (AS)",2020,60.54
"Balears, Illes (IB)",2020,46.18
Canarias (CN),2020,43.71
Cantabria (CB),2020,56.96
Castilla y León (CL),2020,61.83
Castilla - La Mancha (CM),2020,54.04
Cataluña (CT),2020,55.23
Comunitat Valenciana (VC),2020,54.75
Extremadura (EX),2020,54.71
Galicia (GA),2020,61.34
"Madrid, Comunidad de (MD)",2020,51.99
"Murcia, Región de (MC)",2020,51.47
"Navarra, C. Foral de (NC)",2020,57.16
País Vasco (PV),2020,60.44
La Rioja (RI),2020,57.87
Ceuta (CE),2020,50.8
Melilla (ML),2020,56.17
España (ES),2018,54.19
Andalucía (AN),2018,51.61
Aragón (AR),2018,58.07
"Asturias, Principado de (AS)",2018,58.65
"Balears, Illes (IB)",2018,46.59
Canarias (CN),2018,43.84
Cantabria (CB),2018,55.95
Castilla y León (CL),2018,60.82
Castilla - La Mancha (CM),2018,54.12
Cataluña (CT),2018,55.69
Comunitat Valenciana (VC),2018,54.71
Extremadura (EX),2018,54.29
Galicia (GA),2018,60.37
"Madrid, Comunidad de (MD)",2018,52.47
"Murcia, Región de (MC)",2018,51.84
"Navarra, C. Foral de (NC)",2018,57.18
País Vasco (PV),2018,59.91
La Rioja (RI),2018,57.53
Ceuta (CE),2018,51.14
Melilla (ML),2018,55.99
España (ES),2021,54.04
Andalucía (AN),2021,51.71
Aragón (AR),2021,57.62
"Asturias, Principado de (AS)",2021,61.07
"Balears, Illes (IB)",2021,46.29
Canarias (CN),2021,43.84
Cantabria (CB),2021,57.17
Castilla y León (CL),2021,61.82
Castilla - La Mancha (CM),2021,53.46
Cataluña (CT),2021,54.82
Comunitat Valenciana (VC),2021,54.72
Extremadura (EX),2021,54.67
Galicia (GA),2021,61.64
"Madrid, Comunidad de (MD)",2021,51.56
"Murcia, Región de (MC)",2021,51.31
"Navarra, C. Foral de (NC)",2021,57.07
País Vasco (PV),2021,60.6
La Rioja (RI),2021,57.78
Ceuta (CE),2021,50.39
Melilla (ML),2021,55.92
España (ES),2022,54.16
Andalucía (AN),2022,51.66
Aragón (AR),2022,58.59
"Asturias, Principado de (AS)",2022,62.07
"Balears, Illes (IB)",2022,46.6
Canarias (CN),2022,43.96
Cantabria (CB),2022,57.62
Castilla y León (CL),2022,62.52
Castilla - La Mancha (CM),2022,53.53
Cataluña (CT),2022,54.77
Comunitat Valenciana (VC),2022,54.6
Extremadura (EX),2022,54.88
Galicia (GA),2022,62.08
"Madrid, Comunidad de (MD)",2022,51.62
"Murcia, Región de (MC)",2022,51.16
"Navarra, C. Foral de (NC)",2022,57.49
País Vasco (PV),2022,61.09
La Rioja (RI),2022,58.11
Ceuta (CE),2022,49.5
Melilla (ML),2022,55.46
España (ES),2017,53.83
Andalucía (AN),2017,51.32
Aragón (AR),2017,57.59
"Asturias, Principado de (AS)",2017,57.58
"Balears, Illes (IB)",2017,46.52
Canarias (CN),2017,43.7
Cantabria (CB),2017,55.05
Castilla y León (CL),2017,60.09
Castilla - La Mancha (CM),2017,53.81
Cataluña (CT),2017,55.46
Comunitat Valenciana (VC),2017,54.31
Extremadura (EX),2017,53.96
Galicia (GA),2017,59.55
"Madrid, Comunidad de (MD)",2017,52.2
"Murcia, Región de (MC)",2017,51.86
"Navarra, C. Foral de (NC)",2017,56.81
País Vasco (PV),2017,59.14
La Rioja (RI),2017,57.04
Ceuta (CE),2017,50.95
Melilla (ML),2017,55.31
España (ES),2019,54.29
Andalucía (AN),2019,51.8
Aragón (AR),2019,58.08
"Asturias, Principado de (AS)",2019,59.73
"Balears, Illes (IB)",2019,46.42
Canarias (CN),2019,43.77
Cantabria (CB),2019,56.56
Castilla y León (CL),2019,61.37
Castilla - La Mancha (CM),2019,54.2
Cataluña (CT),2019,55.51
Comunitat Valenciana (VC),2019,54.86
Extremadura (EX),2019,54.56
Galicia (GA),2019,60.94
"Madrid, Comunidad de (MD)",2019,52.39
"Murcia, Región de (MC)",2019,51.81
"Navarra, C. Foral de (NC)",2019,57.22
País Vasco (PV),2019,60.32
La Rioja (RI),2019,57.86
Ceuta (CE),2019,51.07
Melilla (ML),2019,56.0
