Region,Año,Total
España (ES),2020,30.19
Andalucía (AN),2020,26.43
Aragón (AR),2020,34.32
"Asturias, Principado de (AS)",2020,41.89
"Balears, Illes (IB)",2020,23.34
Canarias (CN),2020,23.77
Cantabria (CB),2020,34.99
Castilla y León (CL),2020,41.29
Castilla - La Mancha (CM),2020,29.38
Cataluña (CT),2020,29.84
Comunitat Valenciana (VC),2020,30.44
Extremadura (EX),2020,32.31
Galicia (GA),2020,41.04
"Madrid, Comunidad de (MD)",2020,27.33
"Murcia, Región de (MC)",2020,24.07
"Navarra, C. Foral de (NC)",2020,31.37
País Vasco (PV),2020,36.65
La Rioja (RI),2020,33.58
Ceuta (CE),2020,18.73
Melilla (ML),2020,17.32
España (ES),2018,29.61
Andalucía (AN),2018,25.62
Aragón (AR),2018,34.1
"Asturias, Principado de (AS)",2018,39.99
"Balears, Illes (IB)",2018,23.04
Canarias (CN),2018,22.95
Cantabria (CB),2018,33.54
Castilla y León (CL),2018,40.09
Castilla - La Mancha (CM),2018,29.02
Cataluña (CT),2018,29.6
Comunitat Valenciana (VC),2018,29.88
Extremadura (EX),2018,31.43
Galicia (GA),2018,39.92
"Madrid, Comunidad de (MD)",2018,26.98
"Murcia, Región de (MC)",2018,23.7
"Navarra, C. Foral de (NC)",2018,30.95
País Vasco (PV),2018,35.7
La Rioja (RI),2018,32.88
Ceuta (CE),2018,17.68
Melilla (ML),2018,16.31
España (ES),2021,30.46
Andalucía (AN),2021,26.82
Aragón (AR),2021,34.36
"Asturias, Principado de (AS)",2021,42.63
"Balears, Illes (IB)",2021,23.77
Canarias (CN),2021,24.45
Cantabria (CB),2021,35.63
Castilla y León (CL),2021,41.52
Castilla - La Mancha (CM),2021,29.18
Cataluña (CT),2021,29.91
Comunitat Valenciana (VC),2021,30.83
Extremadura (EX),2021,32.57
Galicia (GA),2021,41.58
"Madrid, Comunidad de (MD)",2021,27.4
"Murcia, Región de (MC)",2021,24.35
"Navarra, C. Foral de (NC)",2021,31.63
País Vasco (PV),2021,37.16
La Rioja (RI),2021,33.83
Ceuta (CE),2021,19.22
Melilla (ML),2021,17.68
España (ES),2022,30.96
Andalucía (AN),2022,27.27
Aragón (AR),2022,35.31
"Asturias, Principado de (AS)",2022,43.82
"Balears, Illes (IB)",2022,24.28
Canarias (CN),2022,25.16
Cantabria (CB),2022,36.52
Castilla y León (CL),2022,42.44
Castilla - La Mancha (CM),2022,29.59
Cataluña (CT),2022,30.29
Comunitat Valenciana (VC),2022,31.13
Extremadura (EX),2022,33.1
Galicia (GA),2022,42.28
"Madrid, Comunidad de (MD)",2022,27.91
"Murcia, Región de (MC)",2022,24.58
"Navarra, C. Foral de (NC)",2022,32.28
País Vasco (PV),2022,37.96
La Rioja (RI),2022,34.4
Ceuta (CE),2022,19.59
Melilla (ML),2022,18.19
España (ES),2017,29.17
Andalucía (AN),2017,25.16
Aragón (AR),2017,33.62
"Asturias, Principado de (AS)",2017,39.0
"Balears, Illes (IB)",2017,22.78
Canarias (CN),2017,22.46
Cantabria (CB),2017,32.71
Castilla y León (CL),2017,39.39
Castilla - La Mancha (CM),2017,28.64
Cataluña (CT),2017,29.28
Comunitat Valenciana (VC),2017,29.4
Extremadura (EX),2017,30.98
Galicia (GA),2017,39.19
"Madrid, Comunidad de (MD)",2017,26.58
"Murcia, Región de (MC)",2017,23.58
"Navarra, C. Foral de (NC)",2017,30.57
País Vasco (PV),2017,35.0
La Rioja (RI),2017,32.34
Ceuta (CE),2017,17.29
Melilla (ML),2017,15.81
España (ES),2019,29.93
Andalucía (AN),2019,26.05
Aragón (AR),2019,34.23
"Asturias, Principado de (AS)",2019,40.99
"Balears, Illes (IB)",2019,23.17
Canarias (CN),2019,23.32
Cantabria (CB),2019,34.28
Castilla y León (CL),2019,40.71
Castilla - La Mancha (CM),2019,29.28
Cataluña (CT),2019,29.73
Comunitat Valenciana (VC),2019,30.21
Extremadura (EX),2019,31.91
Galicia (GA),2019,40.5
"Madrid, Comunidad de (MD)",2019,27.22
"Murcia, Región de (MC)",2019,23.95
"Navarra, C. Foral de (NC)",2019,31.14
País Vasco (PV),2019,36.24
La Rioja (RI),2019,33.33
Ceuta (CE),2019,18.15
Melilla (ML),2019,16.73
