Region,Año,Hombre,Mujer,Total
España (ES),2020,12433.0,12156.0,12292
Andalucía (AN),2020,,,9990
Aragón (AR),2020,,,13097
"Asturias, Principado de (AS)",2020,,,12786
"Balears, Illes (IB)",2020,,,12658
Canarias (CN),2020,,,9935
Cantabria (CB),2020,,,12748
Castilla y León (CL),2020,,,12697
Castilla - La Mancha (CM),2020,,,10485
Cataluña (CT),2020,,,14170
Comunitat Valenciana (VC),2020,,,11332
Extremadura (EX),2020,,,9147
Galicia (GA),2020,,,11469
"Madrid, Comunidad de (MD)",2020,,,14580
"Murcia, Región de (MC)",2020,,,9850
"Navarra, C. Foral de (NC)",2020,,,15094
País Vasco (PV),2020,,,15813
La Rioja (RI),2020,,,13504
Ceuta (CE),2020,,,9853
Melilla (ML),2020,,,11427
España (ES),2018,11549.0,11279.0,11412
Andalucía (AN),2018,,,9258
Aragón (AR),2018,,,11990
"Asturias, Principado de (AS)",2018,,,12085
"Balears, Illes (IB)",2018,,,13240
Canarias (CN),2018,,,8964
Cantabria (CB),2018,,,11239
Castilla y León (CL),2018,,,11949
Castilla - La Mancha (CM),2018,,,9533
Cataluña (CT),2018,,,13338
Comunitat Valenciana (VC),2018,,,10232
Extremadura (EX),2018,,,8503
Galicia (GA),2018,,,11239
"Madrid, Comunidad de (MD)",2018,,,13279
"Murcia, Región de (MC)",2018,,,9111
"Navarra, C. Foral de (NC)",2018,,,13585
País Vasco (PV),2018,,,14722
La Rioja (RI),2018,,,12029
Ceuta (CE),2018,,,9784
Melilla (ML),2018,,,12507
España (ES),2021,12358.0,12184.0,12269
Andalucía (AN),2021,,,9915
Aragón (AR),2021,,,13345
"Asturias, Principado de (AS)",2021,,,12861
"Balears, Illes (IB)",2021,,,11235
Canarias (CN),2021,,,10161
Cantabria (CB),2021,,,12848
Castilla y León (CL),2021,,,12656
Castilla - La Mancha (CM),2021,,,10257
Cataluña (CT),2021,,,14159
Comunitat Valenciana (VC),2021,,,11237
Extremadura (EX),2021,,,9500
Galicia (GA),2021,,,11453
"Madrid, Comunidad de (MD)",2021,,,14836
"Murcia, Región de (MC)",2021,,,9931
"Navarra, C. Foral de (NC)",2021,,,15269
País Vasco (PV),2021,,,15544
La Rioja (RI),2021,,,12913
Ceuta (CE),2021,,,10397
Melilla (ML),2021,,,12012
España (ES),2022,13180.0,12843.0,13008
Andalucía (AN),2022,,,10703
Aragón (AR),2022,,,14015
"Asturias, Principado de (AS)",2022,,,13777
"Balears, Illes (IB)",2022,,,12451
Canarias (CN),2022,,,10716
Cantabria (CB),2022,,,13811
Castilla y León (CL),2022,,,13323
Castilla - La Mancha (CM),2022,,,11037
Cataluña (CT),2022,,,14692
Comunitat Valenciana (VC),2022,,,11876
Extremadura (EX),2022,,,10133
Galicia (GA),2022,,,12352
"Madrid, Comunidad de (MD)",2022,,,15695
"Murcia, Región de (MC)",2022,,,10632
"Navarra, C. Foral de (NC)",2022,,,15970
País Vasco (PV),2022,,,16427
La Rioja (RI),2022,,,13538
Ceuta (CE),2022,,,12152
Melilla (ML),2022,,,13089
España (ES),2017,11153.0,10998.0,11074
Andalucía (AN),2017,,,9116
Aragón (AR),2017,,,12110
"Asturias, Principado de (AS)",2017,,,12244
"Balears, Illes (IB)",2017,,,12665
Canarias (CN),2017,,,8863
Cantabria (CB),2017,,,11293
Castilla y León (CL),2017,,,11239
Castilla - La Mancha (CM),2017,,,9045
Cataluña (CT),2017,,,12712
Comunitat Valenciana (VC),2017,,,9801
Extremadura (EX),2017,,,8250
Galicia (GA),2017,,,10753
"Madrid, Comunidad de (MD)",2017,,,13099
"Murcia, Región de (MC)",2017,,,8702
"Navarra, C. Foral de (NC)",2017,,,13583
País Vasco (PV),2017,,,14397
La Rioja (RI),2017,,,12131
Ceuta (CE),2017,,,9676
Melilla (ML),2017,,,10161
España (ES),2019,11768.0,11595.0,11680
Andalucía (AN),2019,,,9160
Aragón (AR),2019,,,12300
"Asturias, Principado de (AS)",2019,,,12523
"Balears, Illes (IB)",2019,,,12410
Canarias (CN),2019,,,9487
Cantabria (CB),2019,,,12205
Castilla y León (CL),2019,,,12003
Castilla - La Mancha (CM),2019,,,9715
Cataluña (CT),2019,,,13527
Comunitat Valenciana (VC),2019,,,10611
Extremadura (EX),2019,,,8796
Galicia (GA),2019,,,11218
"Madrid, Comunidad de (MD)",2019,,,14199
"Murcia, Región de (MC)",2019,,,8956
"Navarra, C. Foral de (NC)",2019,,,13937
País Vasco (PV),2019,,,15300
La Rioja (RI),2019,,,12697
Ceuta (CE),2019,,,10164
Melilla (ML),2019,,,11733
