Region,Año,Hombre,Mujer,Total
España (ES),2020,28.97,52.54,42.18
Andalucía (AN),2020,23.94,44.32,35.3
Aragón (AR),2020,34.16,52.09,44.15
"Asturias, Principado de (AS)",2020,25.7,52.91,41.38
"Balears, Illes (IB)",2020,15.63,37.35,27.53
Canarias (CN),2020,51.5,91.98,73.54
Cantabria (CB),2020,18.67,29.26,24.67
Castilla y León (CL),2020,31.22,56.48,45.03
Castilla - La Mancha (CM),2020,46.67,66.91,57.72
Cataluña (CT),2020,22.5,44.53,34.89
Comunitat Valenciana (VC),2020,25.79,51.53,40.11
Extremadura (EX),2020,29.59,67.66,50.64
Galicia (GA),2020,44.15,65.59,56.33
"Madrid, Comunidad de (MD)",2020,21.69,44.46,34.84
"Murcia, Región de (MC)",2020,42.41,84.44,65.82
"Navarra, C. Foral de (NC)",2020,25.02,36.12,31.13
País Vasco (PV),2020,33.6,55.63,46.11
La Rioja (RI),2020,20.57,43.3,33.05
Ceuta (CE),2020,17.85,36.47,28.02
Melilla (ML),2020,37.86,62.03,50.92
España (ES),2017,37.26,64.13,52.37
Andalucía (AN),2017,44.77,72.04,60.05
Aragón (AR),2017,31.11,54.15,43.94
"Asturias, Principado de (AS)",2017,41.88,58.67,51.61
"Balears, Illes (IB)",2017,21.52,68.31,47.25
Canarias (CN),2017,27.26,59.37,44.79
Cantabria (CB),2017,25.79,47.59,38.16
Castilla y León (CL),2017,30.08,54.46,43.51
Castilla - La Mancha (CM),2017,40.09,63.48,52.93
Cataluña (CT),2017,41.49,58.75,51.22
Comunitat Valenciana (VC),2017,28.19,53.84,42.49
Extremadura (EX),2017,44.58,72.66,60.26
Galicia (GA),2017,51.43,83.72,69.84
"Madrid, Comunidad de (MD)",2017,29.61,61.45,48.01
"Murcia, Región de (MC)",2017,81.47,94.04,88.48
"Navarra, C. Foral de (NC)",2017,11.73,53.76,34.95
País Vasco (PV),2017,25.43,68.38,49.88
La Rioja (RI),2017,25.12,50.65,39.21
Ceuta (CE),2017,35.72,25.02,29.81
Melilla (ML),2017,67.78,84.95,77.37
