Region,Año,Total
España (ES),2020,1370
Andalucía (AN),2020,254
Aragón (AR),2020,68
"Asturias, Principado de (AS)",2020,22
"Balears, Illes (IB)",2020,37
Canarias (CN),2020,50
Cantabria (CB),2020,16
Castilla y León (CL),2020,126
Castilla - La Mancha (CM),2020,96
Cataluña (CT),2020,204
Comunitat Valenciana (VC),2020,129
Extremadura (EX),2020,40
Galicia (GA),2020,103
"Madrid, Comunidad de (MD)",2020,105
"Murcia, Región de (MC)",2020,39
"Navarra, C. Foral de (NC)",2020,20
País Vasco (PV),2020,42
La Rioja (RI),2020,16
Ceuta (CE),2020,2
Melilla (ML),2020,1
España (ES),2018,1806
Andalucía (AN),2018,274
Aragón (AR),2018,85
"Asturias, Principado de (AS)",2018,43
"Balears, Illes (IB)",2018,53
Canarias (CN),2018,68
Cantabria (CB),2018,23
Castilla y León (CL),2018,100
Castilla - La Mancha (CM),2018,176
Cataluña (CT),2018,326
Comunitat Valenciana (VC),2018,183
Extremadura (EX),2018,51
Galicia (GA),2018,144
"Madrid, Comunidad de (MD)",2018,114
"Murcia, Región de (MC)",2018,66
"Navarra, C. Foral de (NC)",2018,35
País Vasco (PV),2018,49
La Rioja (RI),2018,10
Ceuta (CE),2018,3
Melilla (ML),2018,3
España (ES),2021,1533
Andalucía (AN),2021,302
Aragón (AR),2021,51
"Asturias, Principado de (AS)",2021,30
"Balears, Illes (IB)",2021,47
Canarias (CN),2021,60
Cantabria (CB),2021,15
Castilla y León (CL),2021,124
Castilla - La Mancha (CM),2021,104
Cataluña (CT),2021,242
Comunitat Valenciana (VC),2021,140
Extremadura (EX),2021,40
Galicia (GA),2021,104
"Madrid, Comunidad de (MD)",2021,127
"Murcia, Región de (MC)",2021,49
"Navarra, C. Foral de (NC)",2021,28
País Vasco (PV),2021,57
La Rioja (RI),2021,12
Ceuta (CE),2021,0
Melilla (ML),2021,1
España (ES),2022,1746
Andalucía (AN),2022,333
Aragón (AR),2022,80
"Asturias, Principado de (AS)",2022,34
"Balears, Illes (IB)",2022,38
Canarias (CN),2022,68
Cantabria (CB),2022,21
Castilla y León (CL),2022,179
Castilla - La Mancha (CM),2022,97
Cataluña (CT),2022,264
Comunitat Valenciana (VC),2022,175
Extremadura (EX),2022,41
Galicia (GA),2022,123
"Madrid, Comunidad de (MD)",2022,125
"Murcia, Región de (MC)",2022,59
"Navarra, C. Foral de (NC)",2022,37
País Vasco (PV),2022,55
La Rioja (RI),2022,12
Ceuta (CE),2022,1
Melilla (ML),2022,4
España (ES),2017,1830
Andalucía (AN),2017,305
Aragón (AR),2017,80
"Asturias, Principado de (AS)",2017,37
"Balears, Illes (IB)",2017,68
Canarias (CN),2017,67
Cantabria (CB),2017,22
Castilla y León (CL),2017,164
Castilla - La Mancha (CM),2017,129
Cataluña (CT),2017,283
Comunitat Valenciana (VC),2017,176
Extremadura (EX),2017,62
Galicia (GA),2017,117
"Madrid, Comunidad de (MD)",2017,125
"Murcia, Región de (MC)",2017,85
"Navarra, C. Foral de (NC)",2017,29
País Vasco (PV),2017,51
La Rioja (RI),2017,26
Ceuta (CE),2017,2
Melilla (ML),2017,2
España (ES),2019,1755
Andalucía (AN),2019,304
Aragón (AR),2019,63
"Asturias, Principado de (AS)",2019,31
"Balears, Illes (IB)",2019,49
Canarias (CN),2019,74
Cantabria (CB),2019,18
Castilla y León (CL),2019,136
Castilla - La Mancha (CM),2019,93
Cataluña (CT),2019,304
Comunitat Valenciana (VC),2019,177
Extremadura (EX),2019,50
Galicia (GA),2019,127
"Madrid, Comunidad de (MD)",2019,159
"Murcia, Región de (MC)",2019,54
"Navarra, C. Foral de (NC)",2019,31
País Vasco (PV),2019,65
La Rioja (RI),2019,18
Ceuta (CE),2019,2
Melilla (ML),2019,0
