Region,Año,Hombre,Mujer,Total
España (ES),2021,22.6,21.8,22.2
Andalucía (AN),2021,17.0,15.1,16.1
Aragón (AR),2021,21.2,19.8,20.4
"Asturias, Principado de (AS)",2021,19.9,17.3,18.5
"Balears, Illes (IB)",2021,26.8,20.6,24.0
Canarias (CN),2021,22.0,21.6,21.8
Cantabria (CB),2021,24.9,22.0,23.4
Castilla y León (CL),2021,25.7,22.2,24.0
Castilla - La Mancha (CM),2021,22.9,21.4,22.2
Cataluña (CT),2021,24.7,26.5,25.6
Comunitat Valenciana (VC),2021,28.4,26.5,27.4
Extremadura (EX),2021,25.3,20.6,22.8
Galicia (GA),2021,27.0,20.4,23.7
"Madrid, Comunidad de (MD)",2021,20.2,23.4,21.8
"Murcia, Región de (MC)",2021,19.3,15.2,17.4
"Navarra, C. Foral de (NC)",2021,31.4,23.5,27.6
País Vasco (PV),2021,25.9,27.3,26.6
La Rioja (RI),2021,24.5,16.8,20.5
Ceuta (CE),2021,12.5,11.9,12.2
Melilla (ML),2021,9.8,4.9,7.1
España (ES),2019,29.2,25.9,27.5
Andalucía (AN),2019,24.8,22.8,23.8
Aragón (AR),2019,31.8,24.5,28.3
"Asturias, Principado de (AS)",2019,28.5,23.7,26.1
"Balears, Illes (IB)",2019,29.9,30.7,30.4
Canarias (CN),2019,28.7,20.5,24.6
Cantabria (CB),2019,26.6,21.2,23.9
Castilla y León (CL),2019,27.8,23.7,25.7
Castilla - La Mancha (CM),2019,26.4,28.7,27.6
Cataluña (CT),2019,34.1,32.5,33.2
Comunitat Valenciana (VC),2019,30.4,29.2,29.8
Extremadura (EX),2019,23.4,16.4,19.8
Galicia (GA),2019,25.3,19.9,22.4
"Madrid, Comunidad de (MD)",2019,31.3,26.0,28.6
"Murcia, Región de (MC)",2019,25.0,19.7,22.4
"Navarra, C. Foral de (NC)",2019,34.0,23.1,28.6
País Vasco (PV),2019,33.8,32.3,33.0
La Rioja (RI),2019,30.0,25.4,27.5
Ceuta (CE),2019,19.7,10.1,14.5
Melilla (ML),2019,14.7,6.7,10.2
