id,Region,Año,Hombre,Mujer,Total
1,España (ES),2017,25.58,25.95,25.77
2,Andalucía (AN),2017,35.93,39.43,37.72
3,Aragón (AR),2017,24.91,24.4,24.65
4,"Asturias, Principado de (AS)",2017,6.48,5.12,5.77
5,"Balears, Illes (IB)",2017,21.97,25.27,23.63
6,Canarias (CN),2017,44.54,43.79,44.16
7,Cantabria (CB),2017,12.27,15.23,13.8
8,Castilla y León (CL),2017,16.58,16.32,16.45
9,Castilla - La Mancha (CM),2017,28.43,25.65,27.04
10,Cataluña (CT),2017,18.04,18.77,18.42
11,Comunitat Valenciana (VC),2017,35.4,32.91,34.13
12,Extremadura (EX),2017,9.89,10.08,9.98
13,Galicia (GA),2017,1.94,3.02,2.5
14,"Madrid, Comunidad de (MD)",2017,29.45,28.17,28.78
15,"Murcia, Región de (MC)",2017,30.49,30.81,30.65
16,"Navarra, C. Foral de (NC)",2017,17.0,16.12,16.56
17,País Vasco (PV),2017,16.43,21.29,18.95
18,La Rioja (RI),2017,9.2,5.52,7.32
19,Ceuta (CE),2017,77.34,89.45,83.36
20,Melilla (ML),2017,91.01,86.47,88.73
