Region,Año,Hombre,Mujer,Total
España (ES),2017,27.27,28.2,27.75
Andalucía (AN),2017,32.62,32.19,32.4
Aragón (AR),2017,31.56,30.93,31.24
"Asturias, Principado de (AS)",2017,16.73,16.11,16.4
"Balears, Illes (IB)",2017,35.65,32.31,33.97
Canarias (CN),2017,31.05,29.56,30.29
Cantabria (CB),2017,5.88,6.61,6.26
Castilla y León (CL),2017,20.13,18.02,19.06
Castilla - La Mancha (CM),2017,19.46,16.6,18.03
Cataluña (CT),2017,26.36,28.37,27.39
Comunitat Valenciana (VC),2017,34.76,34.94,34.85
Extremadura (EX),2017,7.21,11.49,9.37
Galicia (GA),2017,5.5,8.91,7.28
"Madrid, Comunidad de (MD)",2017,32.29,36.76,34.63
"Murcia, Región de (MC)",2017,37.92,34.97,36.44
"Navarra, C. Foral de (NC)",2017,23.71,28.43,26.11
País Vasco (PV),2017,26.62,29.79,28.27
La Rioja (RI),2017,12.11,17.15,14.68
Ceuta (CE),2017,36.64,36.11,36.38
Melilla (ML),2017,52.45,57.58,55.02
