Region,Año,Hombre,Mujer,Total
España (ES),2017,13.92,21.9,18.01
Andalucía (AN),2017,19.7,33.03,26.5
Aragón (AR),2017,9.57,15.41,12.54
"Asturias, Principado de (AS)",2017,13.59,20.5,17.23
"Balears, Illes (IB)",2017,10.23,14.16,12.2
Canarias (CN),2017,11.48,17.09,14.33
Cantabria (CB),2017,7.84,13.6,10.8
Castilla y León (CL),2017,15.55,20.12,17.86
Castilla - La Mancha (CM),2017,10.73,17.9,14.3
Cataluña (CT),2017,11.64,20.82,16.36
Comunitat Valenciana (VC),2017,16.97,24.99,21.07
Extremadura (EX),2017,4.84,10.46,7.68
Galicia (GA),2017,6.32,12.09,9.32
"Madrid, Comunidad de (MD)",2017,12.51,18.01,15.4
"Murcia, Región de (MC)",2017,24.14,30.76,27.45
"Navarra, C. Foral de (NC)",2017,15.18,22.56,18.92
País Vasco (PV),2017,14.69,23.09,19.04
La Rioja (RI),2017,7.74,16.47,12.16
Ceuta (CE),2017,4.1,7.72,5.88
Melilla (ML),2017,20.54,26.84,23.7
