Region,Año,Total
España (ES),2020,84.09
Andalucía (AN),2020,90.7
Aragón (AR),2020,74.39
"Asturias, Principado de (AS)",2020,79.81
"Balears, Illes (IB)",2020,60.1
Canarias (CN),2020,89.82
Cantabria (CB),2020,90.03
Castilla y León (CL),2020,98.58
Castilla - La Mancha (CM),2020,86.06
Cataluña (CT),2020,82.58
Comunitat Valenciana (VC),2020,85.94
Extremadura (EX),2020,86.52
Galicia (GA),2020,71.46
"Madrid, Comunidad de (MD)",2020,76.6
"Murcia, Región de (MC)",2020,96.36
"Navarra, C. Foral de (NC)",2020,88.4
País Vasco (PV),2020,81.31
La Rioja (RI),2020,94.12
Ceuta (CE),2020,85.02
Melilla (ML),2020,99.21
España (ES),2018,83.44
Andalucía (AN),2018,89.58
Aragón (AR),2018,87.17
"Asturias, Principado de (AS)",2018,75.15
"Balears, Illes (IB)",2018,82.84
Canarias (CN),2018,83.23
Cantabria (CB),2018,91.84
Castilla y León (CL),2018,99.99
Castilla - La Mancha (CM),2018,85.55
Cataluña (CT),2018,80.58
Comunitat Valenciana (VC),2018,88.14
Extremadura (EX),2018,88.25
Galicia (GA),2018,70.43
"Madrid, Comunidad de (MD)",2018,77.67
"Murcia, Región de (MC)",2018,55.28
"Navarra, C. Foral de (NC)",2018,89.29
País Vasco (PV),2018,81.88
La Rioja (RI),2018,97.48
Ceuta (CE),2018,84.98
Melilla (ML),2018,93.54
España (ES),2021,84.38
Andalucía (AN),2021,90.72
Aragón (AR),2021,73.49
"Asturias, Principado de (AS)",2021,78.89
"Balears, Illes (IB)",2021,60.19
Canarias (CN),2021,90.92
Cantabria (CB),2021,90.04
Castilla y León (CL),2021,98.6
Castilla - La Mancha (CM),2021,85.33
Cataluña (CT),2021,83.72
Comunitat Valenciana (VC),2021,86.26
Extremadura (EX),2021,86.58
Galicia (GA),2021,72.7
"Madrid, Comunidad de (MD)",2021,76.6
"Murcia, Región de (MC)",2021,96.34
"Navarra, C. Foral de (NC)",2021,88.72
País Vasco (PV),2021,81.31
La Rioja (RI),2021,94.12
Ceuta (CE),2021,85.02
Melilla (ML),2021,99.21
España (ES),2017,84.5
Andalucía (AN),2017,91.0
Aragón (AR),2017,85.0
"Asturias, Principado de (AS)",2017,66.0
"Balears, Illes (IB)",2017,88.0
Canarias (CN),2017,81.0
Cantabria (CB),2017,90.0
Castilla y León (CL),2017,98.0
Castilla - La Mancha (CM),2017,81.0
Cataluña (CT),2017,81.0
Comunitat Valenciana (VC),2017,88.0
Extremadura (EX),2017,86.0
Galicia (GA),2017,67.0
"Madrid, Comunidad de (MD)",2017,78.0
"Murcia, Región de (MC)",2017,52.0
"Navarra, C. Foral de (NC)",2017,90.0
País Vasco (PV),2017,84.0
La Rioja (RI),2017,96.0
Ceuta (CE),2017,80.0
Melilla (ML),2017,100.0
España (ES),2019,84.19
Andalucía (AN),2019,91.31
Aragón (AR),2019,82.28
"Asturias, Principado de (AS)",2019,71.89
"Balears, Illes (IB)",2019,62.28
Canarias (CN),2019,91.56
Cantabria (CB),2019,89.42
Castilla y León (CL),2019,97.89
Castilla - La Mancha (CM),2019,85.28
Cataluña (CT),2019,80.74
Comunitat Valenciana (VC),2019,86.24
Extremadura (EX),2019,85.24
Galicia (GA),2019,69.99
"Madrid, Comunidad de (MD)",2019,78.95
"Murcia, Región de (MC)",2019,90.83
"Navarra, C. Foral de (NC)",2019,90.27
País Vasco (PV),2019,82.1
La Rioja (RI),2019,95.29
Ceuta (CE),2019,84.08
Melilla (ML),2019,100.0
