Region,Año,Hombre,Mujer,Total
España (ES),2020,16.5,15.54,16.01
Andalucía (AN),2020,19.53,19.8,19.67
Aragón (AR),2020,16.38,15.13,15.75
"Asturias, Principado de (AS)",2020,20.76,17.61,19.12
"Balears, Illes (IB)",2020,18.37,14.21,16.35
Canarias (CN),2020,17.13,17.88,17.5
Cantabria (CB),2020,15.5,11.91,13.68
Castilla y León (CL),2020,16.73,16.91,16.82
Castilla - La Mancha (CM),2020,17.42,11.29,14.4
Cataluña (CT),2020,13.18,15.2,14.2
Comunitat Valenciana (VC),2020,19.2,14.16,16.66
Extremadura (EX),2020,14.32,11.38,12.82
Galicia (GA),2020,16.85,16.16,16.49
"Madrid, Comunidad de (MD)",2020,13.87,13.02,13.42
"Murcia, Región de (MC)",2020,19.53,18.62,19.08
"Navarra, C. Foral de (NC)",2020,13.5,12.96,13.23
País Vasco (PV),2020,13.49,13.53,13.51
La Rioja (RI),2020,17.27,14.28,15.81
Ceuta (CE),2020,13.12,13.87,13.5
Melilla (ML),2020,5.1,8.52,6.81
España (ES),2017,18.15,16.74,17.43
Andalucía (AN),2017,22.5,19.54,21.0
Aragón (AR),2017,17.28,14.19,15.73
"Asturias, Principado de (AS)",2017,23.07,20.36,21.68
"Balears, Illes (IB)",2017,19.47,11.33,15.49
Canarias (CN),2017,17.17,21.4,19.26
Cantabria (CB),2017,19.28,15.63,17.5
Castilla y León (CL),2017,16.83,9.64,13.22
Castilla - La Mancha (CM),2017,20.25,20.39,20.32
Cataluña (CT),2017,12.29,17.46,14.94
Comunitat Valenciana (VC),2017,20.64,16.94,18.75
Extremadura (EX),2017,22.87,15.72,19.28
Galicia (GA),2017,18.68,18.02,18.35
"Madrid, Comunidad de (MD)",2017,17.12,14.73,15.87
"Murcia, Región de (MC)",2017,17.04,15.18,16.11
"Navarra, C. Foral de (NC)",2017,16.98,13.77,15.37
País Vasco (PV),2017,14.21,13.48,13.84
La Rioja (RI),2017,15.43,14.5,14.95
Ceuta (CE),2017,23.18,25.1,24.13
Melilla (ML),2017,21.01,18.42,19.72
