Region,Año,Hombre,Mujer,Total
España (ES),2017,10.4,10.2,10.3
Andalucía (AN),2017,10.61,14.43,12.48
Aragón (AR),2017,1.6,3.48,2.54
"Asturias, Principado de (AS)",2017,9.29,6.43,7.86
"Balears, Illes (IB)",2017,7.8,12.62,10.04
Canarias (CN),2017,10.94,9.92,10.38
Cantabria (CB),2017,0.92,4.01,2.55
Castilla y León (CL),2017,4.04,7.51,5.6
Castilla - La Mancha (CM),2017,11.68,8.61,10.14
Cataluña (CT),2017,14.8,10.11,12.65
Comunitat Valenciana (VC),2017,12.72,11.17,11.98
Extremadura (EX),2017,12.69,7.83,10.38
Galicia (GA),2017,7.63,4.64,6.18
"Madrid, Comunidad de (MD)",2017,5.76,9.34,7.51
"Murcia, Región de (MC)",2017,18.3,10.05,14.21
"Navarra, C. Foral de (NC)",2017,1.53,1.35,1.44
País Vasco (PV),2017,12.8,9.42,11.1
La Rioja (RI),2017,5.19,12.05,8.29
Ceuta (CE),2017,17.65,18.38,17.97
Melilla (ML),2017,10.51,12.82,11.51
