Region,Año,Hombre,Mujer,Total
España (ES),2017,33.51,41.89,37.81
Andalucía (AN),2017,35.61,47.12,41.48
Aragón (AR),2017,36.04,45.12,40.65
"Asturias, Principado de (AS)",2017,30.61,38.52,34.76
"Balears, Illes (IB)",2017,35.46,50.03,42.81
Canarias (CN),2017,38.78,48.15,43.53
Cantabria (CB),2017,39.79,51.77,45.96
Castilla y León (CL),2017,24.05,32.0,28.07
Castilla - La Mancha (CM),2017,39.54,48.5,44.01
Cataluña (CT),2017,33.8,43.99,39.05
Comunitat Valenciana (VC),2017,37.08,44.28,40.75
Extremadura (EX),2017,29.71,34.62,32.19
Galicia (GA),2017,22.27,27.12,24.8
"Madrid, Comunidad de (MD)",2017,32.05,39.24,35.83
"Murcia, Región de (MC)",2017,44.06,45.47,44.77
"Navarra, C. Foral de (NC)",2017,17.72,27.68,22.79
País Vasco (PV),2017,31.01,34.32,32.73
La Rioja (RI),2017,26.62,28.22,27.44
Ceuta (CE),2017,56.94,73.26,65.05
Melilla (ML),2017,42.14,61.99,52.11
España (ES),2020,32.27,40.34,36.41
Andalucía (AN),2020,34.37,45.51,40.06
Aragón (AR),2020,30.57,29.99,30.28
"Asturias, Principado de (AS)",2020,20.73,20.99,20.87
"Balears, Illes (IB)",2020,48.55,50.9,49.73
Canarias (CN),2020,40.98,45.96,43.51
Cantabria (CB),2020,52.12,68.2,60.42
Castilla y León (CL),2020,32.37,33.64,33.02
Castilla - La Mancha (CM),2020,34.96,43.96,39.45
Cataluña (CT),2020,33.96,42.09,38.14
Comunitat Valenciana (VC),2020,21.75,27.99,24.94
Extremadura (EX),2020,22.11,22.11,22.11
Galicia (GA),2020,38.73,43.66,41.3
"Madrid, Comunidad de (MD)",2020,30.61,46.89,39.17
"Murcia, Región de (MC)",2020,35.47,43.79,39.65
"Navarra, C. Foral de (NC)",2020,19.17,27.36,23.32
País Vasco (PV),2020,27.07,29.68,28.43
La Rioja (RI),2020,22.54,27.13,24.88
Ceuta (CE),2020,48.53,74.59,61.48
Melilla (ML),2020,32.66,50.95,41.86
