Region,Año,Hombre,Mujer,Total
España (ES),2020,17.26,18.13,17.71
Andalucía (AN),2020,15.8,17.49,16.66
Aragón (AR),2020,18.39,19.3,18.85
"Asturias, Principado de (AS)",2020,18.23,19.13,18.7
"Balears, Illes (IB)",2020,16.39,16.14,16.27
Canarias (CN),2020,21.01,21.53,21.28
Cantabria (CB),2020,19.42,19.71,19.57
Castilla y León (CL),2020,20.28,21.24,20.77
Castilla - La Mancha (CM),2020,9.09,9.12,9.1
Cataluña (CT),2020,18.4,18.75,18.58
Comunitat Valenciana (VC),2020,20.88,21.31,21.1
Extremadura (EX),2020,11.88,13.62,12.77
Galicia (GA),2020,20.56,21.99,21.3
"Madrid, Comunidad de (MD)",2020,15.16,16.3,15.75
"Murcia, Región de (MC)",2020,17.3,18.8,18.05
"Navarra, C. Foral de (NC)",2020,14.75,14.65,14.7
País Vasco (PV),2020,16.13,16.24,16.18
La Rioja (RI),2020,17.23,17.52,17.38
España (ES),2018,16.08,17.34,16.72
Andalucía (AN),2018,15.73,17.73,16.75
Aragón (AR),2018,18.61,19.94,19.29
"Asturias, Principado de (AS)",2018,18.08,19.31,18.72
"Balears, Illes (IB)",2018,15.88,15.81,15.84
Canarias (CN),2018,19.85,20.77,20.31
Cantabria (CB),2018,18.61,18.91,18.76
Castilla y León (CL),2018,19.59,21.11,20.36
Castilla - La Mancha (CM),2018,10.08,10.12,10.1
Cataluña (CT),2018,13.14,14.64,13.9
Comunitat Valenciana (VC),2018,20.25,20.95,20.61
Extremadura (EX),2018,10.78,12.54,11.67
Galicia (GA),2018,19.74,21.64,20.72
"Madrid, Comunidad de (MD)",2018,14.51,15.62,15.09
"Murcia, Región de (MC)",2018,16.97,18.58,17.77
"Navarra, C. Foral de (NC)",2018,15.17,15.23,15.2
País Vasco (PV),2018,15.65,16.05,15.86
La Rioja (RI),2018,17.46,18.03,17.75
España (ES),2021,18.0,18.88,18.45
Andalucía (AN),2021,19.34,21.19,20.28
Aragón (AR),2021,18.37,19.13,18.76
"Asturias, Principado de (AS)",2021,18.26,18.91,18.6
"Balears, Illes (IB)",2021,16.5,16.28,16.39
Canarias (CN),2021,21.29,21.81,21.56
Cantabria (CB),2021,19.71,19.88,19.8
Castilla y León (CL),2021,20.8,21.51,21.17
Castilla - La Mancha (CM),2021,10.37,11.3,10.83
Cataluña (CT),2021,18.15,18.55,18.35
Comunitat Valenciana (VC),2021,20.83,21.22,21.03
Extremadura (EX),2021,11.52,13.15,12.35
Galicia (GA),2021,20.9,22.17,21.56
"Madrid, Comunidad de (MD)",2021,15.41,16.43,15.94
"Murcia, Región de (MC)",2021,17.55,18.9,18.22
"Navarra, C. Foral de (NC)",2021,14.76,14.57,14.67
País Vasco (PV),2021,16.1,16.22,16.16
La Rioja (RI),2021,17.35,17.49,17.42
España (ES),2017,16.0,17.47,16.75
Andalucía (AN),2017,15.46,17.58,16.54
Aragón (AR),2017,18.66,20.16,19.42
"Asturias, Principado de (AS)",2017,17.8,19.36,18.61
"Balears, Illes (IB)",2017,15.5,15.57,15.54
Canarias (CN),2017,19.61,20.69,20.16
Cantabria (CB),2017,18.22,18.81,18.52
Castilla y León (CL),2017,19.19,20.95,20.08
Castilla - La Mancha (CM),2017,9.76,9.99,9.87
Cataluña (CT),2017,13.2,14.76,13.99
Comunitat Valenciana (VC),2017,20.19,21.07,20.64
Extremadura (EX),2017,10.78,13.09,11.95
Galicia (GA),2017,19.22,21.4,20.35
"Madrid, Comunidad de (MD)",2017,15.03,16.62,15.85
"Murcia, Región de (MC)",2017,16.68,18.43,17.55
"Navarra, C. Foral de (NC)",2017,15.24,15.36,15.3
País Vasco (PV),2017,15.51,16.07,15.8
La Rioja (RI),2017,17.26,18.0,17.64
España (ES),2019,17.37,18.35,17.87
Andalucía (AN),2019,15.94,17.8,16.89
Aragón (AR),2019,18.79,19.86,19.33
"Asturias, Principado de (AS)",2019,18.37,19.46,18.94
"Balears, Illes (IB)",2019,16.3,16.12,16.21
Canarias (CN),2019,20.54,21.18,20.87
Cantabria (CB),2019,19.2,19.63,19.42
Castilla y León (CL),2019,20.23,21.49,20.88
Castilla - La Mancha (CM),2019,10.58,10.65,10.61
Cataluña (CT),2019,18.61,19.08,18.85
Comunitat Valenciana (VC),2019,20.71,21.25,20.99
Extremadura (EX),2019,11.14,12.77,11.96
Galicia (GA),2019,20.35,22.01,21.21
"Madrid, Comunidad de (MD)",2019,15.24,16.43,15.86
"Murcia, Región de (MC)",2019,17.21,18.77,17.99
"Navarra, C. Foral de (NC)",2019,14.99,14.9,14.94
País Vasco (PV),2019,16.78,16.76,16.77
La Rioja (RI),2019,17.33,17.75,17.54
