Region,Año,Hombre,Mujer,Total
España (ES),2020,40.2,34.1,37.1
Andalucía (AN),2020,49.8,43.7,46.7
Aragón (AR),2020,35.0,30.0,32.5
"Asturias, Principado de (AS)",2020,33.6,28.6,31.1
"Balears, Illes (IB)",2020,41.8,32.2,37.1
Canarias (CN),2020,43.3,35.7,39.5
Cantabria (CB),2020,35.0,29.7,32.3
Castilla y León (CL),2020,51.3,43.0,47.3
Castilla - La Mancha (CM),2020,41.0,33.7,37.4
Cataluña (CT),2020,38.4,34.0,36.2
Comunitat Valenciana (VC),2020,41.9,33.5,37.7
Extremadura (EX),2020,57.4,47.1,52.3
Galicia (GA),2020,41.3,33.7,37.5
"Madrid, Comunidad de (MD)",2020,25.7,22.5,24.1
"Murcia, Región de (MC)",2020,49.5,42.2,45.9
"Navarra, C. Foral de (NC)",2020,31.8,25.7,28.8
País Vasco (PV),2020,26.3,23.1,24.7
La Rioja (RI),2020,43.5,32.5,38.0
Ceuta (CE),2020,50.0,48.3,49.2
Melilla (ML),2020,39.4,44.5,41.9
España (ES),2018,42.8,37.0,39.9
Andalucía (AN),2018,51.3,46.6,49.0
Aragón (AR),2018,37.9,32.9,35.5
"Asturias, Principado de (AS)",2018,35.5,31.0,33.2
"Balears, Illes (IB)",2018,46.9,37.9,42.4
Canarias (CN),2018,46.9,42.2,44.6
Cantabria (CB),2018,34.4,28.2,31.3
Castilla y León (CL),2018,52.6,47.3,50.0
Castilla - La Mancha (CM),2018,43.8,35.4,39.7
Cataluña (CT),2018,40.4,34.7,37.6
Comunitat Valenciana (VC),2018,44.7,36.9,40.8
Extremadura (EX),2018,59.3,50.4,55.0
Galicia (GA),2018,44.5,37.8,41.1
"Madrid, Comunidad de (MD)",2018,30.0,25.6,27.7
"Murcia, Región de (MC)",2018,49.1,44.6,46.9
"Navarra, C. Foral de (NC)",2018,34.2,28.3,31.3
País Vasco (PV),2018,29.1,27.4,28.3
La Rioja (RI),2018,41.8,34.7,38.2
Ceuta (CE),2018,54.5,53.8,54.1
Melilla (ML),2018,46.3,49.5,47.8
España (ES),2021,39.5,32.7,36.1
Andalucía (AN),2021,48.3,41.3,44.8
Aragón (AR),2021,33.8,27.1,30.5
"Asturias, Principado de (AS)",2021,31.8,29.8,30.7
"Balears, Illes (IB)",2021,38.8,31.7,35.3
Canarias (CN),2021,41.8,33.8,37.8
Cantabria (CB),2021,34.7,28.1,31.4
Castilla y León (CL),2021,41.1,30.6,35.9
Castilla - La Mancha (CM),2021,49.9,41.5,45.8
Cataluña (CT),2021,37.7,31.0,34.3
Comunitat Valenciana (VC),2021,41.4,34.4,37.9
Extremadura (EX),2021,53.9,45.3,49.7
Galicia (GA),2021,40.5,31.8,36.1
"Madrid, Comunidad de (MD)",2021,27.8,22.9,25.3
"Murcia, Región de (MC)",2021,45.1,43.6,44.4
"Navarra, C. Foral de (NC)",2021,24.8,21.5,28.3
País Vasco (PV),2021,32.1,24.4,23.1
La Rioja (RI),2021,40.5,31.3,35.9
Ceuta (CE),2021,48.7,44.6,46.7
Melilla (ML),2021,41.8,41.5,41.6
España (ES),2022,37.7,31.0,34.4
Andalucía (AN),2022,47.21,40.17,43.67
Aragón (AR),2022,36.18,29.09,32.65
"Asturias, Principado de (AS)",2022,34.46,29.18,31.78
"Balears, Illes (IB)",2022,41.59,35.27,38.45
Canarias (CN),2022,40.16,32.32,36.22
Cantabria (CB),2022,32.42,26.9,29.65
Castilla y León (CL),2022,39.85,30.39,35.17
Castilla - La Mancha (CM),2022,49.34,42.18,45.85
Cataluña (CT),2022,36.27,29.99,33.1
Comunitat Valenciana (VC),2022,43.58,37.88,40.72
Extremadura (EX),2022,54.27,42.2,48.3
Galicia (GA),2022,39.12,31.63,35.33
"Madrid, Comunidad de (MD)",2022,26.07,22.39,24.18
"Murcia, Región de (MC)",2022,50.48,43.42,47.0
"Navarra, C. Foral de (NC)",2022,31.25,24.38,27.83
País Vasco (PV),2022,24.14,20.3,22.2
La Rioja (RI),2022,38.32,28.33,33.32
Ceuta (CE),2022,59.63,48.7,54.52
Melilla (ML),2022,41.67,41.56,41.61
España (ES),2017,43.5,38.3,40.9
Andalucía (AN),2017,53.0,48.0,50.5
Aragón (AR),2017,38.6,33.9,36.3
"Asturias, Principado de (AS)",2017,36.6,33.3,34.9
"Balears, Illes (IB)",2017,45.3,38.0,41.7
Canarias (CN),2017,48.0,42.3,45.2
Cantabria (CB),2017,37.4,31.1,34.3
Castilla y León (CL),2017,54.0,46.9,50.5
Castilla - La Mancha (CM),2017,43.9,36.3,40.2
Cataluña (CT),2017,41.8,36.8,39.2
Comunitat Valenciana (VC),2017,45.9,39.4,42.7
Extremadura (EX),2017,59.4,54.3,56.9
Galicia (GA),2017,46.0,39.4,42.7
"Madrid, Comunidad de (MD)",2017,28.3,26.0,27.1
"Murcia, Región de (MC)",2017,50.8,45.8,48.3
"Navarra, C. Foral de (NC)",2017,34.4,29.8,32.1
País Vasco (PV),2017,29.7,27.8,28.8
La Rioja (RI),2017,41.5,35.8,38.6
Ceuta (CE),2017,51.8,55.9,53.8
Melilla (ML),2017,45.8,47.7,46.7
España (ES),2019,41.7,35.7,38.7
Andalucía (AN),2019,50.1,45.5,47.8
Aragón (AR),2019,36.2,32.3,34.3
