Region,Año,Hombre,Mujer,Total
España (ES),2020,7.75,3.72,5.61
Andalucía (AN),2020,6.84,3.29,4.97
Aragón (AR),2020,8.16,4.48,6.25
"Asturias, Principado de (AS)",2020,5.81,3.67,4.7
"Balears, Illes (IB)",2020,8.67,4.1,6.26
Canarias (CN),2020,8.32,3.94,6.07
Cantabria (CB),2020,12.06,4.04,7.75
Castilla y León (CL),2020,7.58,4.06,5.78
Castilla - La Mancha (CM),2020,5.74,2.37,4.03
Cataluña (CT),2020,7.71,3.83,5.65
Comunitat Valenciana (VC),2020,8.3,4.14,6.09
Extremadura (EX),2020,6.47,4.13,5.26
Galicia (GA),2020,6.47,3.69,5.0
"Madrid, Comunidad de (MD)",2020,7.97,3.28,5.37
"Murcia, Región de (MC)",2020,9.83,4.82,7.21
"Navarra, C. Foral de (NC)",2020,7.93,3.76,5.77
País Vasco (PV),2020,10.38,3.88,6.86
La Rioja (RI),2020,9.81,4.06,6.81
Ceuta (CE),2020,13.47,11.47,12.07
Melilla (ML),2020,8.17,5.82,7.08
España (ES),2018,7.31,3.99,5.55
Andalucía (AN),2018,6.26,3.24,4.65
Aragón (AR),2018,7.88,3.83,5.82
"Asturias, Principado de (AS)",2018,7.35,4.65,5.97
"Balears, Illes (IB)",2018,8.25,3.64,5.85
Canarias (CN),2018,8.75,5.03,6.78
Cantabria (CB),2018,8.32,4.36,6.2
Castilla y León (CL),2018,7.86,4.83,6.3
Castilla - La Mancha (CM),2018,5.37,2.98,4.17
Cataluña (CT),2018,7.66,4.08,5.74
Comunitat Valenciana (VC),2018,8.68,4.82,6.64
Extremadura (EX),2018,7.55,4.48,5.94
Galicia (GA),2018,6.08,4.22,5.07
"Madrid, Comunidad de (MD)",2018,6.01,3.25,4.49
"Murcia, Región de (MC)",2018,9.36,5.04,7.09
"Navarra, C. Foral de (NC)",2018,7.94,3.36,5.54
País Vasco (PV),2018,8.06,3.82,5.82
La Rioja (RI),2018,11.71,6.14,8.71
Ceuta (CE),2018,14.42,9.64,11.91
Melilla (ML),2018,14.67,6.71,10.65
España (ES),2021,8.64,4.15,6.23
Andalucía (AN),2021,7.4,3.43,5.3
Aragón (AR),2021,9.34,4.61,6.78
"Asturias, Principado de (AS)",2021,6.58,4.11,5.22
"Balears, Illes (IB)",2021,10.31,4.49,7.28
Canarias (CN),2021,8.13,4.3,6.12
Cantabria (CB),2021,12.59,4.72,8.19
Castilla y León (CL),2021,8.88,4.56,6.65
Castilla - La Mancha (CM),2021,5.52,3.18,4.32
Cataluña (CT),2021,9.2,4.37,6.61
Comunitat Valenciana (VC),2021,8.63,4.49,6.43
Extremadura (EX),2021,7.21,4.37,5.75
Galicia (GA),2021,7.59,4.23,5.8
"Madrid, Comunidad de (MD)",2021,8.59,3.87,5.94
"Murcia, Región de (MC)",2021,12.7,5.29,8.75
"Navarra, C. Foral de (NC)",2021,10.55,4.03,7.06
País Vasco (PV),2021,11.46,4.35,7.58
La Rioja (RI),2021,11.44,5.57,8.35
Ceuta (CE),2021,19.45,10.06,14.57
Melilla (ML),2021,12.22,5.35,8.78
España (ES),2017,6.77,3.87,5.24
Andalucía (AN),2017,5.43,2.94,4.11
Aragón (AR),2017,7.64,4.2,5.84
"Asturias, Principado de (AS)",2017,6.55,4.2,5.34
"Balears, Illes (IB)",2017,7.55,4.15,5.84
Canarias (CN),2017,6.78,4.28,5.47
Cantabria (CB),2017,6.89,5.01,5.85
Castilla y León (CL),2017,6.83,4.42,5.59
Castilla - La Mancha (CM),2017,4.65,2.68,3.66
Cataluña (CT),2017,7.65,4.11,5.75
Comunitat Valenciana (VC),2017,7.88,4.87,6.3
Extremadura (EX),2017,6.5,3.42,4.91
Galicia (GA),2017,5.63,4.04,4.78
"Madrid, Comunidad de (MD)",2017,6.03,3.35,4.56
"Murcia, Región de (MC)",2017,9.37,4.42,6.74
"Navarra, C. Foral de (NC)",2017,7.24,3.29,5.2
País Vasco (PV),2017,7.91,3.71,5.69
La Rioja (RI),2017,11.86,6.93,9.37
Ceuta (CE),2017,15.58,9.61,12.36
Melilla (ML),2017,16.3,12.54,14.56
España (ES),2019,7.42,4.07,5.65
Andalucía (AN),2019,6.33,3.6,4.88
Aragón (AR),2019,9.37,3.93,6.59
"Asturias, Principado de (AS)",2019,5.32,3.93,4.59
"Balears, Illes (IB)",2019,8.16,3.53,5.7
Canarias (CN),2019,8.33,5.03,6.61
Cantabria (CB),2019,9.75,4.55,6.99
Castilla y León (CL),2019,8.07,4.67,6.34
Castilla - La Mancha (CM),2019,6.45,3.89,5.13
Cataluña (CT),2019,7.74,4.05,5.78
Comunitat Valenciana (VC),2019,8.27,4.63,6.36
Extremadura (EX),2019,6.3,4.82,5.54
Galicia (GA),2019,6.29,4.01,5.11
"Madrid, Comunidad de (MD)",2019,6.22,3.27,4.61
"Murcia, Región de (MC)",2019,10.87,5.02,7.8
"Navarra, C. Foral de (NC)",2019,9.08,4.42,6.66
País Vasco (PV),2019,8.44,3.89,5.98
La Rioja (RI),2019,12.57,7.03,9.7
Ceuta (CE),2019,13.78,8.66,11.19
Melilla (ML),2019,10.9,8.11,9.77
