Region,Año,Hombre,Mujer,Total
España (ES),2022,28.92,30.76,29.76
Andalucía (AN),2022,32.56,38.67,35.34
Aragón (AR),2022,19.53,30.25,23.99
"Asturias, Principado de (AS)",2022,40.95,34.38,37.77
"Balears, Illes (IB)",2022,26.77,18.7,23.23
Canarias (CN),2022,42.9,45.14,43.94
Cantabria (CB),2022,24.25,26.97,25.49
Castilla y León (CL),2022,26.69,26.62,26.66
Castilla - La Mancha (CM),2022,27.83,39.93,32.68
Cataluña (CT),2022,22.64,25.78,24.13
Comunitat Valenciana (VC),2022,27.48,30.07,28.71
Extremadura (EX),2022,37.72,41.59,39.39
Galicia (GA),2022,31.78,33.45,32.46
"Madrid, Comunidad de (MD)",2022,31.88,26.7,29.37
"Murcia, Región de (MC)",2022,30.55,27.07,29.09
"Navarra, C. Foral de (NC)",2022,22.95,21.49,22.31
País Vasco (PV),2022,25.72,26.4,26.0
La Rioja (RI),2022,24.33,28.9,26.42
Ceuta (CE),2022,31.96,62.68,44.44
Melilla (ML),2022,51.97,52.74,52.35
España (ES),2021,34.13,35.58,34.8
Andalucía (AN),2021,42.85,46.62,44.49
Aragón (AR),2021,21.33,30.0,24.93
"Asturias, Principado de (AS)",2021,24.48,34.44,28.78
"Balears, Illes (IB)",2021,31.55,34.56,32.92
Canarias (CN),2021,56.87,54.26,55.58
Cantabria (CB),2021,31.19,22.96,27.41
Castilla y León (CL),2021,28.53,31.14,29.69
Castilla - La Mancha (CM),2021,29.72,43.06,35.36
Cataluña (CT),2021,29.0,28.77,28.89
Comunitat Valenciana (VC),2021,36.2,38.07,37.07
Extremadura (EX),2021,41.6,52.44,46.37
Galicia (GA),2021,31.35,33.54,32.23
"Madrid, Comunidad de (MD)",2021,31.22,27.61,29.37
"Murcia, Región de (MC)",2021,27.92,34.9,30.85
"Navarra, C. Foral de (NC)",2021,25.1,19.11,22.46
País Vasco (PV),2021,34.6,29.82,32.46
La Rioja (RI),2021,24.72,39.5,31.27
Ceuta (CE),2021,46.53,67.22,57.42
Melilla (ML),2021,38.89,55.43,46.3
España (ES),2017,39.55,37.42,38.57
Andalucía (AN),2017,48.81,49.34,49.05
Aragón (AR),2017,30.33,30.67,30.49
"Asturias, Principado de (AS)",2017,38.51,34.64,36.79
"Balears, Illes (IB)",2017,31.21,30.27,30.79
Canarias (CN),2017,49.01,41.58,45.3
Cantabria (CB),2017,39.42,32.17,35.58
Castilla y León (CL),2017,38.02,33.95,36.24
Castilla - La Mancha (CM),2017,39.75,50.42,44.4
Cataluña (CT),2017,32.53,27.95,30.39
Comunitat Valenciana (VC),2017,43.65,39.29,41.65
Extremadura (EX),2017,45.39,52.46,48.58
Galicia (GA),2017,35.83,32.95,34.48
"Madrid, Comunidad de (MD)",2017,37.64,31.38,34.66
"Murcia, Región de (MC)",2017,41.31,37.32,39.47
"Navarra, C. Foral de (NC)",2017,22.87,42.53,31.24
País Vasco (PV),2017,26.74,27.84,27.26
La Rioja (RI),2017,22.91,37.27,29.57
Ceuta (CE),2017,56.23,53.24,54.41
Melilla (ML),2017,63.26,61.93,62.73
España (ES),2019,30.92,34.47,32.53
Andalucía (AN),2019,38.03,46.27,41.69
Aragón (AR),2019,24.79,31.35,27.35
"Asturias, Principado de (AS)",2019,27.56,30.16,28.7
"Balears, Illes (IB)",2019,26.87,31.84,29.18
Canarias (CN),2019,40.38,44.5,42.18
Cantabria (CB),2019,27.21,34.87,30.92
Castilla y León (CL),2019,26.93,32.99,29.52
Castilla - La Mancha (CM),2019,34.78,44.74,39.08
Cataluña (CT),2019,28.27,23.82,26.16
Comunitat Valenciana (VC),2019,26.95,36.38,31.09
Extremadura (EX),2019,37.34,54.33,44.63
Galicia (GA),2019,28.25,27.29,27.84
"Madrid, Comunidad de (MD)",2019,28.35,29.75,29.03
