Region,Año,Hombre,Mujer,Total
España (ES),2020,300.42,150.91,214.95
Andalucía (AN),2020,304.73,149.91,217.11
Aragón (AR),2020,311.71,153.76,223.02
"Asturias, Principado de (AS)",2020,351.33,169.06,244.84
"Balears, Illes (IB)",2020,272.63,155.86,207.69
Canarias (CN),2020,289.94,158.08,216.53
Cantabria (CB),2020,317.18,163.47,228.81
Castilla y León (CL),2020,300.59,151.24,217.87
Castilla - La Mancha (CM),2020,290.14,141.18,207.35
Cataluña (CT),2020,288.72,148.19,207.68
Comunitat Valenciana (VC),2020,314.88,154.69,223.71
Extremadura (EX),2020,334.71,153.44,234.02
Galicia (GA),2020,310.71,158.31,223.82
"Madrid, Comunidad de (MD)",2020,262.41,139.25,188.65
"Murcia, Región de (MC)",2020,324.62,144.6,223.33
"Navarra, C. Foral de (NC)",2020,293.6,155.45,215.11
País Vasco (PV),2020,321.39,152.79,223.4
La Rioja (RI),2020,312.4,154.9,222.59
Ceuta (CE),2020,293.99,150.69,209.8
Melilla (ML),2020,289.51,180.25,223.55
España (ES),2018,315.98,151.92,222.4
Andalucía (AN),2018,324.11,152.39,226.11
Aragón (AR),2018,322.67,148.02,224.94
"Asturias, Principado de (AS)",2018,371.39,173.91,256.63
"Balears, Illes (IB)",2018,306.85,151.32,218.56
Canarias (CN),2018,303.94,167.46,227.38
Cantabria (CB),2018,359.83,160.3,243.47
Castilla y León (CL),2018,308.77,157.68,224.49
Castilla - La Mancha (CM),2018,311.96,143.68,219.76
Cataluña (CT),2018,313.41,147.95,218.82
Comunitat Valenciana (VC),2018,310.49,151.33,220.9
Extremadura (EX),2018,359.99,154.39,245.81
Galicia (GA),2018,329.65,156.76,231.32
"Madrid, Comunidad de (MD)",2018,276.39,139.78,195.27
"Murcia, Región de (MC)",2018,304.11,137.54,210.28
"Navarra, C. Foral de (NC)",2018,306.49,146.84,214.94
País Vasco (PV),2018,343.69,157.69,235.99
La Rioja (RI),2018,317.46,146.32,222.74
Ceuta (CE),2018,259.54,173.92,206.31
Melilla (ML),2018,268.08,209.55,229.55
España (ES),2021,298.53,149.87,213.52
Andalucía (AN),2021,311.84,153.57,221.86
Aragón (AR),2021,307.38,158.16,222.69
"Asturias, Principado de (AS)",2021,328.55,180.03,241.65
"Balears, Illes (IB)",2021,279.08,149.17,206.87
Canarias (CN),2021,269.01,158.05,207.53
Cantabria (CB),2021,321.72,151.33,222.92
Castilla y León (CL),2021,294.97,147.57,213.25
Castilla - La Mancha (CM),2021,303.04,138.47,211.69
Cataluña (CT),2021,289.93,144.65,206.31
Comunitat Valenciana (VC),2021,306.38,153.01,219.72
Extremadura (EX),2021,320.08,154.08,227.61
Galicia (GA),2021,315.64,147.55,220.21
"Madrid, Comunidad de (MD)",2021,258.38,136.6,185.45
"Murcia, Región de (MC)",2021,318.89,154.08,225.07
"Navarra, C. Foral de (NC)",2021,309.54,158.09,223.17
País Vasco (PV),2021,312.44,158.18,222.21
La Rioja (RI),2021,300.49,139.64,210.27
Ceuta (CE),2021,279.94,170.07,220.4
Melilla (ML),2021,252.59,153.75,201.55
España (ES),2017,322.64,155.45,226.98
Andalucía (AN),2017,326.02,153.55,227.81
Aragón (AR),2017,342.75,162.81,241.51
"Asturias, Principado de (AS)",2017,370.35,175.11,255.95
"Balears, Illes (IB)",2017,305.48,162.34,225.42
Canarias (CN),2017,304.03,166.57,227.31
Cantabria (CB),2017,350.6,166.39,243.44
Castilla y León (CL),2017,313.69,156.53,225.66
Castilla - La Mancha (CM),2017,321.11,145.55,224.15
Cataluña (CT),2017,315.22,150.64,220.72
Comunitat Valenciana (VC),2017,320.84,154.88,226.63
Extremadura (EX),2017,351.34,157.83,242.92
Galicia (GA),2017,342.01,162.08,239.33
"Madrid, Comunidad de (MD)",2017,288.84,146.96,204.56
"Murcia, Región de (MC)",2017,332.03,144.35,225.7
"Navarra, C. Foral de (NC)",2017,320.32,150.71,224.37
País Vasco (PV),2017,349.39,161.29,239.53
La Rioja (RI),2017,299.5,159.2,220.83
Ceuta (CE),2017,332.75,175.38,242.78
Melilla (ML),2017,316.96,169.89,239.0
España (ES),2019,308.51,151.33,218.64
Andalucía (AN),2019,314.33,149.81,220.68
Aragón (AR),2019,311.01,152.57,220.51
"Asturias, Principado de (AS)",2019,352.96,172.81,247.54
"Balears, Illes (IB)",2019,290.73,155.81,214.79
Canarias (CN),2019,287.58,161.73,217.49
Cantabria (CB),2019,332.71,169.69,235.98
Castilla y León (CL),2019,309.42,143.87,217.47
Castilla - La Mancha (CM),2019,302.38,145.41,215.64
Cataluña (CT),2019,306.22,147.82,215.2
Comunitat Valenciana (VC),2019,308.09,150.05,218.57
Extremadura (EX),2019,343.35,152.78,237.59
Galicia (GA),2019,318.4,152.74,224.03
"Madrid, Comunidad de (MD)",2019,278.07,145.01,198.92
"Murcia, Región de (MC)",2019,309.59,150.29,218.86
"Navarra, C. Foral de (NC)",2019,293.5,150.02,212.74
País Vasco (PV),2019,329.26,156.82,229.65
La Rioja (RI),2019,305.02,159.87,223.7
Ceuta (CE),2019,272.51,144.54,200.9
Melilla (ML),2019,270.65,183.09,224.17
