Region,Año,Hombre,Mujer,Total
España (ES),2021,80.15,32.45,53.36
Andalucía (AN),2021,94.67,46.3,67.94
Aragón (AR),2021,67.62,27.05,45.22
"Asturias, Principado de (AS)",2021,92.28,41.62,63.15
"Balears, Illes (IB)",2021,79.25,33.22,53.17
Canarias (CN),2021,104.89,52.33,76.46
Cantabria (CB),2021,72.97,25.01,45.06
Castilla y León (CL),2021,72.06,27.14,47.63
Castilla - La Mancha (CM),2021,70.32,29.0,48.15
Cataluña (CT),2021,68.92,25.63,44.24
Comunitat Valenciana (VC),2021,92.8,36.29,61.38
Extremadura (EX),2021,89.13,40.02,62.15
Galicia (GA),2021,78.93,28.57,50.37
"Madrid, Comunidad de (MD)",2021,63.67,23.45,40.1
"Murcia, Región de (MC)",2021,87.7,37.26,59.45
"Navarra, C. Foral de (NC)",2021,64.38,21.21,40.23
País Vasco (PV),2021,66.71,23.59,42.11
La Rioja (RI),2021,88.6,27.03,55.04
Ceuta (CE),2021,129.84,64.23,94.52
Melilla (ML),2021,123.5,92.6,109.04
España (ES),2017,93.55,40.59,63.51
Andalucía (AN),2017,112.51,55.74,80.73
Aragón (AR),2017,87.52,37.87,59.69
"Asturias, Principado de (AS)",2017,110.8,50.56,76.5
"Balears, Illes (IB)",2017,99.24,41.99,66.51
Canarias (CN),2017,111.95,54.04,80.08
Cantabria (CB),2017,71.74,29.77,47.24
Castilla y León (CL),2017,84.93,34.96,57.18
Castilla - La Mancha (CM),2017,77.17,39.65,57.05
Cataluña (CT),2017,80.69,32.62,53.07
Comunitat Valenciana (VC),2017,107.34,46.02,72.42
Extremadura (EX),2017,99.07,45.33,69.34
Galicia (GA),2017,87.21,35.42,57.45
"Madrid, Comunidad de (MD)",2017,76.06,32.98,50.65
"Murcia, Región de (MC)",2017,101.14,45.52,70.07
"Navarra, C. Foral de (NC)",2017,77.93,28.31,50.23
País Vasco (PV),2017,74.42,28.05,47.55
La Rioja (RI),2017,79.23,34.89,54.45
Ceuta (CE),2017,101.66,69.53,84.29
Melilla (ML),2017,91.35,44.51,65.99
España (ES),2019,82.99,34.31,55.54
Andalucía (AN),2019,100.9,48.43,71.6
Aragón (AR),2019,77.61,31.61,51.85
"Asturias, Principado de (AS)",2019,105.82,43.63,70.23
"Balears, Illes (IB)",2019,82.15,32.5,53.53
Canarias (CN),2019,104.09,49.56,74.72
Cantabria (CB),2019,73.52,25.85,45.6
Castilla y León (CL),2019,77.51,28.15,49.93
Castilla - La Mancha (CM),2019,73.73,32.36,51.4
Cataluña (CT),2019,68.17,25.67,43.9
Comunitat Valenciana (VC),2019,87.72,39.16,60.58
Extremadura (EX),2019,81.91,41.33,60.12
Galicia (GA),2019,80.21,30.84,52.01
"Madrid, Comunidad de (MD)",2019,66.09,27.81,43.76
"Murcia, Región de (MC)",2019,93.34,37.33,61.96
"Navarra, C. Foral de (NC)",2019,69.47,24.51,44.28
País Vasco (PV),2019,63.8,22.43,39.95
La Rioja (RI),2019,71.54,34.11,51.26
Ceuta (CE),2019,79.43,45.27,59.84
Melilla (ML),2019,81.96,46.67,62.08
España (ES),2020,83.46,33.91,55.59
Andalucía (AN),2020,102.7,48.56,72.61
Aragón (AR),2020,79.11,28.94,51.45
"Asturias, Principado de (AS)",2020,97.41,41.71,66.23
"Balears, Illes (IB)",2020,72.06,27.59,46.78
Canarias (CN),2020,98.66,54.95,75.59
Cantabria (CB),2020,66.92,25.11,42.84
Castilla y León (CL),2020,78.82,30.48,52.19
Castilla - La Mancha (CM),2020,79.67,30.63,52.86
Cataluña (CT),2020,71.49,27.29,46.17
Comunitat Valenciana (VC),2020,91.38,35.03,59.76
Extremadura (EX),2020,84.11,39.15,59.62
Galicia (GA),2020,84.49,27.86,52.55
"Madrid, Comunidad de (MD)",2020,70.93,29.48,46.63
"Murcia, Región de (MC)",2020,87.82,33.78,57.64
"Navarra, C. Foral de (NC)",2020,60.16,25.87,40.95
País Vasco (PV),2020,65.3,22.42,40.92
La Rioja (RI),2020,87.78,29.25,55.89
Ceuta (CE),2020,139.29,83.75,108.99
Melilla (ML),2020,102.87,62.41,80.88
España (ES),2018,88.15,38.6,60.27
Andalucía (AN),2018,110.63,56.24,80.33
Aragón (AR),2018,82.08,39.45,58.89
"Asturias, Principado de (AS)",2018,107.24,48.12,73.69
"Balears, Illes (IB)",2018,85.31,36.77,57.97
Canarias (CN),2018,115.9,60.64,86.31
Cantabria (CB),2018,77.21,25.89,47.77
Castilla y León (CL),2018,77.73,30.93,51.97
Castilla - La Mancha (CM),2018,71.17,31.42,49.48
Cataluña (CT),2018,73.35,29.28,48.36
Comunitat Valenciana (VC),2018,93.49,43.32,65.38
Extremadura (EX),2018,94.82,44.21,66.84
Galicia (GA),2018,86.47,34.54,56.68
"Madrid, Comunidad de (MD)",2018,71.86,30.86,47.73
"Murcia, Región de (MC)",2018,89.51,38.48,60.56
"Navarra, C. Foral de (NC)",2018,67.07,31.73,47.88
País Vasco (PV),2018,68.36,25.05,43.46
La Rioja (RI),2018,86.49,38.68,60.58
Ceuta (CE),2018,81.0,45.49,58.99
Melilla (ML),2018,130.09,57.09,88.81
