id,Region,Año,Hombre,Mujer,Total
1,España (ES),2019,11.54,3.8,7.45
2,Andalucía (AN),2019,14.25,3.9,8.82
3,Aragón (AR),2019,10.25,3.11,6.51
4,"Asturias, Principado de (AS)",2019,10.36,4.94,7.44
5,"Balears, Illes (IB)",2019,11.59,5.36,8.38
6,Canarias (CN),2019,12.18,4.98,8.44
7,Cantabria (CB),2019,10.68,6.4,8.39
8,Castilla y León (CL),2019,9.3,3.3,6.28
9,Castilla - La Mancha (CM),2019,10.62,3.48,6.95
10,Cataluña (CT),2019,11.51,3.24,7.09
11,Comunitat Valenciana (VC),2019,12.08,5.39,8.53
12,Extremadura (EX),2019,14.89,1.46,8.0
13,Galicia (GA),2019,10.56,2.3,6.2
14,"Madrid, Comunidad de (MD)",2019,8.25,3.16,5.46
15,"Murcia, Región de (MC)",2019,17.31,4.15,10.42
16,"Navarra, C. Foral de (NC)",2019,10.2,4.77,7.43
17,País Vasco (PV),2019,9.35,3.39,6.18
18,La Rioja (RI),2019,7.96,3.29,5.56
19,Ceuta (CE),2019,28.74,2.6,15.68
20,Melilla (ML),2019,8.13,5.17,6.95
1,España (ES),2017,12.79,3.42,7.84
2,Andalucía (AN),2017,15.55,3.12,9.01
3,Aragón (AR),2017,13.52,2.96,8.0
4,"Asturias, Principado de (AS)",2017,8.9,3.21,5.82
5,"Balears, Illes (IB)",2017,12.68,5.84,9.16
6,Canarias (CN),2017,12.17,4.02,7.96
7,Cantabria (CB),2017,7.07,4.48,5.68
8,Castilla y León (CL),2017,10.88,1.83,6.29
9,Castilla - La Mancha (CM),2017,17.68,2.67,9.94
10,Cataluña (CT),2017,14.39,3.97,8.84
11,Comunitat Valenciana (VC),2017,12.7,3.69,7.92
12,Extremadura (EX),2017,14.32,2.43,8.24
13,Galicia (GA),2017,9.47,2.14,5.6
14,"Madrid, Comunidad de (MD)",2017,10.43,3.19,6.45
15,"Murcia, Región de (MC)",2017,14.24,3.34,8.47
16,"Navarra, C. Foral de (NC)",2017,13.91,4.23,8.92
17,País Vasco (PV),2017,8.91,3.5,6.03
18,La Rioja (RI),2017,10.17,2.05,6.04
19,Ceuta (CE),2017,14.11,4.27,9.63
20,Melilla (ML),2017,11.31,0.0,5.66
1,España (ES),2018,12.05,3.48,7.52
2,Andalucía (AN),2018,15.47,3.42,9.14
3,Aragón (AR),2018,11.4,3.05,7.04
4,"Asturias, Principado de (AS)",2018,11.03,5.25,7.96
5,"Balears, Illes (IB)",2018,10.3,5.0,7.59
6,Canarias (CN),2018,12.78,5.62,9.05
7,Cantabria (CB),2018,12.27,3.73,7.76
8,Castilla y León (CL),2018,8.87,2.32,5.54
9,Castilla - La Mancha (CM),2018,13.19,3.18,8.04
10,Cataluña (CT),2018,13.03,3.77,8.09
11,Comunitat Valenciana (VC),2018,12.3,4.09,7.96
12,Extremadura (EX),2018,12.05,2.38,7.04
13,Galicia (GA),2018,11.46,2.09,6.5
14,"Madrid, Comunidad de (MD)",2018,9.26,2.7,5.67
15,"Murcia, Región de (MC)",2018,15.66,4.44,9.67
16,"Navarra, C. Foral de (NC)",2018,8.34,2.76,5.47
17,País Vasco (PV),2018,8.07,2.56,5.18
18,La Rioja (RI),2018,6.98,3.56,5.24
19,Ceuta (CE),2018,7.72,2.38,4.94
20,Melilla (ML),2018,2.65,8.45,5.6
1,España (ES),2020,10.23,3.45,6.65
2,Andalucía (AN),2020,12.31,3.5,7.69
3,Aragón (AR),2020,11.81,3.45,7.46
4,"Asturias, Principado de (AS)",2020,10.18,3.86,6.81
5,"Balears, Illes (IB)",2020,11.05,4.21,7.48
6,Canarias (CN),2020,12.1,5.62,8.75
7,Cantabria (CB),2020,9.0,4.49,6.62
8,Castilla y León (CL),2020,7.26,2.49,4.84
9,Castilla - La Mancha (CM),2020,9.93,3.7,6.74
10,Cataluña (CT),2020,8.84,2.87,5.66
11,Comunitat Valenciana (VC),2020,10.57,4.42,7.33
12,Extremadura (EX),2020,12.68,2.4,7.44
13,Galicia (GA),2020,10.1,2.84,6.25
14,"Madrid, Comunidad de (MD)",2020,8.58,3.3,5.67
15,"Murcia, Región de (MC)",2020,13.79,2.48,7.82
16,"Navarra, C. Foral de (NC)",2020,12.05,2.68,7.2
17,País Vasco (PV),2020,8.25,3.24,5.59
18,La Rioja (RI),2020,5.08,3.4,4.21
19,Ceuta (CE),2020,30.89,0.0,15.48
20,Melilla (ML),2020,12.71,4.02,8.36
1,España (ES),2021,9.34,3.08,5.72
2,Andalucía (AN),2021,11.08,3.09,6.89
3,Aragón (AR),2021,9.16,1.86,5.34
4,"Asturias, Principado de (AS)",2021,8.7,3.54,5.92
5,"Balears, Illes (IB)",2021,11.22,3.91,7.37
6,Canarias (CN),2021,11.15,3.94,7.43
7,Cantabria (CB),2021,8.66,3.09,5.74
8,Castilla y León (CL),2021,7.22,2.37,4.76
9,Castilla - La Mancha (CM),2021,12.23,3.57,7.79
10,Cataluña (CT),2021,8.88,3.0,5.75
11,Comunitat Valenciana (VC),2021,9.59,3.9,6.58
12,Extremadura (EX),2021,9.43,2.61,5.98
13,Galicia (GA),2021,8.1,2.09,4.93
14,"Madrid, Comunidad de (MD)",2021,7.4,2.52,4.7
15,"Murcia, Región de (MC)",2021,10.41,4.63,7.34
16,"Navarra, C. Foral de (NC)",2021,9.2,2.99,6.03
17,País Vasco (PV),2021,8.67,2.83,5.59
18,La Rioja (RI),2021,4.84,3.76,4.27
19,Ceuta (CE),2021,12.01,16.86,14.59
20,Melilla (ML),2021,19.29,0.0,9.65
