Region,Año,Hombre,Mujer,Total
España (ES),2021,154.49,85.15,111.88
Andalucía (AN),2021,163.54,89.64,124.9
Aragón (AR),2021,162.26,97.18,128.26
"Asturias, Principado de (AS)",2021,174.29,102.29,135.76
"Balears, Illes (IB)",2021,153.25,84.8,117.99
Canarias (CN),2021,144.64,89.81,116.31
Cantabria (CB),2021,158.81,86.56,120.8
Castilla y León (CL),2021,154.29,82.69,118.21
Castilla - La Mancha (CM),2021,154.13,76.86,114.88
Cataluña (CT),2021,150.65,81.82,114.05
Comunitat Valenciana (VC),2021,160.96,86.75,122.0
Extremadura (EX),2021,166.29,83.79,124.69
Galicia (GA),2021,172.19,83.85,125.79
"Madrid, Comunidad de (MD)",2021,124.65,75.64,97.69
"Murcia, Región de (MC)",2021,153.44,80.09,115.1
"Navarra, C. Foral de (NC)",2021,148.95,83.62,115.32
País Vasco (PV),2021,156.88,93.66,123.35
La Rioja (RI),2021,159.25,74.61,116.1
Ceuta (CE),2021,168.19,117.81,143.29
Melilla (ML),2021,151.41,89.66,120.85
España (ES),2017,171.39,89.64,128.45
Andalucía (AN),2017,176.44,89.51,131.03
Aragón (AR),2017,182.46,92.01,135.57
"Asturias, Principado de (AS)",2017,196.49,102.78,146.56
"Balears, Illes (IB)",2017,165.99,90.5,127.14
Canarias (CN),2017,164.43,96.0,129.1
Cantabria (CB),2017,185.75,103.47,142.79
Castilla y León (CL),2017,165.52,91.09,127.84
Castilla - La Mancha (CM),2017,169.73,80.52,124.2
Cataluña (CT),2017,167.23,86.06,124.32
Comunitat Valenciana (VC),2017,171.04,90.56,128.7
Extremadura (EX),2017,186.52,85.82,135.14
Galicia (GA),2017,190.14,91.12,138.11
"Madrid, Comunidad de (MD)",2017,146.17,86.01,113.25
"Murcia, Región de (MC)",2017,171.8,82.15,124.93
"Navarra, C. Foral de (NC)",2017,166.07,90.48,127.25
País Vasco (PV),2017,185.03,94.95,137.44
La Rioja (RI),2017,159.81,92.76,125.83
Ceuta (CE),2017,196.06,110.69,152.19
Melilla (ML),2017,214.22,107.46,162.61
España (ES),2019,161.52,86.97,122.33
Andalucía (AN),2019,168.03,87.9,126.13
Aragón (AR),2019,158.42,92.53,124.07
"Asturias, Principado de (AS)",2019,188.73,100.46,141.42
"Balears, Illes (IB)",2019,146.45,88.01,116.21
Canarias (CN),2019,153.06,93.84,122.54
Cantabria (CB),2019,169.23,108.92,137.2
Castilla y León (CL),2019,156.53,79.81,117.77
Castilla - La Mancha (CM),2019,152.19,79.27,115.16
Cataluña (CT),2019,159.67,82.89,119.02
Comunitat Valenciana (VC),2019,164.33,86.31,123.27
Extremadura (EX),2019,189.87,89.61,138.9
Galicia (GA),2019,178.96,87.96,131.06
"Madrid, Comunidad de (MD)",2019,138.95,84.39,109.01
"Murcia, Región de (MC)",2019,156.11,83.94,118.38
"Navarra, C. Foral de (NC)",2019,152.49,81.99,116.37
País Vasco (PV),2019,172.66,88.7,128.44
La Rioja (RI),2019,154.57,91.81,122.52
Ceuta (CE),2019,162.7,94.01,127.58
Melilla (ML),2019,161.24,99.27,131.04
España (ES),2020,156.44,86.75,119.79
Andalucía (AN),2020,165.03,87.42,124.49
Aragón (AR),2020,169.08,87.04,126.42
"Asturias, Principado de (AS)",2020,183.74,97.22,137.48
"Balears, Illes (IB)",2020,144.53,87.22,114.81
Canarias (CN),2020,152.28,91.51,120.91
Cantabria (CB),2020,165.78,93.78,127.95
Castilla y León (CL),2020,158.64,85.11,121.61
Castilla - La Mancha (CM),2020,145.7,78.17,111.46
Cataluña (CT),2020,151.67,84.66,116.01
Comunitat Valenciana (VC),2020,160.97,90.46,123.93
Extremadura (EX),2020,186.84,90.99,137.83
Galicia (GA),2020,168.14,92.54,128.25
"Madrid, Comunidad de (MD)",2020,126.5,78.75,100.25
"Murcia, Región de (MC)",2020,165.68,78.48,120.15
"Navarra, C. Foral de (NC)",2020,150.42,85.96,117.34
País Vasco (PV),2020,161.67,90.01,123.87
La Rioja (RI),2020,151.19,97.14,123.61
Ceuta (CE),2020,147.14,115.93,132.25
Melilla (ML),2020,138.25,138.99,138.97
España (ES),2018,168.43,86.92,125.63
Andalucía (AN),2018,172.05,89.63,128.98
Aragón (AR),2018,174.61,83.82,127.7
"Asturias, Principado de (AS)",2018,203.84,98.3,147.42
"Balears, Illes (IB)",2018,164.31,86.1,123.75
Canarias (CN),2018,155.86,93.2,123.6
Cantabria (CB),2018,188.79,90.98,137.49
Castilla y León (CL),2018,161.23,90.41,125.51
Castilla - La Mancha (CM),2018,166.84,76.75,121.19
Cataluña (CT),2018,169.24,83.4,123.87
Comunitat Valenciana (VC),2018,169.79,86.83,126.29
Extremadura (EX),2018,197.49,84.36,139.87
Galicia (GA),2018,183.83,91.73,135.38
"Madrid, Comunidad de (MD)",2018,141.48,80.4,108.03
"Murcia, Región de (MC)",2018,160.99,77.81,117.49
"Navarra, C. Foral de (NC)",2018,147.77,79.54,112.65
País Vasco (PV),2018,182.0,92.71,134.7
La Rioja (RI),2018,168.48,85.99,126.24
Ceuta (CE),2018,133.59,127.31,130.86
Melilla (ML),2018,124.23,130.35,126.78
