Region,Año,Hombre,Mujer,Total
España (ES),2020,6.36,2.47,4.32
Andalucía (AN),2020,6.78,3.03,4.82
Aragón (AR),2020,6.18,2.36,4.22
"Asturias, Principado de (AS)",2020,5.95,2.54,4.09
"Balears, Illes (IB)",2020,9.58,2.01,5.66
Canarias (CN),2020,6.55,3.57,5.03
Cantabria (CB),2020,6.85,0.66,3.59
Castilla y León (CL),2020,8.16,2.75,5.43
Castilla - La Mancha (CM),2020,5.37,1.75,3.54
Cataluña (CT),2020,5.91,2.24,3.96
Comunitat Valenciana (VC),2020,7.88,3.98,5.85
Extremadura (EX),2020,6.97,1.64,4.29
Galicia (GA),2020,4.42,1.64,2.95
"Madrid, Comunidad de (MD)",2020,3.26,1.16,2.1
"Murcia, Región de (MC)",2020,9.86,4.1,6.82
"Navarra, C. Foral de (NC)",2020,5.54,2.23,3.84
País Vasco (PV),2020,7.16,1.87,4.37
La Rioja (RI),2020,7.86,1.37,4.54
Ceuta (CE),2020,23.21,21.22,21.83
Melilla (ML),2020,18.08,18.06,18.24
España (ES),2018,5.67,2.36,3.94
Andalucía (AN),2018,6.04,2.82,4.37
Aragón (AR),2018,5.43,2.43,3.87
"Asturias, Principado de (AS)",2018,7.23,2.84,4.88
"Balears, Illes (IB)",2018,10.23,2.91,6.47
Canarias (CN),2018,7.33,3.31,5.28
Cantabria (CB),2018,3.25,1.7,2.45
Castilla y León (CL),2018,6.09,2.21,4.15
Castilla - La Mancha (CM),2018,6.12,2.13,4.12
Cataluña (CT),2018,6.47,2.26,4.24
Comunitat Valenciana (VC),2018,6.72,3.15,4.85
Extremadura (EX),2018,3.09,2.44,2.73
Galicia (GA),2018,3.52,1.75,2.58
"Madrid, Comunidad de (MD)",2018,2.44,1.03,1.66
"Murcia, Región de (MC)",2018,6.78,3.26,4.94
"Navarra, C. Foral de (NC)",2018,5.06,0.69,2.87
País Vasco (PV),2018,5.19,2.47,3.75
La Rioja (RI),2018,7.96,2.99,5.4
Ceuta (CE),2018,9.67,4.87,7.21
Melilla (ML),2018,9.3,5.41,7.49
España (ES),2021,6.08,2.37,3.92
Andalucía (AN),2021,8.56,3.43,5.9
Aragón (AR),2021,5.53,0.92,3.15
"Asturias, Principado de (AS)",2021,6.37,2.68,4.42
"Balears, Illes (IB)",2021,4.86,3.76,4.29
Canarias (CN),2021,6.58,3.07,4.77
Cantabria (CB),2021,3.72,3.03,3.37
Castilla y León (CL),2021,9.31,2.37,5.82
Castilla - La Mancha (CM),2021,5.34,1.73,3.56
Cataluña (CT),2021,5.62,2.15,3.76
Comunitat Valenciana (VC),2021,7.04,3.0,4.92
Extremadura (EX),2021,3.21,2.69,2.99
Galicia (GA),2021,5.74,1.74,3.65
"Madrid, Comunidad de (MD)",2021,2.41,0.77,1.52
"Murcia, Región de (MC)",2021,7.18,3.33,5.21
"Navarra, C. Foral de (NC)",2021,4.9,2.97,3.91
País Vasco (PV),2021,5.15,1.64,3.3
La Rioja (RI),2021,6.18,2.54,4.3
Ceuta (CE),2021,4.98,21.39,13.16
Melilla (ML),2021,11.79,7.65,9.81
España (ES),2017,6.02,2.58,4.22
Andalucía (AN),2017,5.91,3.43,4.62
Aragón (AR),2017,6.35,2.14,4.18
"Asturias, Principado de (AS)",2017,6.07,2.37,4.1
"Balears, Illes (IB)",2017,10.25,2.54,6.28
Canarias (CN),2017,7.81,3.71,5.72
Cantabria (CB),2017,4.58,1.73,3.08
Castilla y León (CL),2017,5.95,2.24,4.07
Castilla - La Mancha (CM),2017,8.51,3.42,5.94
Cataluña (CT),2017,7.05,2.72,4.75
Comunitat Valenciana (VC),2017,5.64,3.03,4.27
Extremadura (EX),2017,5.84,2.13,3.95
Galicia (GA),2017,5.26,2.07,3.59
"Madrid, Comunidad de (MD)",2017,3.3,1.29,2.2
"Murcia, Región de (MC)",2017,8.22,3.21,5.58
"Navarra, C. Foral de (NC)",2017,7.85,2.5,5.11
País Vasco (PV),2017,4.01,1.26,2.57
La Rioja (RI),2017,6.62,1.34,3.92
Ceuta (CE),2017,11.88,11.79,12.01
Melilla (ML),2017,29.04,8.55,18.49
España (ES),2019,5.46,2.2,3.75
Andalucía (AN),2019,6.15,3.14,4.59
Aragón (AR),2019,5.57,2.72,4.12
"Asturias, Principado de (AS)",2019,7.65,2.46,4.91
"Balears, Illes (IB)",2019,5.75,3.28,4.49
Canarias (CN),2019,6.12,2.98,4.52
Cantabria (CB),2019,4.66,1.96,3.25
Castilla y León (CL),2019,7.66,1.82,4.71
Castilla - La Mancha (CM),2019,4.88,2.54,3.69
Cataluña (CT),2019,5.36,2.02,3.58
Comunitat Valenciana (VC),2019,6.68,3.2,4.87
Extremadura (EX),2019,4.36,2.07,3.23
Galicia (GA),2019,3.8,1.61,2.65
"Madrid, Comunidad de (MD)",2019,2.39,0.63,1.43
"Murcia, Región de (MC)",2019,8.0,1.74,4.75
"Navarra, C. Foral de (NC)",2019,6.0,1.38,3.63
País Vasco (PV),2019,5.11,1.56,3.24
La Rioja (RI),2019,4.22,2.0,3.1
Ceuta (CE),2019,7.05,0.0,3.49
Melilla (ML),2019,5.45,2.74,4.01
