Region,Año,Total
España (ES),2020,7.19
Andalucía (AN),2020,7.72
Aragón (AR),2020,6.83
"Asturias, Principado de (AS)",2020,4.7
"Balears, Illes (IB)",2020,7.78
Canarias (CN),2020,5.87
Cantabria (CB),2020,5.85
Castilla y León (CL),2020,5.71
Castilla - La Mancha (CM),2020,7.21
Cataluña (CT),2020,7.64
Comunitat Valenciana (VC),2020,7.1
Extremadura (EX),2020,6.97
Galicia (GA),2020,5.65
"Madrid, Comunidad de (MD)",2020,7.75
"Murcia, Región de (MC)",2020,9.08
"Navarra, C. Foral de (NC)",2020,7.66
País Vasco (PV),2020,6.73
La Rioja (RI),2020,7.33
Ceuta (CE),2020,10.04
Melilla (ML),2020,11.41
España (ES),2018,7.94
Andalucía (AN),2018,8.45
Aragón (AR),2018,7.58
"Asturias, Principado de (AS)",2018,5.6
"Balears, Illes (IB)",2018,8.75
Canarias (CN),2018,6.75
Cantabria (CB),2018,6.55
Castilla y León (CL),2018,6.24
Castilla - La Mancha (CM),2018,7.8
Cataluña (CT),2018,8.46
Comunitat Valenciana (VC),2018,7.68
Extremadura (EX),2018,7.33
Galicia (GA),2018,6.14
"Madrid, Comunidad de (MD)",2018,8.74
"Murcia, Región de (MC)",2018,9.92
"Navarra, C. Foral de (NC)",2018,8.35
País Vasco (PV),2018,7.41
La Rioja (RI),2018,7.45
Ceuta (CE),2018,11.44
Melilla (ML),2018,15.83
España (ES),2021,7.12
Andalucía (AN),2021,7.72
Aragón (AR),2021,7.21
"Asturias, Principado de (AS)",2021,4.74
"Balears, Illes (IB)",2021,7.81
Canarias (CN),2021,5.67
Cantabria (CB),2021,5.63
Castilla y León (CL),2021,5.5
Castilla - La Mancha (CM),2021,7.1
Cataluña (CT),2021,7.52
Comunitat Valenciana (VC),2021,7.06
Extremadura (EX),2021,6.87
Galicia (GA),2021,5.5
"Madrid, Comunidad de (MD)",2021,7.62
"Murcia, Región de (MC)",2021,9.11
"Navarra, C. Foral de (NC)",2021,7.78
País Vasco (PV),2021,6.56
La Rioja (RI),2021,6.94
Ceuta (CE),2021,8.68
Melilla (ML),2021,11.17
España (ES),2017,8.41
Andalucía (AN),2017,8.89
Aragón (AR),2017,8.0
"Asturias, Principado de (AS)",2017,5.84
"Balears, Illes (IB)",2017,8.88
Canarias (CN),2017,7.29
Cantabria (CB),2017,7.09
Castilla y León (CL),2017,6.4
Castilla - La Mancha (CM),2017,8.29
Cataluña (CT),2017,8.97
Comunitat Valenciana (VC),2017,8.18
Extremadura (EX),2017,7.92
Galicia (GA),2017,6.82
"Madrid, Comunidad de (MD)",2017,9.31
"Murcia, Región de (MC)",2017,10.24
"Navarra, C. Foral de (NC)",2017,8.96
País Vasco (PV),2017,7.88
La Rioja (RI),2017,8.21
Ceuta (CE),2017,12.29
Melilla (ML),2017,15.82
España (ES),2019,7.62
Andalucía (AN),2019,8.21
Aragón (AR),2019,7.28
"Asturias, Principado de (AS)",2019,5.05
"Balears, Illes (IB)",2019,8.08
Canarias (CN),2019,6.37
Cantabria (CB),2019,6.1
Castilla y León (CL),2019,5.96
Castilla - La Mancha (CM),2019,7.51
Cataluña (CT),2019,8.09
Comunitat Valenciana (VC),2019,7.47
Extremadura (EX),2019,7.2
Galicia (GA),2019,5.82
"Madrid, Comunidad de (MD)",2019,8.34
"Murcia, Región de (MC)",2019,9.54
"Navarra, C. Foral de (NC)",2019,8.23
País Vasco (PV),2019,7.08
La Rioja (RI),2019,7.66
Ceuta (CE),2019,9.96
Melilla (ML),2019,14.64
