Region,Año,Hombre,Mujer,Total
España (ES),2020,25.9,28.0,27.0
Andalucía (AN),2020,,,36.9
Aragón (AR),2020,,,18.8
"Asturias, Principado de (AS)",2020,,,27.2
"Balears, Illes (IB)",2020,,,20.0
Canarias (CN),2020,,,39.1
Cantabria (CB),2020,,,24.3
Castilla y León (CL),2020,,,19.4
Castilla - La Mancha (CM),2020,,,30.7
Cataluña (CT),2020,,,23.2
Comunitat Valenciana (VC),2020,,,29.7
Extremadura (EX),2020,,,38.0
Galicia (GA),2020,,,25.3
"Madrid, Comunidad de (MD)",2020,,,21.2
"Murcia, Región de (MC)",2020,,,30.2
"Navarra, C. Foral de (NC)",2020,,,12.3
País Vasco (PV),2020,,,13.6
La Rioja (RI),2020,,,20.0
Ceuta (CE),2020,,,38.8
Melilla (ML),2020,,,41.1
España (ES),2018,26.0,28.4,27.3
Andalucía (AN),2018,,,41.7
Aragón (AR),2018,,,17.8
"Asturias, Principado de (AS)",2018,,,21.8
"Balears, Illes (IB)",2018,,,17.3
Canarias (CN),2018,,,39.2
Cantabria (CB),2018,,,24.4
Castilla y León (CL),2018,,,19.8
Castilla - La Mancha (CM),2018,,,33.4
Cataluña (CT),2018,,,18.9
Comunitat Valenciana (VC),2018,,,30.7
Extremadura (EX),2018,,,43.7
Galicia (GA),2018,,,24.1
"Madrid, Comunidad de (MD)",2018,,,20.9
"Murcia, Región de (MC)",2018,,,33.2
"Navarra, C. Foral de (NC)",2018,,,13.1
País Vasco (PV),2018,,,12.2
La Rioja (RI),2018,,,19.1
Ceuta (CE),2018,,,48.9
Melilla (ML),2018,,,23.5
España (ES),2021,26.7,28.9,27.8
Andalucía (AN),2021,,,38.7
Aragón (AR),2021,,,20.0
"Asturias, Principado de (AS)",2021,,,26.3
"Balears, Illes (IB)",2021,,,22.4
Canarias (CN),2021,,,37.8
Cantabria (CB),2021,,,21.4
Castilla y León (CL),2021,,,23.1
Castilla - La Mancha (CM),2021,,,32.5
Cataluña (CT),2021,,,22.3
Comunitat Valenciana (VC),2021,,,30.6
Extremadura (EX),2021,,,38.7
Galicia (GA),2021,,,25.2
"Madrid, Comunidad de (MD)",2021,,,21.6
"Murcia, Región de (MC)",2021,,,33.8
"Navarra, C. Foral de (NC)",2021,,,14.7
País Vasco (PV),2021,,,16.0
La Rioja (RI),2021,,,21.3
Ceuta (CE),2021,,,43.0
Melilla (ML),2021,,,35.2
España (ES),2022,24.8,27.2,26.0
Andalucía (AN),2022,,,35.8
Aragón (AR),2022,,,19.1
"Asturias, Principado de (AS)",2022,,,25.3
"Balears, Illes (IB)",2022,,,21.5
Canarias (CN),2022,,,36.2
Cantabria (CB),2022,,,19.5
Castilla y León (CL),2022,,,22.1
Castilla - La Mancha (CM),2022,,,31.6
Cataluña (CT),2022,,,20.4
Comunitat Valenciana (VC),2022,,,27.5
Extremadura (EX),2022,,,36.9
Galicia (GA),2022,,,23.6
"Madrid, Comunidad de (MD)",2022,,,20.3
"Murcia, Región de (MC)",2022,,,31.0
"Navarra, C. Foral de (NC)",2022,,,14.5
País Vasco (PV),2022,,,15.7
La Rioja (RI),2022,,,20.9
Ceuta (CE),2022,,,40.2
Melilla (ML),2022,,,41.3
España (ES),2017,26.6,28.3,27.5
Andalucía (AN),2017,,,39.0
Aragón (AR),2017,,,16.2
"Asturias, Principado de (AS)",2017,,,17.8
"Balears, Illes (IB)",2017,,,25.2
Canarias (CN),2017,,,39.9
Cantabria (CB),2017,,,20.5
Castilla y León (CL),2017,,,19.2
Castilla - La Mancha (CM),2017,,,34.9
Cataluña (CT),2017,,,20.2
Comunitat Valenciana (VC),2017,,,31.9
Extremadura (EX),2017,,,44.9
Galicia (GA),2017,,,23.0
"Madrid, Comunidad de (MD)",2017,,,21.7
"Murcia, Región de (MC)",2017,,,35.6
"Navarra, C. Foral de (NC)",2017,,,13.2
País Vasco (PV),2017,,,15.0
La Rioja (RI),2017,,,13.9
Ceuta (CE),2017,,,46.9
Melilla (ML),2017,,,30.2
España (ES),2019,25.1,27.1,26.2
Andalucía (AN),2019,,,39.3
Aragón (AR),2019,,,20.5
"Asturias, Principado de (AS)",2019,,,25.0
"Balears, Illes (IB)",2019,,,16.5
Canarias (CN),2019,,,38.3
Cantabria (CB),2019,,,19.8
Castilla y León (CL),2019,,,16.8
Castilla - La Mancha (CM),2019,,,31.0
Cataluña (CT),2019,,,18.8
Comunitat Valenciana (VC),2019,,,28.2
Extremadura (EX),2019,,,36.9
Galicia (GA),2019,,,24.2
"Madrid, Comunidad de (MD)",2019,,,20.2
"Murcia, Región de (MC)",2019,,,33.4
"Navarra, C. Foral de (NC)",2019,,,12.4
País Vasco (PV),2019,,,15.0
La Rioja (RI),2019,,,15.8
Ceuta (CE),2019,,,49.0
Melilla (ML),2019,,,39.7
