id,Region,Año,Hombre,Mujer,Total
1,España (ES),2021,17.36,19.92,18.7
2,Andalucía (AN),2021,16.83,18.24,17.58
3,Aragón (AR),2021,17.56,19.79,18.91
4,"Asturias, Principado de (AS)",2021,16.81,19.77,18.4
5,"Balears, Illes (IB)",2021,18.96,19.37,19.07
6,Canarias (CN),2021,18.63,19.17,18.79
7,Cantabria (CB),2021,16.95,19.64,18.37
8,Castilla y León (CL),2021,17.81,22.09,19.92
9,Castilla - La Mancha (CM),2021,17.97,21.52,19.77
10,Cataluña (CT),2021,17.75,21.62,19.8
11,Comunitat Valenciana (VC),2021,17.09,18.51,17.84
12,Extremadura (EX),2021,16.98,20.41,18.88
13,Galicia (GA),2021,16.91,19.96,18.42
14,"Madrid, Comunidad de (MD)",2021,17.65,20.62,19.25
15,"Murcia, Región de (MC)",2021,15.56,17.23,16.36
16,"Navarra, C. Foral de (NC)",2021,17.26,21.79,19.57
17,País Vasco (PV),2021,17.96,20.28,19.15
18,La Rioja (RI),2021,18.16,19.74,19.1
19,Ceuta (CE),2021,13.68,12.85,13.16
20,Melilla (ML),2021,13.68,12.85,13.16
1,España (ES),2019,17.83,20.23,19.09
2,Andalucía (AN),2019,17.42,18.81,18.17
3,Aragón (AR),2019,18.08,20.31,19.44
4,"Asturias, Principado de (AS)",2019,16.84,20.1,18.58
5,"Balears, Illes (IB)",2019,19.47,19.58,19.42
6,Canarias (CN),2019,18.68,19.24,18.86
7,Cantabria (CB),2019,16.88,19.55,18.3
8,Castilla y León (CL),2019,18.14,22.1,20.12
9,Castilla - La Mancha (CM),2019,18.73,21.72,20.27
10,Cataluña (CT),2019,18.32,21.97,20.27
11,Comunitat Valenciana (VC),2019,17.77,19.09,18.48
12,Extremadura (EX),2019,17.56,20.95,19.46
13,Galicia (GA),2019,17.15,20.0,18.57
14,"Madrid, Comunidad de (MD)",2019,18.22,20.59,19.51
15,"Murcia, Región de (MC)",2019,16.09,17.44,16.71
16,"Navarra, C. Foral de (NC)",2019,17.64,21.45,19.63
17,País Vasco (PV),2019,18.33,20.57,19.48
18,La Rioja (RI),2019,18.66,20.21,19.61
19,Ceuta (CE),2019,14.86,14.02,14.51
20,Melilla (ML),2019,14.86,14.02,14.51
1,España (ES),2017,17.3,19.82,18.62
2,Andalucía (AN),2017,15.67,16.66,16.16
3,Aragón (AR),2017,18.66,21.65,20.18
4,"Asturias, Principado de (AS)",2017,16.99,17.67,17.28
5,"Balears, Illes (IB)",2017,18.38,21.74,19.97
6,Canarias (CN),2017,16.68,19.93,18.53
7,Cantabria (CB),2017,18.44,20.11,18.91
8,Castilla y León (CL),2017,17.86,22.71,20.29
9,Castilla - La Mancha (CM),2017,17.51,20.42,18.98
10,Cataluña (CT),2017,16.94,19.49,18.27
11,Comunitat Valenciana (VC),2017,17.41,20.31,18.97
12,Extremadura (EX),2017,17.48,18.97,18.25
13,Galicia (GA),2017,18.35,21.7,20.13
14,"Madrid, Comunidad de (MD)",2017,18.59,20.98,19.85
15,"Murcia, Región de (MC)",2017,15.58,15.51,15.54
16,"Navarra, C. Foral de (NC)",2017,17.45,20.91,19.29
17,País Vasco (PV),2017,18.89,22.48,20.78
18,La Rioja (RI),2017,18.44,21.26,19.88
19,Ceuta (CE),2017,16.38,18.31,17.47
20,Melilla (ML),2017,16.38,18.31,17.47
1,España (ES),2018,17.31,19.87,18.65
2,Andalucía (AN),2018,15.55,16.64,16.09
3,Aragón (AR),2018,18.73,21.69,20.24
4,"Asturias, Principado de (AS)",2018,16.91,17.76,17.29
5,"Balears, Illes (IB)",2018,18.55,22.05,20.2
6,Canarias (CN),2018,16.44,19.63,18.24
7,Cantabria (CB),2018,18.17,20.01,18.72
8,Castilla y León (CL),2018,17.95,22.53,20.27
9,Castilla - La Mancha (CM),2018,17.9,20.7,19.32
10,Cataluña (CT),2018,16.99,19.52,18.3
11,Comunitat Valenciana (VC),2018,17.45,20.2,18.93
12,Extremadura (EX),2018,17.52,19.23,18.38
13,Galicia (GA),2018,18.15,21.69,20.02
14,"Madrid, Comunidad de (MD)",2018,18.81,21.36,20.15
15,"Murcia, Región de (MC)",2018,15.7,15.58,15.64
16,"Navarra, C. Foral de (NC)",2018,17.77,21.06,19.54
17,País Vasco (PV),2018,18.98,22.58,20.88
18,La Rioja (RI),2018,17.65,21.07,19.39
19,Ceuta (CE),2018,16.87,18.32,17.72
20,Melilla (ML),2018,16.87,18.32,17.72
1,España (ES),2020,16.64,19.09,17.92
2,Andalucía (AN),2020,16.84,18.24,17.59
3,Aragón (AR),2020,16.79,18.56,17.91
4,"Asturias, Principado de (AS)",2020,15.98,19.32,17.74
5,"Balears, Illes (IB)",2020,18.99,19.38,19.09
6,Canarias (CN),2020,18.61,19.12,18.76
7,Cantabria (CB),2020,16.49,18.9,17.77
8,Castilla y León (CL),2020,16.46,20.18,18.28
9,Castilla - La Mancha (CM),2020,16.25,19.47,17.86
10,Cataluña (CT),2020,16.66,20.2,18.53
11,Comunitat Valenciana (VC),2020,17.25,18.6,17.97
12,Extremadura (EX),2020,16.52,19.82,18.35
13,Galicia (GA),2020,16.95,19.69,18.31
14,"Madrid, Comunidad de (MD)",2020,15.56,18.39,17.05
15,"Murcia, Región de (MC)",2020,15.62,17.32,16.43
16,"Navarra, C. Foral de (NC)",2020,16.37,20.07,18.27
17,País Vasco (PV),2020,17.51,19.8,18.69
18,La Rioja (RI),2020,17.35,19.06,18.34
19,Ceuta (CE),2020,13.41,12.75,13.09
20,Melilla (ML),2020,13.41,12.75,13.09
