id,Region,Año,Total
1,España (ES),2019,9.28
2,Andalucía (AN),2019,6.46
3,Aragón (AR),2019,10.12
4,"Asturias, Principado de (AS)",2019,10.49
5,"Balears, Illes (IB)",2019,5.42
6,Canarias (CN),2019,5.72
7,Cantabria (CB),2019,8.08
8,Castilla y León (CL),2019,9.96
9,Castilla - La Mancha (CM),2019,5.2
10,Cataluña (CT),2019,13.55
11,Comunitat Valenciana (VC),2019,8.46
12,Extremadura (EX),2019,5.18
13,Galicia (GA),2019,19.19
14,"Madrid, Comunidad de (MD)",2019,8.74
15,"Murcia, Región de (MC)",2019,8.7
16,"Navarra, C. Foral de (NC)",2019,3.98
17,País Vasco (PV),2019,9.07
18,La Rioja (RI),2019,9.22
19,Ceuta (CE),2019,16.58
20,Melilla (ML),2019,9.49
1,España (ES),2017,9.42
2,Andalucía (AN),2017,6.59
3,Aragón (AR),2017,10.18
4,"Asturias, Principado de (AS)",2017,8.35
5,"Balears, Illes (IB)",2017,8.98
6,Canarias (CN),2017,5.13
7,Cantabria (CB),2017,9.81
8,Castilla y León (CL),2017,8.62
9,Castilla - La Mancha (CM),2017,6.84
10,Cataluña (CT),2017,12.94
11,Comunitat Valenciana (VC),2017,8.4
12,Extremadura (EX),2017,5.12
13,Galicia (GA),2017,19.57
14,"Madrid, Comunidad de (MD)",2017,9.21
15,"Murcia, Región de (MC)",2017,8.01
16,"Navarra, C. Foral de (NC)",2017,4.21
17,País Vasco (PV),2017,10.47
18,La Rioja (RI),2017,9.28
19,Ceuta (CE),2017,9.41
20,Melilla (ML),2017,9.43
1,España (ES),2018,9.39
2,Andalucía (AN),2018,7.19
3,Aragón (AR),2018,8.59
4,"Asturias, Principado de (AS)",2018,10.15
5,"Balears, Illes (IB)",2018,9.69
6,Canarias (CN),2018,7.04
7,Cantabria (CB),2018,13.08
8,Castilla y León (CL),2018,8.5
9,Castilla - La Mancha (CM),2018,7.34
10,Cataluña (CT),2018,12.56
11,Comunitat Valenciana (VC),2018,6.59
12,Extremadura (EX),2018,6.65
13,Galicia (GA),2018,19.6
14,"Madrid, Comunidad de (MD)",2018,8.82
15,"Murcia, Región de (MC)",2018,7.98
16,"Navarra, C. Foral de (NC)",2018,5.26
17,País Vasco (PV),2018,9.99
18,La Rioja (RI),2018,8.95
19,Ceuta (CE),2018,9.42
20,Melilla (ML),2018,8.27
1,España (ES),2020,7.58
2,Andalucía (AN),2020,5.93
3,Aragón (AR),2020,6.31
4,"Asturias, Principado de (AS)",2020,11.72
5,"Balears, Illes (IB)",2020,6.09
6,Canarias (CN),2020,4.54
7,Cantabria (CB),2020,6.53
8,Castilla y León (CL),2020,7.03
9,Castilla - La Mancha (CM),2020,3.43
10,Cataluña (CT),2020,11.21
11,Comunitat Valenciana (VC),2020,6.23
12,Extremadura (EX),2020,1.89
13,Galicia (GA),2020,14.67
14,"Madrid, Comunidad de (MD)",2020,6.62
15,"Murcia, Región de (MC)",2020,7.82
16,"Navarra, C. Foral de (NC)",2020,2.59
17,País Vasco (PV),2020,10.6
18,La Rioja (RI),2020,6.96
19,Ceuta (CE),2020,1.19
20,Melilla (ML),2020,7.12
1,España (ES),2021,7.61
2,Andalucía (AN),2021,5.53
3,Aragón (AR),2021,8.45
4,"Asturias, Principado de (AS)",2021,7.73
5,"Balears, Illes (IB)",2021,5.82
6,Canarias (CN),2021,3.25
7,Cantabria (CB),2021,5.99
8,Castilla y León (CL),2021,6.43
9,Castilla - La Mancha (CM),2021,3.42
10,Cataluña (CT),2021,12.11
11,Comunitat Valenciana (VC),2021,7.34
12,Extremadura (EX),2021,3.98
13,Galicia (GA),2021,13.08
14,"Madrid, Comunidad de (MD)",2021,6.98
15,"Murcia, Región de (MC)",2021,7.52
16,"Navarra, C. Foral de (NC)",2021,4.42
17,País Vasco (PV),2021,8.54
18,La Rioja (RI),2021,8.55
19,Ceuta (CE),2021,20.53
20,Melilla (ML),2021,7.19
