id,Region,Año,Hombre,Mujer,Total
1,España (ES),2017,87.22,87.58,87.4
2,Andalucía (AN),2017,89.75,90.18,89.96
3,Aragón (AR),2017,91.38,93.29,92.31
4,"Asturias, Principado de (AS)",2017,79.26,82.13,80.74
5,"Balears, Illes (IB)",2017,92.88,91.2,92.06
6,Canarias (CN),2017,92.77,91.96,92.39
7,Cantabria (CB),2017,91.42,94.68,93.04
8,Castilla y León (CL),2017,87.13,86.48,86.81
9,Castilla - La Mancha (CM),2017,85.57,84.98,85.28
10,Cataluña (CT),2017,85.09,85.99,85.52
11,Comunitat Valenciana (VC),2017,84.8,83.76,84.29
12,Extremadura (EX),2017,89.56,89.63,89.6
13,Galicia (GA),2017,82.68,83.88,83.29
14,"Madrid, Comunidad de (MD)",2017,87.67,88.39,88.02
15,"Murcia, Región de (MC)",2017,87.27,86.93,87.11
16,"Navarra, C. Foral de (NC)",2017,86.9,90.06,88.36
17,País Vasco (PV),2017,85.85,87.56,86.71
18,La Rioja (RI),2017,89.71,84.23,86.93
19,Ceuta (CE),2017,--,--,84.37
20,Melilla (ML),2017,--,--,82.28
