id,Region,Año,Total
1,España (ES),2017,53.83
2,Andalucía (AN),2017,51.32
3,Aragón (AR),2017,57.59
4,"Asturias, Principado de (AS)",2017,57.58
5,"Balears, Illes (IB)",2017,46.52
6,Canarias (CN),2017,43.7
7,Cantabria (CB),2017,55.05
8,Castilla y León (CL),2017,60.09
9,Castilla - La Mancha (CM),2017,53.81
10,Cataluña (CT),2017,55.46
11,Comunitat Valenciana (VC),2017,54.31
12,Extremadura (EX),2017,53.96
13,Galicia (GA),2017,59.55
14,"Madrid, Comunidad de (MD)",2017,52.2
15,"Murcia, Región de (MC)",2017,51.86
16,"Navarra, C. Foral de (NC)",2017,56.81
17,País Vasco (PV),2017,59.14
18,La Rioja (RI),2017,57.04
19,Ceuta (CE),2017,50.95
20,Melilla (ML),2017,55.31
1,España (ES),2021,54.04
2,Andalucía (AN),2021,51.71
3,Aragón (AR),2021,57.62
4,"Asturias, Principado de (AS)",2021,61.07
5,"Balears, Illes (IB)",2021,46.29
6,Canarias (CN),2021,43.84
7,Cantabria (CB),2021,57.17
8,Castilla y León (CL),2021,61.82
9,Castilla - La Mancha (CM),2021,53.46
10,Cataluña (CT),2021,54.82
11,Comunitat Valenciana (VC),2021,54.72
12,Extremadura (EX),2021,54.67
13,Galicia (GA),2021,61.64
14,"Madrid, Comunidad de (MD)",2021,51.56
15,"Murcia, Región de (MC)",2021,51.31
16,"Navarra, C. Foral de (NC)",2021,57.07
17,País Vasco (PV),2021,60.6
18,La Rioja (RI),2021,57.78
19,Ceuta (CE),2021,50.39
20,Melilla (ML),2021,55.92
1,España (ES),2020,54.2
2,Andalucía (AN),2020,51.81
3,Aragón (AR),2020,57.91
4,"Asturias, Principado de (AS)",2020,60.54
5,"Balears, Illes (IB)",2020,46.18
6,Canarias (CN),2020,43.71
7,Cantabria (CB),2020,56.96
8,Castilla y León (CL),2020,61.83
9,Castilla - La Mancha (CM),2020,54.04
10,Cataluña (CT),2020,55.23
11,Comunitat Valenciana (VC),2020,54.75
12,Extremadura (EX),2020,54.71
13,Galicia (GA),2020,61.34
14,"Madrid, Comunidad de (MD)",2020,51.99
15,"Murcia, Región de (MC)",2020,51.47
16,"Navarra, C. Foral de (NC)",2020,57.16
17,País Vasco (PV),2020,60.44
18,La Rioja (RI),2020,57.87
19,Ceuta (CE),2020,50.8
20,Melilla (ML),2020,56.17
1,España (ES),2019,54.29
2,Andalucía (AN),2019,51.8
3,Aragón (AR),2019,58.08
4,"Asturias, Principado de (AS)",2019,59.73
5,"Balears, Illes (IB)",2019,46.42
6,Canarias (CN),2019,43.77
7,Cantabria (CB),2019,56.56
8,Castilla y León (CL),2019,61.37
9,Castilla - La Mancha (CM),2019,54.2
10,Cataluña (CT),2019,55.51
11,Comunitat Valenciana (VC),2019,54.86
12,Extremadura (EX),2019,54.56
13,Galicia (GA),2019,60.94
14,"Madrid, Comunidad de (MD)",2019,52.39
15,"Murcia, Región de (MC)",2019,51.81
16,"Navarra, C. Foral de (NC)",2019,57.22
17,País Vasco (PV),2019,60.32
18,La Rioja (RI),2019,57.86
19,Ceuta (CE),2019,51.07
20,Melilla (ML),2019,56.0
1,España (ES),2022,54.16
2,Andalucía (AN),2022,51.66
3,Aragón (AR),2022,58.59
4,"Asturias, Principado de (AS)",2022,62.07
5,"Balears, Illes (IB)",2022,46.6
6,Canarias (CN),2022,43.96
7,Cantabria (CB),2022,57.62
8,Castilla y León (CL),2022,62.52
9,Castilla - La Mancha (CM),2022,53.53
10,Cataluña (CT),2022,54.77
11,Comunitat Valenciana (VC),2022,54.6
12,Extremadura (EX),2022,54.88
13,Galicia (GA),2022,62.08
14,"Madrid, Comunidad de (MD)",2022,51.62
15,"Murcia, Región de (MC)",2022,51.16
16,"Navarra, C. Foral de (NC)",2022,57.49
17,País Vasco (PV),2022,61.09
18,La Rioja (RI),2022,58.11
19,Ceuta (CE),2022,49.5
20,Melilla (ML),2022,55.46
1,España (ES),2018,54.19
2,Andalucía (AN),2018,51.61
3,Aragón (AR),2018,58.07
4,"Asturias, Principado de (AS)",2018,58.65
5,"Balears, Illes (IB)",2018,46.59
6,Canarias (CN),2018,43.84
7,Cantabria (CB),2018,55.95
8,Castilla y León (CL),2018,60.82
9,Castilla - La Mancha (CM),2018,54.12
10,Cataluña (CT),2018,55.69
11,Comunitat Valenciana (VC),2018,54.71
12,Extremadura (EX),2018,54.29
13,Galicia (GA),2018,60.37
14,"Madrid, Comunidad de (MD)",2018,52.47
15,"Murcia, Región de (MC)",2018,51.84
16,"Navarra, C. Foral de (NC)",2018,57.18
17,País Vasco (PV),2018,59.91
18,La Rioja (RI),2018,57.53
19,Ceuta (CE),2018,51.14
20,Melilla (ML),2018,55.99
