id,Region,Año,Total
1,España (ES),2019,29.93
2,Andalucía (AN),2019,26.05
3,Aragón (AR),2019,34.23
4,"Asturias, Principado de (AS)",2019,40.99
5,"Balears, Illes (IB)",2019,23.17
6,Canarias (CN),2019,23.32
7,Cantabria (CB),2019,34.28
8,Castilla y León (CL),2019,40.71
9,Castilla - La Mancha (CM),2019,29.28
10,Cataluña (CT),2019,29.73
11,Comunitat Valenciana (VC),2019,30.21
12,Extremadura (EX),2019,31.91
13,Galicia (GA),2019,40.5
14,"Madrid, Comunidad de (MD)",2019,27.22
15,"Murcia, Región de (MC)",2019,23.95
16,"Navarra, C. Foral de (NC)",2019,31.14
17,País Vasco (PV),2019,36.24
18,La Rioja (RI),2019,33.33
19,Ceuta (CE),2019,18.15
20,Melilla (ML),2019,16.73
1,España (ES),2017,29.17
2,Andalucía (AN),2017,25.16
3,Aragón (AR),2017,33.62
4,"Asturias, Principado de (AS)",2017,39.0
5,"Balears, Illes (IB)",2017,22.78
6,Canarias (CN),2017,22.46
7,Cantabria (CB),2017,32.71
8,Castilla y León (CL),2017,39.39
9,Castilla - La Mancha (CM),2017,28.64
10,Cataluña (CT),2017,29.28
11,Comunitat Valenciana (VC),2017,29.4
12,Extremadura (EX),2017,30.98
13,Galicia (GA),2017,39.19
14,"Madrid, Comunidad de (MD)",2017,26.58
15,"Murcia, Región de (MC)",2017,23.58
16,"Navarra, C. Foral de (NC)",2017,30.57
17,País Vasco (PV),2017,35.0
18,La Rioja (RI),2017,32.34
19,Ceuta (CE),2017,17.29
20,Melilla (ML),2017,15.81
1,España (ES),2018,29.61
2,Andalucía (AN),2018,25.62
3,Aragón (AR),2018,34.1
4,"Asturias, Principado de (AS)",2018,39.99
5,"Balears, Illes (IB)",2018,23.04
6,Canarias (CN),2018,22.95
7,Cantabria (CB),2018,33.54
8,Castilla y León (CL),2018,40.09
9,Castilla - La Mancha (CM),2018,29.02
10,Cataluña (CT),2018,29.6
11,Comunitat Valenciana (VC),2018,29.88
12,Extremadura (EX),2018,31.43
13,Galicia (GA),2018,39.92
14,"Madrid, Comunidad de (MD)",2018,26.98
15,"Murcia, Región de (MC)",2018,23.7
16,"Navarra, C. Foral de (NC)",2018,30.95
17,País Vasco (PV),2018,35.7
18,La Rioja (RI),2018,32.88
19,Ceuta (CE),2018,17.68
20,Melilla (ML),2018,16.31
1,España (ES),2020,30.19
2,Andalucía (AN),2020,26.43
3,Aragón (AR),2020,34.32
4,"Asturias, Principado de (AS)",2020,41.89
5,"Balears, Illes (IB)",2020,23.34
6,Canarias (CN),2020,23.77
7,Cantabria (CB),2020,34.99
8,Castilla y León (CL),2020,41.29
9,Castilla - La Mancha (CM),2020,29.38
10,Cataluña (CT),2020,29.84
11,Comunitat Valenciana (VC),2020,30.44
12,Extremadura (EX),2020,32.31
13,Galicia (GA),2020,41.04
14,"Madrid, Comunidad de (MD)",2020,27.33
15,"Murcia, Región de (MC)",2020,24.07
16,"Navarra, C. Foral de (NC)",2020,31.37
17,País Vasco (PV),2020,36.65
18,La Rioja (RI),2020,33.58
19,Ceuta (CE),2020,18.73
20,Melilla (ML),2020,17.32
1,España (ES),2022,30.96
2,Andalucía (AN),2022,27.27
3,Aragón (AR),2022,35.31
4,"Asturias, Principado de (AS)",2022,43.82
5,"Balears, Illes (IB)",2022,24.28
6,Canarias (CN),2022,25.16
7,Cantabria (CB),2022,36.52
8,Castilla y León (CL),2022,42.44
9,Castilla - La Mancha (CM),2022,29.59
10,Cataluña (CT),2022,30.29
11,Comunitat Valenciana (VC),2022,31.13
12,Extremadura (EX),2022,33.1
13,Galicia (GA),2022,42.28
14,"Madrid, Comunidad de (MD)",2022,27.91
15,"Murcia, Región de (MC)",2022,24.58
16,"Navarra, C. Foral de (NC)",2022,32.28
17,País Vasco (PV),2022,37.96
18,La Rioja (RI),2022,34.4
19,Ceuta (CE),2022,19.59
20,Melilla (ML),2022,18.19
1,España (ES),2021,30.46
2,Andalucía (AN),2021,26.82
3,Aragón (AR),2021,34.36
4,"Asturias, Principado de (AS)",2021,42.63
5,"Balears, Illes (IB)",2021,23.77
6,Canarias (CN),2021,24.45
7,Cantabria (CB),2021,35.63
8,Castilla y León (CL),2021,41.52
9,Castilla - La Mancha (CM),2021,29.18
10,Cataluña (CT),2021,29.91
11,Comunitat Valenciana (VC),2021,30.83
12,Extremadura (EX),2021,32.57
13,Galicia (GA),2021,41.58
14,"Madrid, Comunidad de (MD)",2021,27.4
15,"Murcia, Región de (MC)",2021,24.35
16,"Navarra, C. Foral de (NC)",2021,31.63
17,País Vasco (PV),2021,37.16
18,La Rioja (RI),2021,33.83
19,Ceuta (CE),2021,19.22
20,Melilla (ML),2021,17.68
