id,Region,Año,Hombre,Mujer,Total
1,España (ES),2019,29.2,25.9,27.5
2,Andalucía (AN),2019,24.8,22.8,23.8
3,Aragón (AR),2019,31.8,24.5,28.3
4,"Asturias, Principado de (AS)",2019,28.5,23.7,26.1
5,"Balears, Illes (IB)",2019,29.9,30.7,30.4
6,Canarias (CN),2019,28.7,20.5,24.6
7,Cantabria (CB),2019,26.6,21.2,23.9
8,Castilla y León (CL),2019,27.8,23.7,25.7
9,Castilla - La Mancha (CM),2019,26.4,28.7,27.6
10,Cataluña (CT),2019,34.1,32.5,33.2
11,Comunitat Valenciana (VC),2019,30.4,29.2,29.8
12,Extremadura (EX),2019,23.4,16.4,19.8
13,Galicia (GA),2019,25.3,19.9,22.4
14,"Madrid, Comunidad de (MD)",2019,31.3,26.0,28.6
15,"Murcia, Región de (MC)",2019,25.0,19.7,22.4
16,"Navarra, C. Foral de (NC)",2019,34.0,23.1,28.6
17,País Vasco (PV),2019,33.8,32.3,33.0
18,La Rioja (RI),2019,30.0,25.4,27.5
19,Ceuta (CE),2019,19.7,10.1,14.5
20,Melilla (ML),2019,14.7,6.7,10.2
1,España (ES),2021,22.6,21.8,22.2
2,Andalucía (AN),2021,17.0,15.1,16.1
3,Aragón (AR),2021,21.2,19.8,20.4
4,"Asturias, Principado de (AS)",2021,19.9,17.3,18.5
5,"Balears, Illes (IB)",2021,26.8,20.6,24.0
6,Canarias (CN),2021,22.0,21.6,21.8
7,Cantabria (CB),2021,24.9,22.0,23.4
8,Castilla y León (CL),2021,25.7,22.2,24.0
9,Castilla - La Mancha (CM),2021,22.9,21.4,22.2
10,Cataluña (CT),2021,24.7,26.5,25.6
11,Comunitat Valenciana (VC),2021,28.4,26.5,27.4
12,Extremadura (EX),2021,25.3,20.6,22.8
13,Galicia (GA),2021,27.0,20.4,23.7
14,"Madrid, Comunidad de (MD)",2021,20.2,23.4,21.8
15,"Murcia, Región de (MC)",2021,19.3,15.2,17.4
16,"Navarra, C. Foral de (NC)",2021,31.4,23.5,27.6
17,País Vasco (PV),2021,25.9,27.3,26.6
18,La Rioja (RI),2021,24.5,16.8,20.5
19,Ceuta (CE),2021,12.5,11.9,12.2
20,Melilla (ML),2021,9.8,4.9,7.1
