id,Region,Año,Hombre,Mujer,Total
1,España (ES),2017,74.79,66.46,70.51
2,Andalucía (AN),2017,75.32,65.18,70.15
3,Aragón (AR),2017,76.15,63.71,69.82
4,"Asturias, Principado de (AS)",2017,71.47,62.4,66.71
5,"Balears, Illes (IB)",2017,83.86,74.98,79.38
6,Canarias (CN),2017,74.71,65.28,69.93
7,Cantabria (CB),2017,75.53,69.27,72.3
8,Castilla y León (CL),2017,74.76,66.95,70.8
9,Castilla - La Mancha (CM),2017,76.66,68.92,72.8
10,Cataluña (CT),2017,74.29,65.79,69.91
11,Comunitat Valenciana (VC),2017,74.9,69.01,71.89
12,Extremadura (EX),2017,80.61,71.12,75.82
13,Galicia (GA),2017,65.03,56.56,60.62
14,"Madrid, Comunidad de (MD)",2017,77.22,70.07,73.46
15,"Murcia, Región de (MC)",2017,76.63,65.58,71.08
16,"Navarra, C. Foral de (NC)",2017,74.79,65.48,70.07
17,País Vasco (PV),2017,69.41,65.3,67.27
18,La Rioja (RI),2017,72.37,67.87,70.08
19,Ceuta (CE),2017,78.58,62.19,70.44
20,Melilla (ML),2017,79.41,67.55,73.45
1,España (ES),2020,79.27,71.94,75.51
2,Andalucía (AN),2020,82.69,74.05,78.27
3,Aragón (AR),2020,82.01,71.75,76.78
4,"Asturias, Principado de (AS)",2020,74.88,61.88,68.05
5,"Balears, Illes (IB)",2020,84.52,81.35,82.92
6,Canarias (CN),2020,71.37,58.11,64.63
7,Cantabria (CB),2020,79.94,73.29,76.5
8,Castilla y León (CL),2020,70.57,62.39,66.42
9,Castilla - La Mancha (CM),2020,79.67,69.96,74.82
10,Cataluña (CT),2020,82.78,74.75,78.64
11,Comunitat Valenciana (VC),2020,76.43,75.06,75.73
12,Extremadura (EX),2020,81.58,77.45,79.49
13,Galicia (GA),2020,73.06,67.18,70.0
14,"Madrid, Comunidad de (MD)",2020,80.15,71.79,75.75
15,"Murcia, Región de (MC)",2020,80.63,70.55,75.57
16,"Navarra, C. Foral de (NC)",2020,78.55,76.78,77.65
17,País Vasco (PV),2020,78.64,76.97,77.77
18,La Rioja (RI),2020,77.93,68.94,73.35
19,Ceuta (CE),2020,86.95,76.3,81.66
20,Melilla (ML),2020,82.38,76.08,79.21
