id,Region,Año,Hombre,Mujer,Total
1,España (ES),2017,52.34,39.97,45.38
2,Andalucía (AN),2017,48.09,38.01,42.44
3,Aragón (AR),2017,58.51,37.07,46.57
4,"Asturias, Principado de (AS)",2017,50.61,35.8,42.03
5,"Balears, Illes (IB)",2017,59.91,54.2,56.77
6,Canarias (CN),2017,44.31,37.98,40.85
7,Cantabria (CB),2017,56.26,47.36,51.21
8,Castilla y León (CL),2017,55.05,49.26,51.86
9,Castilla - La Mancha (CM),2017,60.89,44.68,51.99
10,Cataluña (CT),2017,52.72,38.9,44.93
11,Comunitat Valenciana (VC),2017,58.81,43.34,50.19
12,Extremadura (EX),2017,49.88,32.52,40.18
13,Galicia (GA),2017,38.16,23.34,29.71
14,"Madrid, Comunidad de (MD)",2017,57.69,44.56,50.1
15,"Murcia, Región de (MC)",2017,48.77,36.71,42.05
16,"Navarra, C. Foral de (NC)",2017,58.78,42.31,49.68
17,País Vasco (PV),2017,46.66,40.63,43.23
18,La Rioja (RI),2017,59.87,54.14,56.71
19,Ceuta (CE),2017,78.59,43.62,59.27
20,Melilla (ML),2017,67.38,46.76,55.86
1,España (ES),2020,56.9,45.77,50.66
2,Andalucía (AN),2020,59.09,42.11,49.62
3,Aragón (AR),2020,55.93,45.14,49.92
4,"Asturias, Principado de (AS)",2020,60.42,42.3,49.98
5,"Balears, Illes (IB)",2020,60.7,58.57,59.54
6,Canarias (CN),2020,42.98,20.92,30.97
7,Cantabria (CB),2020,50.92,46.61,48.48
8,Castilla y León (CL),2020,49.58,40.0,44.34
9,Castilla - La Mancha (CM),2020,44.44,34.91,39.23
10,Cataluña (CT),2020,64.0,55.05,58.97
11,Comunitat Valenciana (VC),2020,63.18,47.01,54.18
12,Extremadura (EX),2020,60.14,42.87,50.59
13,Galicia (GA),2020,50.35,41.2,45.15
14,"Madrid, Comunidad de (MD)",2020,56.12,49.96,52.56
15,"Murcia, Región de (MC)",2020,49.77,37.4,42.88
16,"Navarra, C. Foral de (NC)",2020,55.33,62.6,59.33
17,País Vasco (PV),2020,58.41,53.82,55.8
18,La Rioja (RI),2020,58.73,45.92,51.69
19,Ceuta (CE),2020,60.75,58.13,59.32
20,Melilla (ML),2020,43.65,40.48,41.94
