id,Region,Año,Total
1,España (ES),2017,84.5
2,Andalucía (AN),2017,91.0
3,Aragón (AR),2017,85.0
4,"Asturias, Principado de (AS)",2017,66.0
5,"Balears, Illes (IB)",2017,88.0
6,Canarias (CN),2017,81.0
7,Cantabria (CB),2017,90.0
8,Castilla y León (CL),2017,98.0
9,Castilla - La Mancha (CM),2017,81.0
10,Cataluña (CT),2017,81.0
11,Comunitat Valenciana (VC),2017,88.0
12,Extremadura (EX),2017,86.0
13,Galicia (GA),2017,67.0
14,"Madrid, Comunidad de (MD)",2017,78.0
15,"Murcia, Región de (MC)",2017,52.0
16,"Navarra, C. Foral de (NC)",2017,90.0
17,País Vasco (PV),2017,84.0
18,La Rioja (RI),2017,96.0
19,Ceuta (CE),2017,80.0
20,Melilla (ML),2017,100.0
1,España (ES),2021,84.38
2,Andalucía (AN),2021,90.72
3,Aragón (AR),2021,73.49
4,"Asturias, Principado de (AS)",2021,78.89
5,"Balears, Illes (IB)",2021,60.19
6,Canarias (CN),2021,90.92
7,Cantabria (CB),2021,90.04
8,Castilla y León (CL),2021,98.6
9,Castilla - La Mancha (CM),2021,85.33
10,Cataluña (CT),2021,83.72
11,Comunitat Valenciana (VC),2021,86.26
12,Extremadura (EX),2021,86.58
13,Galicia (GA),2021,72.7
14,"Madrid, Comunidad de (MD)",2021,76.6
15,"Murcia, Región de (MC)",2021,96.34
16,"Navarra, C. Foral de (NC)",2021,88.72
17,País Vasco (PV),2021,81.31
18,La Rioja (RI),2021,94.12
19,Ceuta (CE),2021,85.02
20,Melilla (ML),2021,99.21
1,España (ES),2020,84.09
2,Andalucía (AN),2020,90.7
3,Aragón (AR),2020,74.39
4,"Asturias, Principado de (AS)",2020,79.81
5,"Balears, Illes (IB)",2020,60.1
6,Canarias (CN),2020,89.82
7,Cantabria (CB),2020,90.03
8,Castilla y León (CL),2020,98.58
9,Castilla - La Mancha (CM),2020,86.06
10,Cataluña (CT),2020,82.58
11,Comunitat Valenciana (VC),2020,85.94
12,Extremadura (EX),2020,86.52
13,Galicia (GA),2020,71.46
14,"Madrid, Comunidad de (MD)",2020,76.6
15,"Murcia, Región de (MC)",2020,96.36
16,"Navarra, C. Foral de (NC)",2020,88.4
17,País Vasco (PV),2020,81.31
18,La Rioja (RI),2020,94.12
19,Ceuta (CE),2020,85.02
20,Melilla (ML),2020,99.21
1,España (ES),2019,84.19
2,Andalucía (AN),2019,91.31
3,Aragón (AR),2019,82.28
4,"Asturias, Principado de (AS)",2019,71.89
5,"Balears, Illes (IB)",2019,62.28
6,Canarias (CN),2019,91.56
7,Cantabria (CB),2019,89.42
8,Castilla y León (CL),2019,97.89
9,Castilla - La Mancha (CM),2019,85.28
10,Cataluña (CT),2019,80.74
11,Comunitat Valenciana (VC),2019,86.24
12,Extremadura (EX),2019,85.24
13,Galicia (GA),2019,69.99
14,"Madrid, Comunidad de (MD)",2019,78.95
15,"Murcia, Región de (MC)",2019,90.83
16,"Navarra, C. Foral de (NC)",2019,90.27
17,País Vasco (PV),2019,82.1
18,La Rioja (RI),2019,95.29
19,Ceuta (CE),2019,84.08
20,Melilla (ML),2019,100.0
1,España (ES),2018,83.44
2,Andalucía (AN),2018,89.58
3,Aragón (AR),2018,87.17
4,"Asturias, Principado de (AS)",2018,75.15
5,"Balears, Illes (IB)",2018,82.84
6,Canarias (CN),2018,83.23
7,Cantabria (CB),2018,91.84
8,Castilla y León (CL),2018,99.99
9,Castilla - La Mancha (CM),2018,85.55
10,Cataluña (CT),2018,80.58
11,Comunitat Valenciana (VC),2018,88.14
12,Extremadura (EX),2018,88.25
13,Galicia (GA),2018,70.43
14,"Madrid, Comunidad de (MD)",2018,77.67
15,"Murcia, Región de (MC)",2018,55.28
16,"Navarra, C. Foral de (NC)",2018,89.29
17,País Vasco (PV),2018,81.88
18,La Rioja (RI),2018,97.48
19,Ceuta (CE),2018,84.98
20,Melilla (ML),2018,93.54
