id,Region,Año,Total
1,España (ES),2021,3.75
2,Andalucía (AN),2021,3.76
3,Aragón (AR),2021,4.07
4,"Asturias, Principado de (AS)",2021,3.89
5,"Balears, Illes (IB)",2021,3.21
6,Canarias (CN),2021,4.06
7,Cantabria (CB),2021,3.78
8,Castilla y León (CL),2021,4.29
9,Castilla - La Mancha (CM),2021,3.8
10,Cataluña (CT),2021,3.71
11,Comunitat Valenciana (VC),2021,3.69
12,Extremadura (EX),2021,3.79
13,Galicia (GA),2021,3.79
14,"Madrid, Comunidad de (MD)",2021,4.0
15,"Murcia, Región de (MC)",2021,3.64
16,"Navarra, C. Foral de (NC)",2021,3.39
17,País Vasco (PV),2021,2.82
18,La Rioja (RI),2021,3.36
19,Ceuta (CE),2021,3.34
20,Melilla (ML),2021,2.42
1,España (ES),2019,3.85
2,Andalucía (AN),2019,3.93
3,Aragón (AR),2019,4.71
4,"Asturias, Principado de (AS)",2019,3.97
5,"Balears, Illes (IB)",2019,3.29
6,Canarias (CN),2019,3.62
7,Cantabria (CB),2019,3.71
8,Castilla y León (CL),2019,4.8
9,Castilla - La Mancha (CM),2019,3.93
10,Cataluña (CT),2019,3.98
11,Comunitat Valenciana (VC),2019,3.92
12,Extremadura (EX),2019,3.85
13,Galicia (GA),2019,3.76
14,"Madrid, Comunidad de (MD)",2019,3.83
15,"Murcia, Región de (MC)",2019,3.97
16,"Navarra, C. Foral de (NC)",2019,2.93
17,País Vasco (PV),2019,2.71
18,La Rioja (RI),2019,3.4
19,Ceuta (CE),2019,3.27
20,Melilla (ML),2019,2.9
1,España (ES),2017,3.98
2,Andalucía (AN),2017,4.08
3,Aragón (AR),2017,4.41
4,"Asturias, Principado de (AS)",2017,4.32
5,"Balears, Illes (IB)",2017,3.47
6,Canarias (CN),2017,4.25
7,Cantabria (CB),2017,3.78
8,Castilla y León (CL),2017,4.7
9,Castilla - La Mancha (CM),2017,4.13
10,Cataluña (CT),2017,3.9
11,Comunitat Valenciana (VC),2017,3.71
12,Extremadura (EX),2017,4.35
13,Galicia (GA),2017,4.17
14,"Madrid, Comunidad de (MD)",2017,4.08
15,"Murcia, Región de (MC)",2017,3.89
16,"Navarra, C. Foral de (NC)",2017,4.0
17,País Vasco (PV),2017,3.11
18,La Rioja (RI),2017,3.7
19,Ceuta (CE),2017,2.5
20,Melilla (ML),2017,2.57
1,España (ES),2018,3.96
2,Andalucía (AN),2018,4.06
3,Aragón (AR),2018,4.28
4,"Asturias, Principado de (AS)",2018,4.26
5,"Balears, Illes (IB)",2018,3.18
6,Canarias (CN),2018,3.87
7,Cantabria (CB),2018,3.87
8,Castilla y León (CL),2018,4.16
9,Castilla - La Mancha (CM),2018,4.71
10,Cataluña (CT),2018,4.04
11,Comunitat Valenciana (VC),2018,4.09
12,Extremadura (EX),2018,3.91
13,Galicia (GA),2018,4.29
14,"Madrid, Comunidad de (MD)",2018,3.96
15,"Murcia, Región de (MC)",2018,4.12
16,"Navarra, C. Foral de (NC)",2018,3.27
17,País Vasco (PV),2018,2.95
18,La Rioja (RI),2018,3.32
19,Ceuta (CE),2018,2.42
20,Melilla (ML),2018,2.0
1,España (ES),2020,3.9
2,Andalucía (AN),2020,3.95
3,Aragón (AR),2020,4.37
4,"Asturias, Principado de (AS)",2020,4.23
5,"Balears, Illes (IB)",2020,3.62
6,Canarias (CN),2020,3.96
7,Cantabria (CB),2020,4.02
8,Castilla y León (CL),2020,4.9
9,Castilla - La Mancha (CM),2020,4.13
10,Cataluña (CT),2020,3.71
11,Comunitat Valenciana (VC),2020,3.99
12,Extremadura (EX),2020,4.09
13,Galicia (GA),2020,4.25
14,"Madrid, Comunidad de (MD)",2020,4.0
15,"Murcia, Región de (MC)",2020,3.54
16,"Navarra, C. Foral de (NC)",2020,2.66
17,País Vasco (PV),2020,3.04
18,La Rioja (RI),2020,4.06
19,Ceuta (CE),2020,1.56
20,Melilla (ML),2020,3.93
