id,Region,Año,Hombre,Mujer,Total
1,España (ES),2019,5.43,2.28,3.78
2,Andalucía (AN),2019,4.75,2.24,3.44
3,Aragón (AR),2019,5.48,2.31,3.84
4,"Asturias, Principado de (AS)",2019,7.21,3.52,5.22
5,"Balears, Illes (IB)",2019,6.12,2.88,4.46
6,Canarias (CN),2019,6.23,2.99,4.56
7,Cantabria (CB),2019,5.4,2.29,3.75
8,Castilla y León (CL),2019,5.95,2.49,4.15
9,Castilla - La Mancha (CM),2019,2.25,0.67,1.44
10,Cataluña (CT),2019,5.6,2.24,3.85
11,Comunitat Valenciana (VC),2019,6.38,2.97,4.6
12,Extremadura (EX),2019,3.69,1.27,2.44
13,Galicia (GA),2019,6.01,2.31,4.03
14,"Madrid, Comunidad de (MD)",2019,5.43,1.95,3.57
15,"Murcia, Región de (MC)",2019,6.04,2.71,4.35
16,"Navarra, C. Foral de (NC)",2019,6.12,2.54,4.28
17,País Vasco (PV),2019,5.07,1.77,3.34
18,La Rioja (RI),2019,5.04,1.69,3.31
1,España (ES),2017,5.24,2.24,3.67
2,Andalucía (AN),2017,4.86,2.34,3.54
3,Aragón (AR),2017,5.58,2.41,3.93
4,"Asturias, Principado de (AS)",2017,7.23,3.67,5.31
5,"Balears, Illes (IB)",2017,6.22,2.85,4.49
6,Canarias (CN),2017,6.14,2.99,4.52
7,Cantabria (CB),2017,5.28,2.17,3.63
8,Castilla y León (CL),2017,5.69,2.32,3.94
9,Castilla - La Mancha (CM),2017,2.26,0.69,1.45
10,Cataluña (CT),2017,4.48,1.82,3.09
11,Comunitat Valenciana (VC),2017,6.29,2.92,4.53
12,Extremadura (EX),2017,3.51,1.43,2.43
13,Galicia (GA),2017,5.96,2.32,4.02
14,"Madrid, Comunidad de (MD)",2017,5.56,2.05,3.68
15,"Murcia, Región de (MC)",2017,6.3,2.9,4.56
16,"Navarra, C. Foral de (NC)",2017,6.19,2.5,4.28
17,País Vasco (PV),2017,4.57,1.67,3.04
18,La Rioja (RI),2017,5.04,1.77,3.35
1,España (ES),2018,5.16,2.17,3.6
2,Andalucía (AN),2018,4.84,2.29,3.51
3,Aragón (AR),2018,5.46,2.38,3.87
4,"Asturias, Principado de (AS)",2018,7.14,3.52,5.19
5,"Balears, Illes (IB)",2018,6.16,2.82,4.45
6,Canarias (CN),2018,6.13,2.95,4.49
7,Cantabria (CB),2018,5.33,2.14,3.64
8,Castilla y León (CL),2018,5.83,2.42,4.06
9,Castilla - La Mancha (CM),2018,2.19,0.66,1.41
10,Cataluña (CT),2018,4.35,1.73,2.98
11,Comunitat Valenciana (VC),2018,6.17,2.87,4.45
12,Extremadura (EX),2018,3.57,1.3,2.39
13,Galicia (GA),2018,5.94,2.29,3.99
14,"Madrid, Comunidad de (MD)",2018,5.28,1.88,3.46
15,"Murcia, Región de (MC)",2018,6.16,2.81,4.46
16,"Navarra, C. Foral de (NC)",2018,6.17,2.54,4.3
17,País Vasco (PV),2018,4.59,1.66,3.05
18,La Rioja (RI),2018,5.06,1.76,3.36
1,España (ES),2020,5.35,2.21,3.71
2,Andalucía (AN),2020,4.6,2.11,3.3
3,Aragón (AR),2020,5.21,2.19,3.65
4,"Asturias, Principado de (AS)",2020,7.21,3.37,5.14
5,"Balears, Illes (IB)",2020,5.94,2.78,4.33
6,Canarias (CN),2020,6.26,2.97,4.56
7,Cantabria (CB),2020,5.48,2.31,3.81
8,Castilla y León (CL),2020,5.8,2.45,4.06
9,Castilla - La Mancha (CM),2020,1.99,0.55,1.25
10,Cataluña (CT),2020,5.51,2.17,3.77
11,Comunitat Valenciana (VC),2020,6.43,2.9,4.59
12,Extremadura (EX),2020,3.76,1.32,2.5
13,Galicia (GA),2020,5.99,2.3,4.02
14,"Madrid, Comunidad de (MD)",2020,5.36,1.94,3.53
15,"Murcia, Región de (MC)",2020,5.97,2.62,4.27
16,"Navarra, C. Foral de (NC)",2020,6.06,2.48,4.21
17,País Vasco (PV),2020,4.85,1.73,3.21
18,La Rioja (RI),2020,4.96,1.66,3.26
1,España (ES),2021,5.55,2.37,3.89
2,Andalucía (AN),2021,5.78,3.03,4.35
3,Aragón (AR),2021,5.12,2.13,3.58
4,"Asturias, Principado de (AS)",2021,7.07,3.31,5.05
5,"Balears, Illes (IB)",2021,5.83,2.81,4.29
6,Canarias (CN),2021,6.26,2.99,4.57
7,Cantabria (CB),2021,5.61,2.32,3.87
8,Castilla y León (CL),2021,5.8,2.44,4.05
9,Castilla - La Mancha (CM),2021,2.28,0.7,1.47
10,Cataluña (CT),2021,5.61,2.23,3.85
11,Comunitat Valenciana (VC),2021,6.3,2.81,4.48
12,Extremadura (EX),2021,3.72,1.28,2.46
13,Galicia (GA),2021,6.02,2.26,4.01
14,"Madrid, Comunidad de (MD)",2021,5.33,1.94,3.51
15,"Murcia, Región de (MC)",2021,5.85,2.54,4.17
16,"Navarra, C. Foral de (NC)",2021,6.1,2.5,4.24
17,País Vasco (PV),2021,4.86,1.76,3.23
18,La Rioja (RI),2021,4.89,1.65,3.22
