id,Region,Año,Hombre,Mujer,Total
1,España (ES),2021,10.31,19.72,15.0
2,Andalucía (AN),2021,13.55,25.79,19.7
3,Aragón (AR),2021,6.44,14.0,10.15
4,"Asturias, Principado de (AS)",2021,7.95,17.1,12.57
5,"Balears, Illes (IB)",2021,13.46,23.92,18.65
6,Canarias (CN),2021,16.37,27.36,21.9
7,Cantabria (CB),2021,6.24,13.44,9.85
8,Castilla y León (CL),2021,10.32,20.59,15.39
9,Castilla - La Mancha (CM),2021,2.85,6.86,4.82
10,Cataluña (CT),2021,12.34,23.16,17.65
11,Comunitat Valenciana (VC),2021,18.11,32.14,25.1
12,Extremadura (EX),2021,2.46,5.71,4.09
13,Galicia (GA),2021,6.37,14.4,10.45
14,"Madrid, Comunidad de (MD)",2021,4.63,10.02,7.36
15,"Murcia, Región de (MC)",2021,7.87,16.13,11.92
16,"Navarra, C. Foral de (NC)",2021,7.77,16.21,11.85
17,País Vasco (PV),2021,8.77,16.6,12.67
18,La Rioja (RI),2021,5.02,10.71,7.83
1,España (ES),2019,11.05,20.51,15.88
2,Andalucía (AN),2019,6.13,12.71,9.48
3,Aragón (AR),2019,8.31,17.32,12.88
4,"Asturias, Principado de (AS)",2019,11.27,22.32,17.06
5,"Balears, Illes (IB)",2019,17.06,29.95,23.56
6,Canarias (CN),2019,17.13,28.95,23.14
7,Cantabria (CB),2019,7.79,16.28,12.16
8,Castilla y León (CL),2019,13.25,24.96,19.22
9,Castilla - La Mancha (CM),2019,4.08,7.37,5.73
10,Cataluña (CT),2019,15.79,27.85,21.92
11,Comunitat Valenciana (VC),2019,22.25,38.28,30.4
12,Extremadura (EX),2019,2.7,6.25,4.49
13,Galicia (GA),2019,7.44,16.22,12.0
14,"Madrid, Comunidad de (MD)",2019,6.04,12.68,9.49
15,"Murcia, Región de (MC)",2019,9.75,19.36,14.54
16,"Navarra, C. Foral de (NC)",2019,11.2,21.43,16.37
17,País Vasco (PV),2019,11.54,20.69,16.22
18,La Rioja (RI),2019,6.24,12.88,9.6
1,España (ES),2017,8.77,17.09,13.02
2,Andalucía (AN),2017,5.95,12.43,9.25
3,Aragón (AR),2017,7.13,15.61,11.44
4,"Asturias, Principado de (AS)",2017,10.66,21.47,16.3
5,"Balears, Illes (IB)",2017,15.21,26.88,21.11
6,Canarias (CN),2017,15.01,26.1,20.63
7,Cantabria (CB),2017,7.1,14.89,11.11
8,Castilla y León (CL),2017,11.7,22.63,17.26
9,Castilla - La Mancha (CM),2017,3.92,7.42,5.68
10,Cataluña (CT),2017,5.94,12.67,9.37
11,Comunitat Valenciana (VC),2017,20.99,36.57,28.91
12,Extremadura (EX),2017,2.32,5.68,4.02
13,Galicia (GA),2017,6.61,14.62,10.76
14,"Madrid, Comunidad de (MD)",2017,5.77,12.38,9.21
15,"Murcia, Región de (MC)",2017,9.34,18.98,14.14
16,"Navarra, C. Foral de (NC)",2017,10.64,20.9,15.83
17,País Vasco (PV),2017,9.22,17.41,13.4
18,La Rioja (RI),2017,5.78,12.14,9.0
1,España (ES),2018,8.93,17.09,13.09
2,Andalucía (AN),2018,6.06,12.58,9.38
3,Aragón (AR),2018,7.8,16.63,12.28
4,"Asturias, Principado de (AS)",2018,10.89,21.97,16.68
5,"Balears, Illes (IB)",2018,16.14,28.52,22.39
6,Canarias (CN),2018,15.78,27.16,21.55
7,Cantabria (CB),2018,7.38,15.29,11.45
8,Castilla y León (CL),2018,12.39,23.69,18.13
9,Castilla - La Mancha (CM),2018,3.83,7.07,5.46
10,Cataluña (CT),2018,5.17,10.52,7.89
11,Comunitat Valenciana (VC),2018,21.75,37.53,29.78
12,Extremadura (EX),2018,2.59,5.93,4.28
13,Galicia (GA),2018,7.03,15.34,11.33
14,"Madrid, Comunidad de (MD)",2018,5.62,11.82,8.84
15,"Murcia, Región de (MC)",2018,9.61,19.18,14.39
16,"Navarra, C. Foral de (NC)",2018,11.0,21.07,16.09
17,País Vasco (PV),2018,9.87,18.41,14.23
18,La Rioja (RI),2018,6.15,12.7,9.47
1,España (ES),2020,11.45,21.13,16.39
2,Andalucía (AN),2020,6.08,12.68,9.44
3,Aragón (AR),2020,8.42,17.49,13.02
4,"Asturias, Principado de (AS)",2020,11.39,22.73,17.33
5,"Balears, Illes (IB)",2020,17.64,31.14,24.44
6,Canarias (CN),2020,18.73,31.03,24.98
7,Cantabria (CB),2020,8.3,16.99,12.78
8,Castilla y León (CL),2020,13.79,25.63,19.83
9,Castilla - La Mancha (CM),2020,3.71,7.23,5.47
10,Cataluña (CT),2020,16.69,29.21,23.05
11,Comunitat Valenciana (VC),2020,22.82,39.09,31.1
12,Extremadura (EX),2020,2.88,6.69,4.81
13,Galicia (GA),2020,7.85,16.84,12.51
14,"Madrid, Comunidad de (MD)",2020,6.31,13.11,9.84
15,"Murcia, Región de (MC)",2020,9.94,19.7,14.81
16,"Navarra, C. Foral de (NC)",2020,11.41,21.74,16.63
17,País Vasco (PV),2020,11.79,21.25,16.63
18,La Rioja (RI),2020,6.58,13.29,9.98
