id,Region,Año,Hombre,Mujer,Total
1,España (ES),2021,13.05,16.71,14.78
2,Andalucía (AN),2021,18.5,25.44,21.67
3,Aragón (AR),2021,8.49,12.03,10.16
4,"Asturias, Principado de (AS)",2021,11.4,13.74,12.53
5,"Balears, Illes (IB)",2021,13.58,16.13,14.78
6,Canarias (CN),2021,22.17,24.27,23.18
7,Cantabria (CB),2021,10.09,13.0,11.46
8,Castilla y León (CL),2021,9.44,13.7,11.4
9,Castilla - La Mancha (CM),2021,11.55,20.81,15.64
10,Cataluña (CT),2021,10.37,12.85,11.56
11,Comunitat Valenciana (VC),2021,14.0,18.11,15.92
12,Extremadura (EX),2021,15.25,24.75,19.53
13,Galicia (GA),2021,10.6,12.8,11.65
14,"Madrid, Comunidad de (MD)",2021,10.66,12.47,11.55
15,"Murcia, Región de (MC)",2021,11.97,17.18,14.28
16,"Navarra, C. Foral de (NC)",2021,11.41,9.69,10.59
17,País Vasco (PV),2021,9.65,10.01,9.82
18,La Rioja (RI),2021,8.63,14.74,11.52
19,Ceuta (CE),2021,21.85,32.29,26.65
20,Melilla (ML),2021,17.97,22.11,19.81
1,España (ES),2019,12.45,15.99,14.1
2,Andalucía (AN),2019,17.84,25.22,21.19
3,Aragón (AR),2019,8.79,11.49,10.03
4,"Asturias, Principado de (AS)",2019,13.31,15.13,14.19
5,"Balears, Illes (IB)",2019,10.29,13.41,11.74
6,Canarias (CN),2019,19.3,21.85,20.49
7,Cantabria (CB),2019,9.64,11.02,10.28
8,Castilla y León (CL),2019,10.02,13.57,11.63
9,Castilla - La Mancha (CM),2019,12.23,21.27,16.21
10,Cataluña (CT),2019,10.59,11.51,11.03
11,Comunitat Valenciana (VC),2019,11.79,16.86,14.11
12,Extremadura (EX),2019,16.6,27.68,21.53
13,Galicia (GA),2019,10.75,12.84,11.76
14,"Madrid, Comunidad de (MD)",2019,9.81,11.47,10.62
15,"Murcia, Región de (MC)",2019,11.88,18.22,14.68
16,"Navarra, C. Foral de (NC)",2019,7.39,9.21,8.24
17,País Vasco (PV),2019,8.89,9.43,9.15
18,La Rioja (RI),2019,10.12,9.77,9.96
19,Ceuta (CE),2019,23.07,29.66,25.84
20,Melilla (ML),2019,22.36,32.72,26.95
1,España (ES),2017,15.66,19.03,17.22
2,Andalucía (AN),2017,22.94,28.64,25.51
3,Aragón (AR),2017,9.02,14.75,11.65
4,"Asturias, Principado de (AS)",2017,13.51,13.93,13.71
5,"Balears, Illes (IB)",2017,12.4,12.48,12.43
6,Canarias (CN),2017,21.23,25.97,23.46
7,Cantabria (CB),2017,13.24,13.93,13.56
8,Castilla y León (CL),2017,12.0,16.58,14.08
9,Castilla - La Mancha (CM),2017,16.76,25.98,20.77
10,Cataluña (CT),2017,12.52,14.4,13.41
11,Comunitat Valenciana (VC),2017,16.47,20.17,18.17
12,Extremadura (EX),2017,22.7,30.7,26.22
13,Galicia (GA),2017,15.01,16.39,15.67
14,"Madrid, Comunidad de (MD)",2017,12.79,13.93,13.34
15,"Murcia, Región de (MC)",2017,15.22,21.57,18.03
16,"Navarra, C. Foral de (NC)",2017,7.74,13.15,10.24
17,País Vasco (PV),2017,10.52,12.19,11.31
18,La Rioja (RI),2017,9.54,14.85,12.0
19,Ceuta (CE),2017,17.13,29.57,22.45
20,Melilla (ML),2017,20.68,37.51,27.59
1,España (ES),2018,13.72,17.02,15.25
2,Andalucía (AN),2018,19.76,26.94,22.99
3,Aragón (AR),2018,9.33,12.16,10.63
4,"Asturias, Principado de (AS)",2018,12.37,14.92,13.61
5,"Balears, Illes (IB)",2018,12.03,10.92,11.52
6,Canarias (CN),2018,18.9,21.42,20.07
7,Cantabria (CB),2018,9.2,12.38,10.67
8,Castilla y León (CL),2018,10.36,14.21,12.1
9,Castilla - La Mancha (CM),2018,13.59,24.05,18.16
10,Cataluña (CT),2018,10.95,12.09,11.49
11,Comunitat Valenciana (VC),2018,14.0,17.46,15.59
12,Extremadura (EX),2018,19.38,29.05,23.64
13,Galicia (GA),2018,12.38,14.36,13.34
14,"Madrid, Comunidad de (MD)",2018,11.62,12.85,12.22
15,"Murcia, Región de (MC)",2018,13.4,20.98,16.76
16,"Navarra, C. Foral de (NC)",2018,9.08,11.09,10.02
17,País Vasco (PV),2018,10.09,9.84,9.97
18,La Rioja (RI),2018,9.1,11.85,10.4
19,Ceuta (CE),2018,22.88,36.34,29.01
20,Melilla (ML),2018,21.56,31.57,25.76
1,España (ES),2022,11.27,14.76,12.92
2,Andalucía (AN),2022,15.93,22.64,19.02
3,Aragón (AR),2022,7.62,11.39,9.4
4,"Asturias, Principado de (AS)",2022,11.76,13.6,12.64
5,"Balears, Illes (IB)",2022,9.88,12.05,10.9
6,Canarias (CN),2022,16.3,19.02,17.59
7,Cantabria (CB),2022,7.69,11.35,9.41
8,Castilla y León (CL),2022,8.37,11.32,9.75
9,Castilla - La Mancha (CM),2022,10.7,18.86,14.29
10,Cataluña (CT),2022,9.07,10.34,9.68
11,Comunitat Valenciana (VC),2022,11.3,15.31,13.18
12,Extremadura (EX),2022,14.16,21.05,17.28
13,Galicia (GA),2022,10.07,12.02,11.02
14,"Madrid, Comunidad de (MD)",2022,9.6,12.89,11.22
15,"Murcia, Región de (MC)",2022,11.59,15.3,13.26
16,"Navarra, C. Foral de (NC)",2022,9.07,10.13,9.57
17,País Vasco (PV),2022,8.41,8.8,8.6
18,La Rioja (RI),2022,8.83,10.26,9.51
19,Ceuta (CE),2022,23.89,34.56,28.4
20,Melilla (ML),2022,17.72,25.83,21.56
1,España (ES),2020,13.87,17.43,15.53
2,Andalucía (AN),2020,18.82,26.53,22.28
3,Aragón (AR),2020,10.09,13.56,11.7
4,"Asturias, Principado de (AS)",2020,13.86,14.4,14.12
5,"Balears, Illes (IB)",2020,14.97,17.49,16.14
6,Canarias (CN),2020,21.45,23.94,22.62
7,Cantabria (CB),2020,11.69,12.66,12.14
8,Castilla y León (CL),2020,10.61,13.79,12.06
9,Castilla - La Mancha (CM),2020,13.62,22.95,17.68
10,Cataluña (CT),2020,11.91,13.42,12.63
11,Comunitat Valenciana (VC),2020,14.33,18.37,16.19
12,Extremadura (EX),2020,18.03,26.29,21.8
13,Galicia (GA),2020,10.89,13.25,12.02
14,"Madrid, Comunidad de (MD)",2020,11.57,13.45,12.49
15,"Murcia, Región de (MC)",2020,13.6,19.47,16.18
16,"Navarra, C. Foral de (NC)",2020,9.99,10.14,10.06
17,País Vasco (PV),2020,8.68,10.45,9.54
18,La Rioja (RI),2020,9.26,12.57,10.8
19,Ceuta (CE),2020,21.77,28.29,24.53
20,Melilla (ML),2020,20.69,27.22,23.62
