id,Region,Año,Hombre,Mujer,Total
1,España (ES),2021,50.7,39.65,44.65
2,Andalucía (AN),2021,68.63,55.47,61.71
3,Aragón (AR),2021,48.06,39.87,43.5
4,"Asturias, Principado de (AS)",2021,56.07,39.93,47.05
5,"Balears, Illes (IB)",2021,44.49,34.88,38.94
6,Canarias (CN),2021,44.35,34.31,39.09
7,Cantabria (CB),2021,51.44,32.61,40.37
8,Castilla y León (CL),2021,41.81,32.04,36.79
9,Castilla - La Mancha (CM),2021,50.84,42.11,46.12
10,Cataluña (CT),2021,44.84,33.52,38.36
11,Comunitat Valenciana (VC),2021,55.23,42.0,48.04
12,Extremadura (EX),2021,65.04,47.54,55.63
13,Galicia (GA),2021,48.56,43.66,46.0
14,"Madrid, Comunidad de (MD)",2021,35.33,27.5,30.95
15,"Murcia, Región de (MC)",2021,61.46,54.63,58.13
16,"Navarra, C. Foral de (NC)",2021,48.45,32.89,39.64
17,País Vasco (PV),2021,47.87,38.0,42.2
18,La Rioja (RI),2021,45.06,38.31,41.36
19,Ceuta (CE),2021,65.29,47.74,55.24
20,Melilla (ML),2021,47.69,27.75,38.41
1,España (ES),2019,52.7,42.71,47.37
2,Andalucía (AN),2019,70.72,57.3,63.7
3,Aragón (AR),2019,61.15,46.29,52.75
4,"Asturias, Principado de (AS)",2019,52.0,44.17,48.11
5,"Balears, Illes (IB)",2019,47.93,37.97,42.86
6,Canarias (CN),2019,40.64,41.0,41.61
7,Cantabria (CB),2019,50.5,36.44,43.47
8,Castilla y León (CL),2019,44.09,37.07,40.4
9,Castilla - La Mancha (CM),2019,51.06,46.55,49.05
10,Cataluña (CT),2019,46.27,35.26,40.1
11,Comunitat Valenciana (VC),2019,55.56,44.15,49.42
12,Extremadura (EX),2019,54.02,47.87,50.92
13,Galicia (GA),2019,53.84,46.7,50.28
14,"Madrid, Comunidad de (MD)",2019,37.56,31.22,34.06
15,"Murcia, Región de (MC)",2019,70.55,56.59,63.03
16,"Navarra, C. Foral de (NC)",2019,44.84,38.77,42.1
17,País Vasco (PV),2019,48.62,37.26,42.09
18,La Rioja (RI),2019,58.72,50.31,54.45
19,Ceuta (CE),2019,45.81,70.57,59.86
20,Melilla (ML),2019,73.33,36.99,51.19
1,España (ES),2017,57.43,46.67,51.63
2,Andalucía (AN),2017,78.06,64.69,70.89
3,Aragón (AR),2017,64.92,52.39,58.21
4,"Asturias, Principado de (AS)",2017,61.9,45.45,52.98
5,"Balears, Illes (IB)",2017,56.06,42.99,48.6
6,Canarias (CN),2017,47.47,41.59,44.78
7,Cantabria (CB),2017,66.77,49.44,56.67
8,Castilla y León (CL),2017,49.28,39.26,43.87
9,Castilla - La Mancha (CM),2017,54.69,43.65,48.87
10,Cataluña (CT),2017,50.24,39.01,44.1
11,Comunitat Valenciana (VC),2017,59.33,51.63,55.56
12,Extremadura (EX),2017,70.3,55.15,62.18
13,Galicia (GA),2017,54.15,50.21,52.34
14,"Madrid, Comunidad de (MD)",2017,37.33,31.06,33.8
15,"Murcia, Región de (MC)",2017,65.52,57.86,61.75
16,"Navarra, C. Foral de (NC)",2017,56.42,45.29,50.34
17,País Vasco (PV),2017,56.38,42.45,48.43
18,La Rioja (RI),2017,58.74,46.31,51.82
19,Ceuta (CE),2017,56.7,44.88,51.08
20,Melilla (ML),2017,78.15,27.91,47.46
1,España (ES),2018,55.52,44.52,49.59
2,Andalucía (AN),2018,75.55,64.27,69.74
3,Aragón (AR),2018,59.65,52.24,55.62
4,"Asturias, Principado de (AS)",2018,53.13,45.9,49.17
5,"Balears, Illes (IB)",2018,48.72,37.8,43.02
6,Canarias (CN),2018,49.9,37.82,43.43
7,Cantabria (CB),2018,53.9,39.43,46.11
8,Castilla y León (CL),2018,48.82,38.03,42.95
9,Castilla - La Mancha (CM),2018,51.97,43.58,47.61
10,Cataluña (CT),2018,49.12,37.7,42.79
11,Comunitat Valenciana (VC),2018,57.82,46.3,51.86
12,Extremadura (EX),2018,56.36,46.61,51.3
13,Galicia (GA),2018,55.0,46.2,50.33
14,"Madrid, Comunidad de (MD)",2018,35.44,31.14,33.25
15,"Murcia, Región de (MC)",2018,73.09,54.01,62.42
16,"Navarra, C. Foral de (NC)",2018,53.65,45.49,49.71
17,País Vasco (PV),2018,56.42,39.16,46.36
18,La Rioja (RI),2018,65.0,42.57,52.37
19,Ceuta (CE),2018,84.59,45.07,63.5
20,Melilla (ML),2018,64.61,49.84,57.72
1,España (ES),2020,52.73,42.16,47.01
2,Andalucía (AN),2020,71.56,59.2,65.29
3,Aragón (AR),2020,48.49,44.44,46.58
4,"Asturias, Principado de (AS)",2020,55.56,43.31,49.02
5,"Balears, Illes (IB)",2020,43.31,36.36,39.34
6,Canarias (CN),2020,45.89,35.97,40.63
7,Cantabria (CB),2020,55.57,40.42,47.35
8,Castilla y León (CL),2020,44.13,34.96,39.1
9,Castilla - La Mancha (CM),2020,55.59,46.36,50.83
10,Cataluña (CT),2020,46.88,35.05,40.32
11,Comunitat Valenciana (VC),2020,53.34,43.64,48.11
12,Extremadura (EX),2020,60.68,44.71,51.98
13,Galicia (GA),2020,49.98,43.11,46.52
14,"Madrid, Comunidad de (MD)",2020,39.78,30.87,34.64
15,"Murcia, Región de (MC)",2020,70.52,60.28,65.11
16,"Navarra, C. Foral de (NC)",2020,50.57,35.47,41.56
17,País Vasco (PV),2020,47.31,40.11,43.22
18,La Rioja (RI),2020,49.38,37.74,42.49
19,Ceuta (CE),2020,76.14,60.13,67.16
20,Melilla (ML),2020,50.57,54.94,54.78
