id,Region,Año,Hombre,Mujer,Total
1,España (ES),2019,5.46,2.2,3.75
2,Andalucía (AN),2019,6.15,3.14,4.59
3,Aragón (AR),2019,5.57,2.72,4.12
4,"Asturias, Principado de (AS)",2019,7.65,2.46,4.91
5,"Balears, Illes (IB)",2019,5.75,3.28,4.49
6,Canarias (CN),2019,6.12,2.98,4.52
7,Cantabria (CB),2019,4.66,1.96,3.25
8,Castilla y León (CL),2019,7.66,1.82,4.71
9,Castilla - La Mancha (CM),2019,4.88,2.54,3.69
10,Cataluña (CT),2019,5.36,2.02,3.58
11,Comunitat Valenciana (VC),2019,6.68,3.2,4.87
12,Extremadura (EX),2019,4.36,2.07,3.23
13,Galicia (GA),2019,3.8,1.61,2.65
14,"Madrid, Comunidad de (MD)",2019,2.39,0.63,1.43
15,"Murcia, Región de (MC)",2019,8.0,1.74,4.75
16,"Navarra, C. Foral de (NC)",2019,6.0,1.38,3.63
17,País Vasco (PV),2019,5.11,1.56,3.24
18,La Rioja (RI),2019,4.22,2.0,3.1
19,Ceuta (CE),2019,7.05,0.0,3.49
20,Melilla (ML),2019,5.45,2.74,4.01
1,España (ES),2017,6.02,2.58,4.22
2,Andalucía (AN),2017,5.91,3.43,4.62
3,Aragón (AR),2017,6.35,2.14,4.18
4,"Asturias, Principado de (AS)",2017,6.07,2.37,4.1
5,"Balears, Illes (IB)",2017,10.25,2.54,6.28
6,Canarias (CN),2017,7.81,3.71,5.72
7,Cantabria (CB),2017,4.58,1.73,3.08
8,Castilla y León (CL),2017,5.95,2.24,4.07
9,Castilla - La Mancha (CM),2017,8.51,3.42,5.94
10,Cataluña (CT),2017,7.05,2.72,4.75
11,Comunitat Valenciana (VC),2017,5.64,3.03,4.27
12,Extremadura (EX),2017,5.84,2.13,3.95
13,Galicia (GA),2017,5.26,2.07,3.59
14,"Madrid, Comunidad de (MD)",2017,3.3,1.29,2.2
15,"Murcia, Región de (MC)",2017,8.22,3.21,5.58
16,"Navarra, C. Foral de (NC)",2017,7.85,2.5,5.11
17,País Vasco (PV),2017,4.01,1.26,2.57
18,La Rioja (RI),2017,6.62,1.34,3.92
19,Ceuta (CE),2017,11.88,11.79,12.01
20,Melilla (ML),2017,29.04,8.55,18.49
1,España (ES),2018,5.67,2.36,3.94
2,Andalucía (AN),2018,6.04,2.82,4.37
3,Aragón (AR),2018,5.43,2.43,3.87
4,"Asturias, Principado de (AS)",2018,7.23,2.84,4.88
5,"Balears, Illes (IB)",2018,10.23,2.91,6.47
6,Canarias (CN),2018,7.33,3.31,5.28
7,Cantabria (CB),2018,3.25,1.7,2.45
8,Castilla y León (CL),2018,6.09,2.21,4.15
9,Castilla - La Mancha (CM),2018,6.12,2.13,4.12
10,Cataluña (CT),2018,6.47,2.26,4.24
11,Comunitat Valenciana (VC),2018,6.72,3.15,4.85
12,Extremadura (EX),2018,3.09,2.44,2.73
13,Galicia (GA),2018,3.52,1.75,2.58
14,"Madrid, Comunidad de (MD)",2018,2.44,1.03,1.66
15,"Murcia, Región de (MC)",2018,6.78,3.26,4.94
16,"Navarra, C. Foral de (NC)",2018,5.06,0.69,2.87
17,País Vasco (PV),2018,5.19,2.47,3.75
18,La Rioja (RI),2018,7.96,2.99,5.4
19,Ceuta (CE),2018,9.67,4.87,7.21
20,Melilla (ML),2018,9.3,5.41,7.49
1,España (ES),2020,6.36,2.47,4.32
2,Andalucía (AN),2020,6.78,3.03,4.82
3,Aragón (AR),2020,6.18,2.36,4.22
4,"Asturias, Principado de (AS)",2020,5.95,2.54,4.09
5,"Balears, Illes (IB)",2020,9.58,2.01,5.66
6,Canarias (CN),2020,6.55,3.57,5.03
7,Cantabria (CB),2020,6.85,0.66,3.59
8,Castilla y León (CL),2020,8.16,2.75,5.43
9,Castilla - La Mancha (CM),2020,5.37,1.75,3.54
10,Cataluña (CT),2020,5.91,2.24,3.96
11,Comunitat Valenciana (VC),2020,7.88,3.98,5.85
12,Extremadura (EX),2020,6.97,1.64,4.29
13,Galicia (GA),2020,4.42,1.64,2.95
14,"Madrid, Comunidad de (MD)",2020,3.26,1.16,2.1
15,"Murcia, Región de (MC)",2020,9.86,4.1,6.82
16,"Navarra, C. Foral de (NC)",2020,5.54,2.23,3.84
17,País Vasco (PV),2020,7.16,1.87,4.37
18,La Rioja (RI),2020,7.86,1.37,4.54
19,Ceuta (CE),2020,23.21,21.22,21.83
20,Melilla (ML),2020,18.08,18.06,18.24
1,España (ES),2021,6.08,2.37,3.92
2,Andalucía (AN),2021,8.56,3.43,5.9
3,Aragón (AR),2021,5.53,0.92,3.15
4,"Asturias, Principado de (AS)",2021,6.37,2.68,4.42
5,"Balears, Illes (IB)",2021,4.86,3.76,4.29
6,Canarias (CN),2021,6.58,3.07,4.77
7,Cantabria (CB),2021,3.72,3.03,3.37
8,Castilla y León (CL),2021,9.31,2.37,5.82
9,Castilla - La Mancha (CM),2021,5.34,1.73,3.56
10,Cataluña (CT),2021,5.62,2.15,3.76
11,Comunitat Valenciana (VC),2021,7.04,3.0,4.92
12,Extremadura (EX),2021,3.21,2.69,2.99
13,Galicia (GA),2021,5.74,1.74,3.65
14,"Madrid, Comunidad de (MD)",2021,2.41,0.77,1.52
15,"Murcia, Región de (MC)",2021,7.18,3.33,5.21
16,"Navarra, C. Foral de (NC)",2021,4.9,2.97,3.91
17,País Vasco (PV),2021,5.15,1.64,3.3
18,La Rioja (RI),2021,6.18,2.54,4.3
19,Ceuta (CE),2021,4.98,21.39,13.16
20,Melilla (ML),2021,11.79,7.65,9.81
