id,Region,Año,Total
1,España (ES),2019,7.62
2,Andalucía (AN),2019,8.21
3,Aragón (AR),2019,7.28
4,"Asturias, Principado de (AS)",2019,5.05
5,"Balears, Illes (IB)",2019,8.08
6,Canarias (CN),2019,6.37
7,Cantabria (CB),2019,6.1
8,Castilla y León (CL),2019,5.96
9,Castilla - La Mancha (CM),2019,7.51
10,Cataluña (CT),2019,8.09
11,Comunitat Valenciana (VC),2019,7.47
12,Extremadura (EX),2019,7.2
13,Galicia (GA),2019,5.82
14,"Madrid, Comunidad de (MD)",2019,8.34
15,"Murcia, Región de (MC)",2019,9.54
16,"Navarra, C. Foral de (NC)",2019,8.23
17,País Vasco (PV),2019,7.08
18,La Rioja (RI),2019,7.66
19,Ceuta (CE),2019,9.96
20,Melilla (ML),2019,14.64
1,España (ES),2017,8.41
2,Andalucía (AN),2017,8.89
3,Aragón (AR),2017,8.0
4,"Asturias, Principado de (AS)",2017,5.84
5,"Balears, Illes (IB)",2017,8.88
6,Canarias (CN),2017,7.29
7,Cantabria (CB),2017,7.09
8,Castilla y León (CL),2017,6.4
9,Castilla - La Mancha (CM),2017,8.29
10,Cataluña (CT),2017,8.97
11,Comunitat Valenciana (VC),2017,8.18
12,Extremadura (EX),2017,7.92
13,Galicia (GA),2017,6.82
14,"Madrid, Comunidad de (MD)",2017,9.31
15,"Murcia, Región de (MC)",2017,10.24
16,"Navarra, C. Foral de (NC)",2017,8.96
17,País Vasco (PV),2017,7.88
18,La Rioja (RI),2017,8.21
19,Ceuta (CE),2017,12.29
20,Melilla (ML),2017,15.82
1,España (ES),2018,7.94
2,Andalucía (AN),2018,8.45
3,Aragón (AR),2018,7.58
4,"Asturias, Principado de (AS)",2018,5.6
5,"Balears, Illes (IB)",2018,8.75
6,Canarias (CN),2018,6.75
7,Cantabria (CB),2018,6.55
8,Castilla y León (CL),2018,6.24
9,Castilla - La Mancha (CM),2018,7.8
10,Cataluña (CT),2018,8.46
11,Comunitat Valenciana (VC),2018,7.68
12,Extremadura (EX),2018,7.33
13,Galicia (GA),2018,6.14
14,"Madrid, Comunidad de (MD)",2018,8.74
15,"Murcia, Región de (MC)",2018,9.92
16,"Navarra, C. Foral de (NC)",2018,8.35
17,País Vasco (PV),2018,7.41
18,La Rioja (RI),2018,7.45
19,Ceuta (CE),2018,11.44
20,Melilla (ML),2018,15.83
1,España (ES),2020,7.19
2,Andalucía (AN),2020,7.72
3,Aragón (AR),2020,6.83
4,"Asturias, Principado de (AS)",2020,4.7
5,"Balears, Illes (IB)",2020,7.78
6,Canarias (CN),2020,5.87
7,Cantabria (CB),2020,5.85
8,Castilla y León (CL),2020,5.71
9,Castilla - La Mancha (CM),2020,7.21
10,Cataluña (CT),2020,7.64
11,Comunitat Valenciana (VC),2020,7.1
12,Extremadura (EX),2020,6.97
13,Galicia (GA),2020,5.65
14,"Madrid, Comunidad de (MD)",2020,7.75
15,"Murcia, Región de (MC)",2020,9.08
16,"Navarra, C. Foral de (NC)",2020,7.66
17,País Vasco (PV),2020,6.73
18,La Rioja (RI),2020,7.33
19,Ceuta (CE),2020,10.04
20,Melilla (ML),2020,11.41
1,España (ES),2021,7.12
2,Andalucía (AN),2021,7.72
3,Aragón (AR),2021,7.21
4,"Asturias, Principado de (AS)",2021,4.74
5,"Balears, Illes (IB)",2021,7.81
6,Canarias (CN),2021,5.67
7,Cantabria (CB),2021,5.63
8,Castilla y León (CL),2021,5.5
9,Castilla - La Mancha (CM),2021,7.1
10,Cataluña (CT),2021,7.52
11,Comunitat Valenciana (VC),2021,7.06
12,Extremadura (EX),2021,6.87
13,Galicia (GA),2021,5.5
14,"Madrid, Comunidad de (MD)",2021,7.62
15,"Murcia, Región de (MC)",2021,9.11
16,"Navarra, C. Foral de (NC)",2021,7.78
17,País Vasco (PV),2021,6.56
18,La Rioja (RI),2021,6.94
19,Ceuta (CE),2021,8.68
20,Melilla (ML),2021,11.17
