id,Region,Año,Hombre,Mujer,Total
1,España (ES),2017,26.6,28.3,27.5
2,Andalucía (AN),2017,,,39.0
3,Aragón (AR),2017,,,16.2
4,"Asturias, Principado de (AS)",2017,,,17.8
5,"Balears, Illes (IB)",2017,,,25.2
6,Canarias (CN),2017,,,39.9
7,Cantabria (CB),2017,,,20.5
8,Castilla y León (CL),2017,,,19.2
9,Castilla - La Mancha (CM),2017,,,34.9
10,Cataluña (CT),2017,,,20.2
11,Comunitat Valenciana (VC),2017,,,31.9
12,Extremadura (EX),2017,,,44.9
13,Galicia (GA),2017,,,23.0
14,"Madrid, Comunidad de (MD)",2017,,,21.7
15,"Murcia, Región de (MC)",2017,,,35.6
16,"Navarra, C. Foral de (NC)",2017,,,13.2
17,País Vasco (PV),2017,,,15.0
18,La Rioja (RI),2017,,,13.9
19,Ceuta (CE),2017,,,46.9
20,Melilla (ML),2017,,,30.2
1,España (ES),2021,26.7,28.9,27.8
2,Andalucía (AN),2021,,,38.7
3,Aragón (AR),2021,,,20.0
4,"Asturias, Principado de (AS)",2021,,,26.3
5,"Balears, Illes (IB)",2021,,,22.4
6,Canarias (CN),2021,,,37.8
7,Cantabria (CB),2021,,,21.4
8,Castilla y León (CL),2021,,,23.1
9,Castilla - La Mancha (CM),2021,,,32.5
10,Cataluña (CT),2021,,,22.3
11,Comunitat Valenciana (VC),2021,,,30.6
12,Extremadura (EX),2021,,,38.7
13,Galicia (GA),2021,,,25.2
14,"Madrid, Comunidad de (MD)",2021,,,21.6
15,"Murcia, Región de (MC)",2021,,,33.8
16,"Navarra, C. Foral de (NC)",2021,,,14.7
17,País Vasco (PV),2021,,,16.0
18,La Rioja (RI),2021,,,21.3
19,Ceuta (CE),2021,,,43.0
20,Melilla (ML),2021,,,35.2
1,España (ES),2020,25.9,28.0,27.0
2,Andalucía (AN),2020,,,36.9
3,Aragón (AR),2020,,,18.8
4,"Asturias, Principado de (AS)",2020,,,27.2
5,"Balears, Illes (IB)",2020,,,20.0
6,Canarias (CN),2020,,,39.1
7,Cantabria (CB),2020,,,24.3
8,Castilla y León (CL),2020,,,19.4
9,Castilla - La Mancha (CM),2020,,,30.7
10,Cataluña (CT),2020,,,23.2
11,Comunitat Valenciana (VC),2020,,,29.7
12,Extremadura (EX),2020,,,38.0
13,Galicia (GA),2020,,,25.3
14,"Madrid, Comunidad de (MD)",2020,,,21.2
15,"Murcia, Región de (MC)",2020,,,30.2
16,"Navarra, C. Foral de (NC)",2020,,,12.3
17,País Vasco (PV),2020,,,13.6
18,La Rioja (RI),2020,,,20.0
19,Ceuta (CE),2020,,,38.8
20,Melilla (ML),2020,,,41.1
1,España (ES),2019,25.1,27.1,26.2
2,Andalucía (AN),2019,,,39.3
3,Aragón (AR),2019,,,20.5
4,"Asturias, Principado de (AS)",2019,,,25.0
5,"Balears, Illes (IB)",2019,,,16.5
6,Canarias (CN),2019,,,38.3
7,Cantabria (CB),2019,,,19.8
8,Castilla y León (CL),2019,,,16.8
9,Castilla - La Mancha (CM),2019,,,31.0
10,Cataluña (CT),2019,,,18.8
11,Comunitat Valenciana (VC),2019,,,28.2
12,Extremadura (EX),2019,,,36.9
13,Galicia (GA),2019,,,24.2
14,"Madrid, Comunidad de (MD)",2019,,,20.2
15,"Murcia, Región de (MC)",2019,,,33.4
16,"Navarra, C. Foral de (NC)",2019,,,12.4
17,País Vasco (PV),2019,,,15.0
18,La Rioja (RI),2019,,,15.8
19,Ceuta (CE),2019,,,49.0
20,Melilla (ML),2019,,,39.7
1,España (ES),2022,24.8,27.2,26.0
2,Andalucía (AN),2022,,,35.8
3,Aragón (AR),2022,,,19.1
4,"Asturias, Principado de (AS)",2022,,,25.3
5,"Balears, Illes (IB)",2022,,,21.5
6,Canarias (CN),2022,,,36.2
7,Cantabria (CB),2022,,,19.5
8,Castilla y León (CL),2022,,,22.1
9,Castilla - La Mancha (CM),2022,,,31.6
10,Cataluña (CT),2022,,,20.4
11,Comunitat Valenciana (VC),2022,,,27.5
12,Extremadura (EX),2022,,,36.9
13,Galicia (GA),2022,,,23.6
14,"Madrid, Comunidad de (MD)",2022,,,20.3
15,"Murcia, Región de (MC)",2022,,,31.0
16,"Navarra, C. Foral de (NC)",2022,,,14.5
17,País Vasco (PV),2022,,,15.7
18,La Rioja (RI),2022,,,20.9
19,Ceuta (CE),2022,,,40.2
20,Melilla (ML),2022,,,41.3
1,España (ES),2018,26.0,28.4,27.3
2,Andalucía (AN),2018,,,41.7
3,Aragón (AR),2018,,,17.8
4,"Asturias, Principado de (AS)",2018,,,21.8
5,"Balears, Illes (IB)",2018,,,17.3
6,Canarias (CN),2018,,,39.2
7,Cantabria (CB),2018,,,24.4
8,Castilla y León (CL),2018,,,19.8
9,Castilla - La Mancha (CM),2018,,,33.4
10,Cataluña (CT),2018,,,18.9
11,Comunitat Valenciana (VC),2018,,,30.7
12,Extremadura (EX),2018,,,43.7
13,Galicia (GA),2018,,,24.1
14,"Madrid, Comunidad de (MD)",2018,,,20.9
15,"Murcia, Región de (MC)",2018,,,33.2
16,"Navarra, C. Foral de (NC)",2018,,,13.1
17,País Vasco (PV),2018,,,12.2
18,La Rioja (RI),2018,,,19.1
19,Ceuta (CE),2018,,,48.9
20,Melilla (ML),2018,,,23.5
