Region_ID,Año,Genero,Valores,Indicadores_ID,Valores_ID
1,2018,Hombre,76.91,1,1
2,2018,Hombre,74.41,1,2
3,2018,Hombre,79.39,1,3
4,2018,Hombre,74.96,1,4
5,2018,Hombre,79.22,1,5
6,2018,Hombre,75.67,1,6
7,2018,Hombre,78.68,1,7
8,2018,Hombre,78.32,1,8
9,2018,Hombre,77.41,1,9
10,2018,Hombre,76.91,1,10
11,2018,Hombre,77.3,1,11
12,2018,Hombre,78.16,1,12
13,2018,Hombre,78.3,1,13
14,2018,Hombre,79.08,1,14
15,2018,Hombre,73.78,1,15
16,2018,Hombre,77.97,1,16
17,2018,Hombre,78.73,1,17
18,2018,Hombre,78.63,1,18
19,2018,Hombre,74.33,1,19
20,2018,Hombre,74.33,1,20
1,2020,Hombre,76.76,1,21
2,2020,Hombre,77.12,1,22
3,2020,Hombre,77.71,1,23
4,2020,Hombre,76.24,1,24
5,2020,Hombre,79.66,1,25
6,2020,Hombre,77.68,1,26
7,2020,Hombre,76.8,1,27
8,2020,Hombre,76.32,1,28
9,2020,Hombre,76.88,1,29
10,2020,Hombre,76.74,1,30
11,2020,Hombre,76.46,1,31
12,2020,Hombre,77.8,1,32
13,2020,Hombre,75.95,1,33
14,2020,Hombre,75.96,1,34
15,2020,Hombre,76.58,1,35
16,2020,Hombre,77.34,1,36
17,2020,Hombre,78.64,1,37
18,2020,Hombre,77.2,1,38
19,2020,Hombre,70.62,1,39
20,2020,Hombre,70.62,1,40
1,2021,Hombre,77.43,1,41
2,2021,Hombre,77.0,1,42
3,2021,Hombre,78.48,1,43
4,2021,Hombre,77.07,1,44
5,2021,Hombre,79.36,1,45
6,2021,Hombre,77.56,1,46
7,2021,Hombre,77.11,1,47
8,2021,Hombre,77.66,1,48
9,2021,Hombre,78.78,1,49
10,2021,Hombre,77.85,1,50
11,2021,Hombre,76.18,1,51
12,2021,Hombre,78.05,1,52
13,2021,Hombre,76.03,1,53
14,2021,Hombre,78.2,1,54
15,2021,Hombre,76.55,1,55
